resource_id,leave_type,start_date,end_date
R0001,company_holiday,2024-04-19,2024-04-19
R0002,pto,2024-04-05,2024-04-05
R0002,company_holiday,2024-04-19,2024-04-19
R0003,company_holiday,2024-04-19,2024-04-19
R0004,company_holiday,2024-04-19,2024-04-19
R0005,company_holiday,2024-04-19,2024-04-19
R0006,company_holiday,2024-04-19,2024-04-19
R0007,pto,2024-04-01,2024-04-03
R0007,company_holiday,2024-04-19,2024-04-19
R0008,company_holiday,2024-04-19,2024-04-19
R0009,company_holiday,2024-04-19,2024-04-19
R0010,company_holiday,2024-04-19,2024-04-19
R0011,company_holiday,2024-04-19,2024-04-19
R0012,pto,2024-04-13,2024-04-14
R0012,company_holiday,2024-04-19,2024-04-19
R0013,company_holiday,2024-04-19,2024-04-19
R0014,company_holiday,2024-04-19,2024-04-19
R0015,company_holiday,2024-04-19,2024-04-19
R0016,company_holiday,2024-04-19,2024-04-19
R0017,pto,2024-04-05,2024-04-06
R0017,company_holiday,2024-04-19,2024-04-19
R0018,company_holiday,2024-04-19,2024-04-19
R0019,company_holiday,2024-04-19,2024-04-19
R0020,company_holiday,2024-04-19,2024-04-19
R0021,company_holiday,2024-04-19,2024-04-19
R0022,pto,2024-04-14,2024-04-16
R0022,company_holiday,2024-04-19,2024-04-19
R0023,company_holiday,2024-04-19,2024-04-19
R0024,company_holiday,2024-04-19,2024-04-19
R0025,company_holiday,2024-04-19,2024-04-19
R0026,company_holiday,2024-04-19,2024-04-19
R0027,pto,2024-04-18,2024-04-19
R0027,company_holiday,2024-04-19,2024-04-19
R0028,company_holiday,2024-04-19,2024-04-19
R0029,company_holiday,2024-04-19,2024-04-19
R0030,company_holiday,2024-04-19,2024-04-19
R0031,company_holiday,2024-04-19,2024-04-19
R0032,pto,2024-04-17,2024-04-19
R0032,company_holiday,2024-04-19,2024-04-19
R0033,company_holiday,2024-04-19,2024-04-19
R0034,company_holiday,2024-04-19,2024-04-19
R0035,company_holiday,2024-04-19,2024-04-19
R0036,company_holiday,2024-04-19,2024-04-19
R0037,pto,2024-04-06,2024-04-07
R0037,company_holiday,2024-04-19,2024-04-19
R0038,company_holiday,2024-04-19,2024-04-19
R0039,company_holiday,2024-04-19,2024-04-19
R0040,company_holiday,2024-04-19,2024-04-19
R0041,company_holiday,2024-04-19,2024-04-19
R0042,pto,2024-04-23,2024-04-25
R0042,company_holiday,2024-04-19,2024-04-19
R0043,company_holiday,2024-04-19,2024-04-19
R0044,company_holiday,2024-04-19,2024-04-19
R0045,company_holiday,2024-04-19,2024-04-19
R0046,company_holiday,2024-04-19,2024-04-19
R0047,pto,2024-04-21,2024-04-21
R0047,company_holiday,2024-04-19,2024-04-19
R0048,company_holiday,2024-04-19,2024-04-19
R0049,company_holiday,2024-04-19,2024-04-19
R0050,company_holiday,2024-04-19,2024-04-19
R0051,company_holiday,2024-04-19,2024-04-19
R0052,pto,2024-04-21,2024-04-22
R0052,company_holiday,2024-04-19,2024-04-19
R0053,company_holiday,2024-04-19,2024-04-19
R0054,company_holiday,2024-04-19,2024-04-19
R0055,company_holiday,2024-04-19,2024-04-19
R0056,company_holiday,2024-04-19,2024-04-19
R0057,pto,2024-04-05,2024-04-07
R0057,company_holiday,2024-04-19,2024-04-19
R0058,company_holiday,2024-04-19,2024-04-19
R0059,company_holiday,2024-04-19,2024-04-19
R0060,company_holiday,2024-04-19,2024-04-19
R0061,company_holiday,2024-04-19,2024-04-19
R0062,pto,2024-04-22,2024-04-23
R0062,company_holiday,2024-04-19,2024-04-19
R0063,company_holiday,2024-04-19,2024-04-19
R0064,company_holiday,2024-04-19,2024-04-19
R0065,company_holiday,2024-04-19,2024-04-19
R0066,company_holiday,2024-04-19,2024-04-19
R0067,pto,2024-04-24,2024-04-26
R0067,company_holiday,2024-04-19,2024-04-19
R0068,company_holiday,2024-04-19,2024-04-19
R0069,company_holiday,2024-04-19,2024-04-19
R0070,company_holiday,2024-04-19,2024-04-19
R0071,company_holiday,2024-04-19,2024-04-19
R0072,pto,2024-04-11,2024-04-13
R0072,company_holiday,2024-04-19,2024-04-19
R0073,company_holiday,2024-04-19,2024-04-19
R0074,company_holiday,2024-04-19,2024-04-19
R0075,company_holiday,2024-04-19,2024-04-19
R0076,company_holiday,2024-04-19,2024-04-19
R0077,pto,2024-04-12,2024-04-12
R0077,company_holiday,2024-04-19,2024-04-19
R0078,company_holiday,2024-04-19,2024-04-19
R0079,company_holiday,2024-04-19,2024-04-19
R0080,company_holiday,2024-04-19,2024-04-19
R0081,company_holiday,2024-04-19,2024-04-19
R0082,pto,2024-04-03,2024-04-05
R0082,company_holiday,2024-04-19,2024-04-19
R0083,company_holiday,2024-04-19,2024-04-19
R0084,company_holiday,2024-04-19,2024-04-19
R0085,company_holiday,2024-04-19,2024-04-19
R0086,company_holiday,2024-04-19,2024-04-19
R0087,pto,2024-04-04,2024-04-06
R0087,company_holiday,2024-04-19,2024-04-19
R0088,company_holiday,2024-04-19,2024-04-19
R0089,company_holiday,2024-04-19,2024-04-19
R0090,company_holiday,2024-04-19,2024-04-19
R0091,company_holiday,2024-04-19,2024-04-19
R0092,pto,2024-04-23,2024-04-23
R0092,company_holiday,2024-04-19,2024-04-19
R0093,company_holiday,2024-04-19,2024-04-19
R0094,company_holiday,2024-04-19,2024-04-19
R0095,company_holiday,2024-04-19,2024-04-19
R0096,company_holiday,2024-04-19,2024-04-19
R0097,pto,2024-04-05,2024-04-05
R0097,company_holiday,2024-04-19,2024-04-19
R0098,company_holiday,2024-04-19,2024-04-19
R0099,company_holiday,2024-04-19,2024-04-19
R0100,company_holiday,2024-04-19,2024-04-19
R0101,company_holiday,2024-04-19,2024-04-19
R0102,pto,2024-04-17,2024-04-17
