resource_id,project_id,week_ending_date,hours_logged
R0001,PRJ1152,2024-03-03,21.2
R0001,PRJ1152,2024-03-10,21.7
R0001,PRJ1152,2024-03-17,16.2
R0001,PRJ1152,2024-03-24,23.0
R0001,PRJ1152,2024-03-31,18.1
R0001,PRJ1152,2024-04-07,24.7
R0001,PRJ1152,2024-04-21,26.8
R0001,PRJ1152,2024-04-28,24.6
R0002,PRJ1332,2024-03-10,31.1
R0002,PRJ1332,2024-03-17,35.9
R0002,PRJ1332,2024-03-24,35.2
R0002,PRJ1332,2024-03-31,28.0
R0002,PRJ1332,2024-04-07,26.5
R0002,PRJ1332,2024-04-14,27.3
R0003,PRJ2120,2024-03-03,40.3
R0003,PRJ2120,2024-03-10,31.2
R0003,PRJ2120,2024-03-17,43.6
R0003,PRJ2120,2024-03-24,37.7
R0003,PRJ2120,2024-03-31,34.9
R0003,PRJ2120,2024-04-07,31.9
R0003,PRJ2120,2024-04-14,35.6
R0003,PRJ2120,2024-04-21,29.5
R0003,PRJ2120,2024-04-28,27.5
R0004,PRJ1921,2024-03-03,25.3
R0004,PRJ1921,2024-03-10,23.4
R0004,PRJ1921,2024-03-17,26.3
R0004,PRJ1921,2024-03-24,24.5
R0004,PRJ1921,2024-04-07,18.2
R0004,PRJ1921,2024-04-14,26.0
R0004,PRJ1921,2024-04-21,25.0
R0004,PRJ1921,2024-04-28,27.6
R0004,PRJ1488,2024-03-10,24.1
R0004,PRJ1488,2024-03-17,36.6
R0004,PRJ1488,2024-03-24,27.3
R0004,PRJ1488,2024-03-31,27.6
R0004,PRJ1488,2024-04-07,24.2
R0004,PRJ1488,2024-04-14,29.3
R0004,PRJ1488,2024-04-21,24.7
R0004,PRJ1488,2024-04-28,36.3
R0004,PRJ1874,2024-03-03,5.3
R0004,PRJ1874,2024-03-10,4.8
R0004,PRJ1874,2024-03-17,5.6
R0004,PRJ1874,2024-03-24,7.3
R0004,PRJ1874,2024-03-31,5.7
R0004,PRJ1874,2024-04-07,5.4
R0004,PRJ1874,2024-04-14,5.6
R0004,PRJ1874,2024-04-21,6.3
R0004,PRJ1874,2024-04-28,6.2
R0005,PRJ3486,2024-03-03,33.9
R0005,PRJ3486,2024-03-10,37.7
R0005,PRJ3486,2024-03-17,33.1
R0005,PRJ3486,2024-03-24,31.9
R0005,PRJ3486,2024-03-31,32.9
R0005,PRJ3486,2024-04-07,30.1
R0005,PRJ3486,2024-04-14,36.9
R0005,PRJ3486,2024-04-21,29.8
R0005,PRJ3486,2024-04-28,23.4
R0006,PRJ2292,2024-03-03,26.9
R0006,PRJ2292,2024-03-10,36.1
R0007,PRJ2462,2024-03-03,19.9
R0007,PRJ2462,2024-03-10,24.9
R0007,PRJ2462,2024-03-17,22.2
R0007,PRJ2462,2024-03-24,25.2
R0007,PRJ2462,2024-03-31,16.2
R0007,PRJ2462,2024-04-07,20.3
R0007,PRJ2462,2024-04-14,24.4
R0007,PRJ2462,2024-04-21,36.9
R0007,PRJ2462,2024-04-28,26.4
R0008,PRJ3504,2024-03-10,28.7
R0008,PRJ3504,2024-03-24,20.0
R0008,PRJ3504,2024-03-31,26.9
R0008,PRJ3504,2024-04-07,27.5
R0008,PRJ3504,2024-04-14,20.3
R0008,PRJ3504,2024-04-21,39.9
R0008,PRJ3504,2024-04-28,28.1
R0008,PRJ0001,2024-03-03,2.1
R0008,PRJ0001,2024-03-10,2.3
R0008,PRJ0001,2024-03-17,2.1
R0008,PRJ0001,2024-03-24,1.9
R0008,PRJ0001,2024-03-31,1.6
R0008,PRJ0001,2024-04-07,2.5
R0008,PRJ0001,2024-04-14,2.1
R0008,PRJ0001,2024-04-21,2.6
R0008,PRJ0001,2024-04-28,1.5
R0009,PRJ1049,2024-03-17,37.4
R0009,PRJ1049,2024-03-24,44.1
