order_id,channel_id,product_id,order_date,quantity,unit_price
ORD-00001,CH01,SKU-0014,2024-01-31,1,52.82
ORD-00002,CH01,SKU-0042,2024-01-15,1,47.87
ORD-00003,CH01,SKU-0035,2024-01-01,1,22.92
ORD-00004,CH01,SKU-0035,2024-01-21,1,30.2
ORD-00005,CH01,SKU-0017,2024-01-08,2,43.76
ORD-00006,CH01,SKU-0013,2024-01-24,1,71.98
ORD-00007,CH01,SKU-0014,2024-01-04,3,64.99
ORD-00008,CH01,SKU-0050,2024-01-30,2,22.57
ORD-00009,CH01,SKU-0016,2024-01-30,1,66.57
ORD-00010,CH01,SKU-0014,2024-01-04,2,58.92
ORD-00011,CH01,SKU-0019,2024-01-13,3,39.12
ORD-00012,CH01,SKU-0026,2024-01-08,1,48.57
ORD-00013,CH01,SKU-0015,2024-01-12,1,43.41
ORD-00014,CH01,SKU-0036,2024-01-10,3,38.25
ORD-00015,CH01,SKU-0039,2024-01-04,2,38.55
ORD-00016,CH01,SKU-0038,2024-01-07,1,30.2
ORD-00017,CH01,SKU-0017,2024-01-08,3,43.91
ORD-00018,CH01,SKU-0029,2024-01-09,2,63.47
ORD-00019,CH01,SKU-0022,2024-01-21,3,80.46
ORD-00020,CH01,SKU-0025,2024-01-08,1,86.45
ORD-00021,CH01,SKU-0009,2024-01-18,3,321.58
ORD-00022,CH01,SKU-0019,2024-01-17,2,35.98
ORD-00023,CH01,SKU-0008,2024-01-10,1,248.11
ORD-00024,CH01,SKU-0022,2024-01-28,1,100.77
ORD-00025,CH01,SKU-0011,2024-01-09,3,75.89
ORD-00026,CH01,SKU-0015,2024-01-17,2,39.61
ORD-00027,CH01,SKU-0019,2024-01-12,2,33.62
ORD-00028,CH01,SKU-0022,2024-01-15,1,101.1
ORD-00029,CH01,SKU-0019,2024-01-12,3,33.98
ORD-00030,CH01,SKU-0046,2024-01-08,1,19.24
ORD-00031,CH01,SKU-0029,2024-01-05,1,63.88
ORD-00032,CH01,SKU-0020,2024-01-19,3,41.28
ORD-00033,CH01,SKU-0021,2024-01-17,2,68.49
ORD-00034,CH01,SKU-0006,2024-01-31,3,230.31
ORD-00035,CH01,SKU-0042,2024-01-12,3,51.01
ORD-00036,CH01,SKU-0015,2024-01-29,3,35.17
ORD-00037,CH01,SKU-0037,2024-01-29,2,58.54
ORD-00038,CH01,SKU-0004,2024-01-20,2,361.58
ORD-00039,CH01,SKU-0011,2024-01-26,3,82.14
ORD-00040,CH01,SKU-0023,2024-01-14,2,110.75
ORD-00041,CH01,SKU-0043,2024-01-18,2,13.53
ORD-00042,CH01,SKU-0030,2024-01-02,3,46.52
ORD-00043,CH01,SKU-0014,2024-01-14,2,51.55
ORD-00044,CH01,SKU-0012,2024-01-13,2,91.74
ORD-00045,CH01,SKU-0012,2024-01-13,3,83.45
ORD-00046,CH01,SKU-0028,2024-01-21,1,88.32
ORD-00047,CH01,SKU-0017,2024-01-20,2,49.15
ORD-00048,CH01,SKU-0010,2024-01-06,2,329.23
ORD-00049,CH01,SKU-0031,2024-01-19,3,64.48
ORD-00050,CH01,SKU-0041,2024-01-28,1,40.94
ORD-00051,CH01,SKU-0018,2024-01-15,3,66.75
ORD-00052,CH01,SKU-0026,2024-01-10,1,56.58
ORD-00053,CH01,SKU-0014,2024-01-23,3,55.67
ORD-00054,CH01,SKU-0028,2024-01-18,3,86.76
ORD-00055,CH01,SKU-0012,2024-01-23,3,88.48
ORD-00056,CH01,SKU-0030,2024-01-21,1,48.58
ORD-00057,CH01,SKU-0035,2024-01-15,2,25.81
ORD-00058,CH01,SKU-0035,2024-01-03,3,23.56
ORD-00059,CH01,SKU-0014,2024-01-23,3,60.71
ORD-00060,CH01,SKU-0047,2024-01-11,3,28.12
ORD-00061,CH01,SKU-0019,2024-01-30,1,40.95
ORD-00062,CH01,SKU-0009,2024-01-21,3,268.81
ORD-00063,CH01,SKU-0022,2024-01-24,1,83.02
