product_id,effective_date,unit_cost
SKU-0001,2023-01-01,238.93
SKU-0001,2024-07-01,274.77
SKU-0002,2023-01-01,245.56
SKU-0002,2024-07-01,282.39
SKU-0003,2023-01-01,135.5
SKU-0003,2024-07-01,155.82
SKU-0004,2023-01-01,230.18
SKU-0004,2024-07-01,264.71
SKU-0005,2023-01-01,146.6
SKU-0005,2024-07-01,168.59
SKU-0006,2023-01-01,173.95
SKU-0006,2024-07-01,200.04
SKU-0007,2023-01-01,213.25
SKU-0007,2024-07-01,245.24
SKU-0008,2023-01-01,195.16
SKU-0008,2024-07-01,224.43
SKU-0009,2023-01-01,214.17
SKU-0009,2024-07-01,246.3
SKU-0010,2023-01-01,242.6
SKU-0010,2024-07-01,278.99
SKU-0011,2023-01-01,48.7
SKU-0012,2023-01-01,53.6
SKU-0013,2023-01-01,50.34
SKU-0014,2023-01-01,38.68
SKU-0015,2023-01-01,24.43
SKU-0016,2023-01-01,44.98
SKU-0017,2023-01-01,31.91
SKU-0018,2023-01-01,38.2
SKU-0019,2023-01-01,24.07
SKU-0020,2023-01-01,27.17
SKU-0021,2023-01-01,45.3
SKU-0022,2023-01-01,60.37
SKU-0023,2023-01-01,63.25
SKU-0024,2023-01-01,45.63
SKU-0025,2023-01-01,60.58
SKU-0026,2023-01-01,37.77
SKU-0027,2023-01-01,62.13
SKU-0028,2023-01-01,57.67
SKU-0029,2023-01-01,47.61
SKU-0030,2023-01-01,34.45
SKU-0031,2023-01-01,40.14
SKU-0032,2023-01-01,35.5
SKU-0033,2023-01-01,38.65
SKU-0034,2023-01-01,37.0
SKU-0035,2023-01-01,18.3
SKU-0036,2023-01-01,24.7
SKU-0037,2023-01-01,47.61
SKU-0038,2023-01-01,19.55
SKU-0039,2023-01-01,26.73
SKU-0040,2023-01-01,35.15
SKU-0041,2023-01-01,26.08
SKU-0042,2023-01-01,30.75
SKU-0043,2023-01-01,10.39
SKU-0044,2023-01-01,27.35
SKU-0045,2023-01-01,13.3
SKU-0046,2023-01-01,12.74
SKU-0047,2023-01-01,20.68
SKU-0048,2023-01-01,16.5
SKU-0049,2023-01-01,19.24
SKU-0050,2023-01-01,11.5
