product_id,category_id,category_name,base_price,unit_cost
SKU_0001,CAT01,Electronics,334.79,274.77
SKU_0002,CAT01,Electronics,351.72,282.39
SKU_0003,CAT01,Electronics,198.84,155.82
SKU_0004,CAT01,Electronics,332.23,264.71
SKU_0005,CAT01,Electronics,205.62,168.59
SKU_0006,CAT01,Electronics,254.16,200.04
SKU_0007,CAT01,Electronics,308.77,245.24
SKU_0008,CAT01,Electronics,268.68,224.43
SKU_0009,CAT01,Electronics,290.92,246.3
SKU_0010,CAT01,Electronics,345.53,278.99
SKU-0011,CAT02,Apparel,75.49,48.7
SKU-0012,CAT02,Apparel,88.24,53.6
SKU-0013,CAT02,Apparel,76.7,50.34
SKU-0014,CAT02,Apparel,58.0,38.68
SKU-0015,CAT02,Apparel,39.26,24.43
SKU-0016,CAT02,Apparel,74.69,44.98
SKU-0017,CAT02,Apparel,49.55,31.91
SKU-0018,CAT02,Apparel,58.17,38.2
SKU-0019,CAT02,Apparel,37.8,24.07
SKU-0020,CAT02,Apparel,43.61,27.17
SKU-0021,CAT03,Home & Garden,70.6,45.3
SKU-0022,CAT03,Home & Garden,89.02,60.37
SKU-0023,CAT03,Home & Garden,98.26,63.25
SKU-0024,CAT03,Home & Garden,67.12,45.63
SKU-0025,CAT03,Home & Garden,87.77,60.58
SKU-0026,CAT03,Home & Garden,53.99,37.77
SKU-0027,CAT03,Home & Garden,95.08,62.13
SKU-0028,CAT03,Home & Garden,89.36,57.67
SKU-0029,CAT03,Home & Garden,72.12,47.61
SKU-0030,CAT03,Home & Garden,49.79,34.45
SKU-0031,CAT04,Sports,58.42,40.14
SKU-0032,CAT04,Sports,53.26,35.5
SKU-0033,CAT04,Sports,56.74,38.65
SKU-0034,CAT04,Sports,52.96,37.0
SKU-0035,CAT04,Sports,26.54,18.3
SKU-0036,CAT04,Sports,35.73,24.7
SKU-0037,CAT04,Sports,67.67,47.61
SKU-0038,CAT04,Sports,27.92,19.55
SKU-0039,CAT04,Sports,39.68,26.73
SKU-0040,CAT04,Sports,52.85,35.15
SKU-0041,CAT05,Beauty,41.57,26.08
SKU-0042,CAT05,Beauty,47.56,30.75
SKU-0043,CAT05,Beauty,15.91,10.39
SKU-0044,CAT05,Beauty,43.89,27.35
SKU-0045,CAT05,Beauty,21.45,13.3
SKU-0046,CAT05,Beauty,21.09,12.74
SKU-0047,CAT05,Beauty,32.85,20.68
SKU-0048,CAT05,Beauty,27.06,16.5
SKU-0049,CAT05,Beauty,29.47,19.24
SKU-0050,CAT05,Beauty,19.72,11.5
