return_id,order_id,channel_id,quantity_returned,processing_cost_per_unit,return_date,reason_code
RET-000001,ORD-00002,CH01,1,9.82,2024-01-22,NOT_AS_DESCRIBED
RET-000002,ORD-00011,CH01,3,7.91,2024-01-15,CHANGED_MIND
RET-000003,ORD-00035,CH01,2,9.85,2024-01-17,WRONG_SIZE
RET-000004,ORD-00052,CH01,1,9.05,2024-01-12,CHANGED_MIND
RET-000005,ORD-00077,CH01,1,9.31,2024-01-17,WRONG_SIZE
RET-000006,ORD-00098,CH01,1,9.46,2024-01-21,CHANGED_MIND
RET-000007,ORD-00104,CH01,1,10.11,2024-01-10,WRONG_SIZE
RET-000008,ORD-00114,CH01,2,9.33,2024-02-04,WRONG_SIZE
RET-000009,ORD-00185,CH01,1,8.62,2024-01-16,NOT_AS_DESCRIBED
RET-000010,ORD-00200,CH01,1,10.18,2024-01-10,CHANGED_MIND
RET-000011,ORD-00201,CH01,1,7.9,2024-02-09,WRONG_SIZE
RET-000012,ORD-00211,CH01,2,9.18,2024-02-01,WRONG_SIZE
RET-000013,ORD-00253,CH01,1,8.32,2024-02-03,CHANGED_MIND
RET-000014,ORD-00293,CH01,1,7.95,2024-01-13,WRONG_SIZE
RET-000015,ORD-00310,CH01,2,9.57,2024-01-13,WRONG_SIZE
RET-000016,ORD-00325,CH01,1,9.55,2024-01-23,CHANGED_MIND
RET-000017,ORD-00550,CH01,1,7.77,2024-01-25,WRONG_SIZE
RET-000018,ORD-00552,CH01,1,9.91,2024-01-06,CHANGED_MIND
RET-000019,ORD-00611,CH01,1,9.39,2024-02-03,CHANGED_MIND
RET-000020,ORD-00685,CH01,1,9.33,2024-01-30,WRONG_SIZE
RET-000021,ORD-00736,CH01,1,9.22,2024-01-22,CHANGED_MIND
RET-000022,ORD-00760,CH01,1,8.49,2024-02-01,DEFECTIVE
RET-000023,ORD-00762,CH01,2,9.99,2024-02-09,DEFECTIVE
RET-000024,ORD-00021,CH02,1,7.09,2024-01-15,WRONG_SIZE
RET-000025,ORD-00153,CH02,1,7.66,2024-01-05,WRONG_SIZE
RET-000026,ORD-00157,CH02,1,8.61,2024-02-01,CHANGED_MIND
RET-000027,ORD-00164,CH02,1,8.79,2024-01-20,WRONG_SIZE
RET-000028,ORD-00185,CH02,2,7.58,2024-01-23,WRONG_SIZE
RET-000029,ORD-00197,CH02,1,8.5,2024-02-01,WRONG_SIZE
RET-000030,ORD-00246,CH02,1,8.57,2024-01-30,NOT_AS_DESCRIBED
RET-000031,ORD-00253,CH02,2,7.36,2024-02-04,WRONG_SIZE
RET-000032,ORD-00259,CH02,3,8.24,2024-01-16,NOT_AS_DESCRIBED
RET-000033,ORD-00345,CH02,2,8.51,2024-01-23,DEFECTIVE
RET-000034,ORD-00366,CH02,1,7.67,2024-01-29,WRONG_SIZE
RET-000035,ORD-00388,CH02,2,9.12,2024-01-16,WRONG_SIZE
RET-000036,ORD-00401,CH02,2,8.61,2024-01-31,DEFECTIVE
RET-000037,ORD-00425,CH02,1,7.02,2024-01-12,WRONG_SIZE
RET-000038,ORD-00428,CH02,3,8.41,2024-01-10,CHANGED_MIND
RET-000039,ORD-00457,CH02,1,6.93,2024-01-17,CHANGED_MIND
RET-000040,ORD-00474,CH02,2,8.67,2024-01-29,CHANGED_MIND
RET-000041,ORD-00498,CH02,1,7.39,2024-01-12,NOT_AS_DESCRIBED
RET-000042,ORD-00505,CH02,2,7.35,2024-01-04,CHANGED_MIND
RET-000043,ORD-00517,CH02,1,8.13,2024-01-23,CHANGED_MIND
RET-000044,ORD-00535,CH02,1,7.47,2024-01-24,NOT_AS_DESCRIBED
RET-000045,ORD-00540,CH02,1,8.62,2024-01-10,DEFECTIVE
RET-000046,ORD-00550,CH02,2,8.87,2024-02-04,CHANGED_MIND
RET-000047,ORD-00590,CH02,2,8.96,2024-01-15,CHANGED_MIND
RET-000048,ORD-00602,CH02,1,8.81,2024-01-23,CHANGED_MIND
RET-000049,ORD-00609,CH02,1,7.42,2024-01-22,CHANGED_MIND
RET-000050,ORD-00628,CH02,1,8.17,2024-01-17,WRONG_SIZE
RET-000051,ORD-00651,CH02,1,7.31,2024-02-02,CHANGED_MIND
RET-000052,ORD-00684,CH02,1,8.61,2024-02-02,DEFECTIVE
RET-000053,ORD-00693,CH02,1,8.23,2024-02-03,WRONG_SIZE
RET-000054,ORD-00730,CH02,2,7.72,2024-02-07,WRONG_SIZE
RET-000055,ORD-00733,CH02,1,8.7,2024-02-08,WRONG_SIZE
RET-000056,ORD-00738,CH02,1,8.62,2024-01-22,DEFECTIVE
RET-000057,ORD-00764,CH02,3,6.92,2024-01-30,CHANGED_MIND
RET-000058,ORD-00777,CH02,1,7.99,2024-01-22,CHANGED_MIND
RET-000059,ORD-00779,CH02,3,7.85,2024-01-22,WRONG_SIZE
RET-000060,ORD-00001,CH03,1,9.63,2024-01-09,CHANGED_MIND
RET-000061,ORD-00002,CH03,1,11.08,2024-02-02,DEFECTIVE
RET-000062,ORD-00003,CH03,1,10.87,2024-01-29,DEFECTIVE
RET-000063,ORD-00005,CH03,1,10.3,2024-01-26,WRONG_SIZE
RET-000064,ORD-00007,CH03,3,10.0,2024-01-11,NOT_AS_DESCRIBED
RET-000065,ORD-00008,CH03,1,8.67,2024-01-11,DEFECTIVE
RET-000066,ORD-00010,CH03,1,9.05,2024-02-04,NOT_AS_DESCRIBED
RET-000067,ORD-00011,CH03,1,10.27,2024-02-11,WRONG_SIZE
RET-000068,ORD-00012,CH03,2,9.24,2024-01-23,WRONG_SIZE
RET-000069,ORD-00013,CH03,1,9.9,2024-01-30,DEFECTIVE
RET-000070,ORD-00015,CH03,3,10.1,2024-01-17,WRONG_SIZE
RET-000071,ORD-00018,CH03,6,11.03,2024-02-03,CHANGED_MIND
RET-000072,ORD-00021,CH03,2,8.51,2024-02-06,DEFECTIVE
RET-000073,ORD-00022,CH03,1,9.17,2024-02-01,DEFECTIVE
RET-000074,ORD-00023,CH03,2,10.01,2024-01-20,DEFECTIVE
RET-000075,ORD-00024,CH03,3,8.76,2024-01-26,DEFECTIVE
RET-000076,ORD-00026,CH03,3,9.29,2024-01-11,DEFECTIVE
RET-000077,ORD-00027,CH03,1,10.44,2024-01-18,CHANGED_MIND
RET-000078,ORD-00029,CH03,1,9.77,2024-01-22,DEFECTIVE
RET-000079,ORD-00030,CH03,1,10.0,2024-01-28,DEFECTIVE
RET-000080,ORD-00031,CH03,1,10.92,2024-01-14,WRONG_SIZE
RET-000081,ORD-00034,CH03,1,10.88,2024-01-16,DEFECTIVE
RET-000082,ORD-00037,CH03,3,11.28,2024-01-08,CHANGED_MIND
RET-000083,ORD-00038,CH03,3,10.17,2024-01-16,CHANGED_MIND
RET-000084,ORD-00039,CH03,2,10.46,2024-01-27,CHANGED_MIND
RET-000085,ORD-00040,CH03,1,9.91,2024-02-02,DEFECTIVE
RET-000086,ORD-00041,CH03,1,8.54,2024-02-03,WRONG_SIZE
RET-000087,ORD-00043,CH03,3,8.74,2024-01-03,NOT_AS_DESCRIBED
RET-000088,ORD-00044,CH03,1,9.25,2024-01-19,DEFECTIVE
RET-000089,ORD-00045,CH03,1,10.78,2024-01-26,WRONG_SIZE
RET-000090,ORD-00048,CH03,2,10.32,2024-01-21,CHANGED_MIND
RET-000091,ORD-00056,CH03,1,9.17,2024-01-26,CHANGED_MIND
RET-000092,ORD-00065,CH03,1,8.68,2024-01-07,WRONG_SIZE
RET-000093,ORD-00066,CH03,1,10.7,2024-01-05,DEFECTIVE
RET-000094,ORD-00069,CH03,1,10.36,2024-01-05,DEFECTIVE
RET-000095,ORD-00070,CH03,1,9.18,2024-02-07,CHANGED_MIND
RET-000096,ORD-00071,CH03,1,8.95,2024-01-28,DEFECTIVE
RET-000097,ORD-00072,CH03,2,9.52,2024-02-03,DEFECTIVE
RET-000098,ORD-00073,CH03,1,10.85,2024-01-18,NOT_AS_DESCRIBED
RET-000099,ORD-00074,CH03,1,9.64,2024-01-08,DEFECTIVE
RET-000100,ORD-00077,CH03,2,10.01,2024-01-18,NOT_AS_DESCRIBED
RET-000101,ORD-00082,CH03,2,10.15,2024-02-01,CHANGED_MIND
RET-000102,ORD-00083,CH03,1,11.02,2024-01-31,WRONG_SIZE
RET-000103,ORD-00088,CH03,1,8.81,2024-01-25,WRONG_SIZE
RET-000104,ORD-00090,CH03,1,9.17,2024-02-12,WRONG_SIZE
RET-000105,ORD-00091,CH03,2,9.54,2024-01-16,DEFECTIVE
RET-000106,ORD-00095,CH03,3,9.49,2024-01-30,CHANGED_MIND
RET-000107,ORD-00096,CH03,1,9.6,2024-02-03,DEFECTIVE
RET-000108,ORD-00097,CH03,1,10.19,2024-01-25,NOT_AS_DESCRIBED
RET-000109,ORD-00101,CH03,2,10.14,2024-01-29,WRONG_SIZE
RET-000110,ORD-00104,CH03,1,11.07,2024-02-13,DEFECTIVE
RET-000111,ORD-00105,CH03,2,10.95,2024-01-28,NOT_AS_DESCRIBED
RET-000112,ORD-00108,CH03,1,11.06,2024-01-20,WRONG_SIZE
RET-000113,ORD-00109,CH03,5,9.61,2024-01-20,NOT_AS_DESCRIBED
RET-000114,ORD-00111,CH03,2,10.0,2024-01-19,CHANGED_MIND
RET-000115,ORD-00112,CH03,1,9.66,2024-01-30,NOT_AS_DESCRIBED
RET-000116,ORD-00113,CH03,2,10.31,2024-01-29,CHANGED_MIND
RET-000117,ORD-00115,CH03,3,11.17,2024-01-23,NOT_AS_DESCRIBED
RET-000118,ORD-00116,CH03,3,11.47,2024-01-16,NOT_AS_DESCRIBED
RET-000119,ORD-00117,CH03,1,10.82,2024-01-17,CHANGED_MIND
RET-000120,ORD-00122,CH03,1,10.7,2024-01-18,WRONG_SIZE
RET-000121,ORD-00123,CH03,2,9.72,2024-01-24,CHANGED_MIND
RET-000122,ORD-00125,CH03,1,11.31,2024-01-16,NOT_AS_DESCRIBED
RET-000123,ORD-00128,CH03,2,9.26,2024-02-10,CHANGED_MIND
RET-000124,ORD-00130,CH03,1,9.13,2024-01-16,CHANGED_MIND
RET-000125,ORD-00131,CH03,1,10.03,2024-01-21,CHANGED_MIND
RET-000126,ORD-00132,CH03,3,8.52,2024-01-25,NOT_AS_DESCRIBED
RET-000127,ORD-00133,CH03,2,10.48,2024-01-16,CHANGED_MIND
RET-000128,ORD-00134,CH03,2,9.17,2024-01-27,DEFECTIVE
RET-000129,ORD-00136,CH03,2,10.2,2024-01-18,CHANGED_MIND
RET-000130,ORD-00143,CH03,1,8.89,2024-01-17,CHANGED_MIND
RET-000131,ORD-00144,CH03,3,11.25,2024-02-04,CHANGED_MIND
RET-000132,ORD-00148,CH03,1,8.56,2024-01-12,NOT_AS_DESCRIBED
RET-000133,ORD-00149,CH03,3,10.46,2024-01-16,DEFECTIVE
RET-000134,ORD-00150,CH03,2,10.15,2024-01-19,WRONG_SIZE
RET-000135,ORD-00153,CH03,1,9.91,2024-01-19,WRONG_SIZE
RET-000136,ORD-00156,CH03,1,10.43,2024-01-28,NOT_AS_DESCRIBED
RET-000137,ORD-00158,CH03,1,9.55,2024-01-12,CHANGED_MIND
RET-000138,ORD-00160,CH03,2,11.5,2024-02-05,WRONG_SIZE
RET-000139,ORD-00162,CH03,1,9.76,2024-01-28,WRONG_SIZE
RET-000140,ORD-00166,CH03,1,9.61,2024-01-29,WRONG_SIZE
RET-000141,ORD-00167,CH03,1,8.95,2024-01-29,CHANGED_MIND
RET-000142,ORD-00175,CH03,5,9.23,2024-01-16,CHANGED_MIND
RET-000143,ORD-00176,CH03,1,8.62,2024-01-21,WRONG_SIZE
RET-000144,ORD-00177,CH03,1,8.91,2024-02-04,DEFECTIVE
RET-000145,ORD-00179,CH03,1,11.16,2024-01-11,CHANGED_MIND
RET-000146,ORD-00180,CH03,1,10.15,2024-02-03,WRONG_SIZE
RET-000147,ORD-00181,CH03,1,11.06,2024-01-14,CHANGED_MIND
RET-000148,ORD-00182,CH03,1,10.34,2024-01-15,CHANGED_MIND
RET-000149,ORD-00183,CH03,4,8.78,2024-01-08,NOT_AS_DESCRIBED
RET-000150,ORD-00194,CH03,2,9.15,2024-01-15,WRONG_SIZE
RET-000151,ORD-00196,CH03,1,9.63,2024-02-05,CHANGED_MIND
RET-000152,ORD-00197,CH03,1,8.96,2024-02-09,CHANGED_MIND
RET-000153,ORD-00199,CH03,1,9.76,2024-02-10,WRONG_SIZE
RET-000154,ORD-00202,CH03,2,10.71,2024-01-29,NOT_AS_DESCRIBED
RET-000155,ORD-00203,CH03,1,9.3,2024-01-09,NOT_AS_DESCRIBED
RET-000156,ORD-00204,CH03,1,10.27,2024-01-08,CHANGED_MIND
RET-000157,ORD-00206,CH03,3,8.64,2024-02-05,DEFECTIVE
RET-000158,ORD-00207,CH03,1,10.52,2024-01-16,WRONG_SIZE
RET-000159,ORD-00208,CH03,2,10.83,2024-01-16,NOT_AS_DESCRIBED
RET-000160,ORD-00210,CH03,1,8.72,2024-01-16,WRONG_SIZE
RET-000161,ORD-00213,CH03,1,11.09,2024-01-10,CHANGED_MIND
RET-000162,ORD-00216,CH03,2,10.32,2024-01-15,DEFECTIVE
RET-000163,ORD-00217,CH03,1,11.14,2024-01-28,WRONG_SIZE
RET-000164,ORD-00218,CH03,2,9.27,2024-02-02,CHANGED_MIND
RET-000165,ORD-00219,CH03,1,9.35,2024-01-28,DEFECTIVE
RET-000166,ORD-00220,CH03,1,10.7,2024-01-30,DEFECTIVE
RET-000167,ORD-00221,CH03,4,10.09,2024-01-31,NOT_AS_DESCRIBED
RET-000168,ORD-00222,CH03,2,10.6,2024-01-19,DEFECTIVE
RET-000169,ORD-00225,CH03,1,11.07,2024-01-28,DEFECTIVE
RET-000170,ORD-00228,CH03,1,8.97,2024-01-13,DEFECTIVE
RET-000171,ORD-00230,CH03,4,9.19,2024-02-01,NOT_AS_DESCRIBED
RET-000172,ORD-00231,CH03,2,10.67,2024-01-15,NOT_AS_DESCRIBED
RET-000173,ORD-00233,CH03,2,9.55,2024-01-29,NOT_AS_DESCRIBED
RET-000174,ORD-00235,CH03,3,9.48,2024-01-19,WRONG_SIZE
RET-000175,ORD-00238,CH03,2,10.22,2024-01-14,DEFECTIVE
RET-000176,ORD-00240,CH03,1,10.7,2024-02-11,NOT_AS_DESCRIBED
RET-000177,ORD-00241,CH03,3,10.36,2024-02-01,CHANGED_MIND
RET-000178,ORD-00243,CH03,1,9.46,2024-01-07,CHANGED_MIND
RET-000179,ORD-00244,CH03,2,10.16,2024-01-27,CHANGED_MIND
RET-000180,ORD-00246,CH03,2,8.66,2024-02-05,CHANGED_MIND
RET-000181,ORD-00247,CH03,1,9.99,2024-01-31,CHANGED_MIND
RET-000182,ORD-00250,CH03,2,11.23,2024-01-24,WRONG_SIZE
RET-000183,ORD-00251,CH03,2,11.43,2024-02-02,WRONG_SIZE
RET-000184,ORD-00252,CH03,2,8.86,2024-01-18,WRONG_SIZE
RET-000185,ORD-00254,CH03,3,9.42,2024-01-16,CHANGED_MIND
RET-000186,ORD-00255,CH03,4,8.99,2024-01-21,WRONG_SIZE
RET-000187,ORD-00256,CH03,1,11.28,2024-01-16,WRONG_SIZE
RET-000188,ORD-00258,CH03,2,10.45,2024-01-25,CHANGED_MIND
RET-000189,ORD-00260,CH03,1,9.51,2024-01-31,DEFECTIVE
RET-000190,ORD-00262,CH03,3,9.1,2024-01-23,WRONG_SIZE
RET-000191,ORD-00263,CH03,1,11.22,2024-01-27,CHANGED_MIND
RET-000192,ORD-00264,CH03,1,11.42,2024-01-13,WRONG_SIZE
RET-000193,ORD-00265,CH03,1,9.57,2024-01-18,WRONG_SIZE
RET-000194,ORD-00270,CH03,1,10.9,2024-01-06,DEFECTIVE
RET-000195,ORD-00271,CH03,2,10.88,2024-01-26,DEFECTIVE
RET-000196,ORD-00272,CH03,3,10.46,2024-02-02,CHANGED_MIND
RET-000197,ORD-00273,CH03,1,9.5,2024-02-04,CHANGED_MIND
RET-000198,ORD-00274,CH03,1,11.12,2024-02-02,NOT_AS_DESCRIBED
RET-000199,ORD-00276,CH03,2,9.35,2024-01-17,CHANGED_MIND
RET-000200,ORD-00278,CH03,1,9.66,2024-01-12,NOT_AS_DESCRIBED
RET-000201,ORD-00279,CH03,2,11.47,2024-01-17,WRONG_SIZE
RET-000202,ORD-00280,CH03,3,9.42,2024-01-15,CHANGED_MIND
RET-000203,ORD-00281,CH03,1,10.05,2024-01-21,CHANGED_MIND
RET-000204,ORD-00284,CH03,2,8.8,2024-01-23,NOT_AS_DESCRIBED
RET-000205,ORD-00287,CH03,2,9.89,2024-01-19,CHANGED_MIND
RET-000206,ORD-00289,CH03,3,10.08,2024-02-02,DEFECTIVE
RET-000207,ORD-00290,CH03,2,8.52,2024-01-23,DEFECTIVE
RET-000208,ORD-00291,CH03,2,10.12,2024-02-09,DEFECTIVE
RET-000209,ORD-00292,CH03,1,8.77,2024-01-30,NOT_AS_DESCRIBED
RET-000210,ORD-00293,CH03,2,8.99,2024-02-05,WRONG_SIZE
RET-000211,ORD-00296,CH03,1,9.72,2024-01-20,CHANGED_MIND
RET-000212,ORD-00297,CH03,1,9.34,2024-01-28,CHANGED_MIND
RET-000213,ORD-00299,CH03,1,9.02,2024-02-10,DEFECTIVE
RET-000214,ORD-00306,CH03,2,10.2,2024-01-28,DEFECTIVE
RET-000215,ORD-00309,CH03,1,10.28,2024-01-19,NOT_AS_DESCRIBED
RET-000216,ORD-00310,CH03,1,9.06,2024-02-01,CHANGED_MIND
RET-000217,ORD-00311,CH03,1,8.59,2024-01-14,CHANGED_MIND
RET-000218,ORD-00312,CH03,3,10.79,2024-02-06,DEFECTIVE
