month,cost_type,total_cost
2024-01,Warehousing,36000.0
2024-01,fulfillment,15000.0
2024-02,Warehousing,36000.0
2024-02,fulfillment,15000.0
2024-03,Warehousing,36000.0
2024-03,fulfillment,15000.0
2024-04,Warehousing,36000.0
2024-04,fulfillment,15000.0
2024-05,Warehousing,36000.0
2024-05,fulfillment,15000.0
2024-06,Warehousing,36000.0
2024-06,fulfillment,15000.0
2024-07,Warehousing,36000.0
2024-07,fulfillment,15000.0
2024-08,Warehousing,36000.0
2024-08,fulfillment,15000.0
2024-09,Warehousing,36000.0
2024-09,fulfillment,15000.0
2024-10,Warehousing,36000.0
2024-10,fulfillment,15000.0
2024-11,Warehousing,36000.0
2024-11,fulfillment,15000.0
2024-12,Warehousing,36000.0
2024-12,fulfillment,15000.0
