account_id,account_name,billing_entity_name,billing_country,billing_currency,billing_address,industry,segment,employee_count,parent_account_id,is_subsidiary,csm_id,ae_id,arr,mrr,contract_count,active_users,health_score,renewal_date,days_to_renewal,nps_score,support_tier,data_processing_region,is_reseller,reseller_margin_pct,created_date,status,is_test_account
ACC0001,Envoy Inc,,GB,GBP,"758 Main St, Suite 767",Logistics,enterprise,41273,,False,CSM01,AE07,419316.0,34943.0,1,17071,80,2025-10-10,102,63,enterprise,us-west-2,False,,2020-01-08,active,False
ACC0002,Clarity Corp,,US,USD,"9954 Main St, Suite 481",Healthcare,enterprise,30441,,False,CSM16,AE11,187932.0,15661.0,1,2194,80,2025-09-15,77,51,enterprise,us-west-2,False,,2022-02-15,active,False
ACC0003,Nexus Inc,,US,USD,"9210 Main St, Suite 989",Logistics,enterprise,34073,,False,CSM12,AE04,100116.0,8343.0,1,14296,86,2025-09-05,67,79,enterprise,eu-west-1,False,,2020-10-15,active,False
ACC0004,Comet Group,,US,USD,"4745 Main St, Suite 375",Financial Services,enterprise,20236,,False,CSM05,AE14,419688.0,34974.0,1,9520,33,2025-11-02,125,36,enterprise,us-east-1,False,,2021-01-24,active,False
ACC0005,Quantum Ltd,,US,USD,"8554 Main St, Suite 673",Manufacturing,enterprise,49785,,False,CSM13,AE07,284232.0,23686.0,2,16684,86,2025-07-03,3,52,enterprise,eu-west-1,False,,2022-09-14,active,False
ACC0006,Harbor Solutions,,US,USD,"7708 Main St, Suite 432",Manufacturing,enterprise,27437,,False,CSM09,AE14,381564.0,31797.0,1,4185,71,2025-12-10,163,-26,enterprise,ap-southeast-1,False,,2023-05-27,active,False
ACC0007,Dune Technologies,,NL,EUR,"6344 Main St, Suite 107",Healthcare,enterprise,27039,,False,CSM07,AE03,421620.0,35135.0,2,3505,31,2025-09-28,90,33,enterprise,ap-southeast-1,False,,2022-02-01,active,False
ACC0008,Talon Enterprises,,US,USD,"7162 Main St, Suite 982",Education,enterprise,7978,,False,CSM13,AE14,214092.0,17841.0,1,1906,99,2025-09-08,70,52,enterprise,eu-west-1,False,,2022-07-01,active,False
ACC0009,Delta Solutions,,GB,GBP,"7350 Main St, Suite 684",Manufacturing,enterprise,48198,,False,CSM20,AE10,205332.0,17111.0,2,10047,98,2025-12-03,156,-28,enterprise,ap-southeast-1,False,,2022-10-13,active,False
ACC0010,Falcon Corp,,GB,GBP,"9635 Main St, Suite 540",Logistics,enterprise,48548,,False,CSM20,AE13,377760.0,31480.0,2,11288,53,2025-07-04,4,78,enterprise,us-east-1,False,,2022-08-10,active,False
ACC0011,Relic Group,Noble Corp,US,USD,"3789 Main St, Suite 956",Technology,enterprise,5156,,False,CSM08,AE02,345528.0,28794.0,1,2403,77,2025-11-08,131,52,enterprise,eu-west-1,False,,2020-07-16,active,False
