amendment_id,contract_id,account_id,amendment_date,effective_date,amendment_type,old_mrr,new_mrr,old_term_end,new_term_end,credit_method,credited_periods,credited_amount,delta_acv,amendment_reason,requires_new_contract,parent_amendment_id,replacement_contract_id,approved_by,approval_date,is_co_term,billing_adjustment_applied,created_at
AMD0001,CTR00061,ACC0035,2025-05-06,2025-05-07,expansion,7100.0,9219.38,2025-09-25,2025-09-25,daily_prorate,1,0.0,25432.56,downsell,False,,,MGR07,2025-05-06,False,False,2025-05-05T10:00:00Z
AMD0002,CTR00057,ACC0032,2025-03-06,2025-03-07,reduction,6500.0,4151.46,2027-05-11,2027-05-11,daily_prorate,3,7045.62,-28182.48,upsell,False,,,MGR01,2025-03-06,False,False,2025-03-06T10:00:00Z
AMD0003,CTR00161,ACC0086,2025-05-10,2025-05-13,reduction,6750.0,5242.4,2026-02-14,2026-02-14,monthly_prorate,1,1507.6,-18091.2,pricing_adjustment,False,,,MGR08,2025-05-12,False,False,2025-05-12T10:00:00Z
AMD0004,CTR00036,ACC0022,2025-03-10,2025-03-12,reduction,9750.0,6904.95,2026-01-25,2026-01-25,daily_prorate,3,8535.15,-34140.6,pricing_adjustment,False,,,MGR09,2025-03-11,False,False,2025-03-11T10:00:00Z
AMD0005,CTR00166,ACC0089,2025-05-21,2025-05-24,reduction,7000.0,6211.6,2026-07-22,2026-07-22,daily_prorate,1,788.4,-9460.8,contract_renewal,False,,,MGR06,2025-05-23,True,False,2025-05-21T10:00:00Z
AMD0006,CTR00072,ACC0041,2025-05-20,2025-05-22,reduction,6000.0,3916.87,2026-02-06,2026-02-06,daily_prorate,1,2083.13,-24997.56,contract_renewal,False,,,MGR06,2025-05-21,False,False,2025-05-21T10:00:00Z
AMD0007,CTR00175,ACC0094,2025-01-23,2025-01-25,expansion,7000.0,8049.25,2027-04-13,2027-04-13,daily_prorate,5,0.0,12591.0,contract_renewal,False,,,MGR01,2025-01-24,False,False,2025-01-21T10:00:00Z
AMD0008,CTR00002,ACC0002,2025-03-15,2025-03-17,reduction,8250.0,6220.49,2025-07-21,2025-07-21,daily_prorate,3,6088.53,-24354.12,downsell,False,,,MGR07,2025-03-16,False,False,2025-03-16T10:00:00Z
AMD0009,CTR00086,ACC0048,2025-01-21,2025-01-22,extension,8050.0,8050.0,2026-08-06,2026-08-06,daily_prorate,5,0.0,0.0,pricing_adjustment,False,,,MGR07,2025-01-21,False,False,2025-01-19T10:00:00Z
AMD0010,CTR00019,ACC0013,2025-04-21,2025-04-25,extension,6800.0,6800.0,2025-11-12,2025-11-12,daily_prorate,2,0.0,0.0,downsell,False,,,MGR06,2025-04-24,False,False,2025-04-22T10:00:00Z
AMD0011,CTR00101,ACC0054,2025-02-03,2025-02-07,reduction,7500.0,6379.92,2026-09-30,2026-09-30,monthly_prorate,4,4480.32,-13440.96,downsell,False,,,MGR09,2025-02-06,True,False,2025-02-05T10:00:00Z
AMD0012,CTR00027,ACC0018,2025-05-14,2025-05-15,expansion,9250.0,10777.67,2026-10-17,2026-10-17,monthly_prorate,1,0.0,18332.04,contract_renewal,False,,,MGR02,2025-05-14,True,False,2025-05-13T10:00:00Z
AMD0013,CTR00105,ACC0055,2025-05-04,2025-05-06,expansion,6750.0,7813.13,2026-02-25,2026-02-25,monthly_prorate,1,0.0,12757.56,pricing_adjustment,False,,,MGR06,2025-05-05,False,False,2025-05-02T10:00:00Z
AMD0014,CTR00085,ACC0047,2025-01-23,2025-01-25,reduction,7500.0,6151.97,2026-07-14,2026-07-14,daily_prorate,5,6740.15,-16176.36,upsell,False,,,MGR04,2025-01-24,False,False,2025-01-22T10:00:00Z
AMD0015,CTR00113,ACC0059,2025-02-13,2025-02-17,reduction,7000.0,5023.04,2026-01-20,2026-01-20,daily_prorate,4,7907.84,-23723.52,pricing_adjustment,False,,,MGR06,2025-02-16,False,False,2025-02-13T10:00:00Z
AMD0016,CTR00152,ACC0081,2025-06-07,2025-06-09,reduction,7000.0,5661.22,2025-08-14,2025-08-14,daily_prorate,0,0.0,-16065.36,contract_renewal,False,,,MGR09,2025-06-08,False,False,2025-06-08T10:00:00Z
AMD0017,CTR00084,ACC0046,2025-05-12,2025-05-16,extension,6000.0,6000.0,2027-01-06,2027-01-06,daily_prorate,1,0.0,0.0,upsell,False,,,MGR02,2025-05-15,False,False,2025-05-12T10:00:00Z
AMD0018,CTR00143,ACC0077,2025-06-17,2025-06-19,reduction,9050.0,6686.34,2026-03-04,2026-03-04,daily_prorate,0,0.0,-28363.92,upsell,False,,,MGR02,2025-06-18,True,False,2025-06-18T10:00:00Z
