credit_id,account_id,contract_id,amendment_id,credit_date,credit_type,amount,currency,applied_to_invoice_id,application_date,remaining_balance,status,expiry_date,created_by,approval_required,approved_by,calculation_basis,is_system_generated,void_reason
CRM00001,ACC0032,CTR00057,AMD0002,2025-03-09,prorated,0.0,USD,INV000339,2025-03-10,0.0,applied,2025-06-07,billing_system,False,,monthly_prorate,True,
CRM00002,ACC0086,CTR00161,AMD0003,2025-05-15,prorated,1507.6,USD,INV000965,2025-05-16,0.0,applied,2025-08-13,billing_system,False,,monthly_prorate,True,
CRM00003,ACC0022,CTR00036,AMD0004,2025-03-14,prorated,0.0,USD,INV000213,2025-03-15,0.0,applied,2025-06-12,billing_system,False,,monthly_prorate,True,
CRM00004,ACC0089,CTR00166,AMD0005,2025-05-26,prorated,0.0,USD,INV000995,2025-05-27,0.0,applied,2025-08-24,billing_system,False,,monthly_prorate,True,
CRM00005,ACC0041,CTR00072,AMD0006,2025-05-24,prorated,0.0,USD,INV000431,2025-05-25,0.0,applied,2025-08-22,billing_system,False,,monthly_prorate,True,
CRM00006,ACC0002,CTR00002,AMD0008,2025-03-19,prorated,0.0,USD,INV000009,2025-03-20,0.0,applied,2025-06-17,billing_system,False,,monthly_prorate,True,
CRM00007,ACC0054,CTR00101,AMD0011,2025-02-09,prorated,4480.32,USD,INV000602,2025-02-10,0.0,applied,2025-05-07,billing_system,False,,monthly_prorate,True,
CRM00008,ACC0047,CTR00085,AMD0014,2025-01-27,prorated,0.0,USD,INV000505,2025-01-28,0.0,applied,2025-04-25,billing_system,False,,monthly_prorate,True,
CRM00009,ACC0059,CTR00113,AMD0015,2025-02-19,prorated,0.0,USD,INV000674,2025-02-20,0.0,applied,2025-05-17,billing_system,False,,monthly_prorate,True,
CRM00010,ACC0081,CTR00152,AMD0016,2025-06-11,prorated,0.0,USD,INV000912,2025-06-12,0.0,applied,2025-09-09,billing_system,False,,monthly_prorate,True,
CRM00011,ACC0077,CTR00143,AMD0018,2025-06-21,prorated,0.0,USD,INV000858,2025-06-22,0.0,applied,2025-09-19,billing_system,False,,monthly_prorate,True,
CRM00012,ACC0022,CTR00038,AMD0019,2025-01-14,prorated,0.0,USD,INV000223,2025-01-15,0.0,applied,2025-04-12,billing_system,False,,monthly_prorate,True,
CRM00013,ACC0056,CTR00107,AMD0020,2025-02-25,prorated,0.0,USD,INV000638,2025-02-26,0.0,applied,2025-05-23,billing_system,False,,monthly_prorate,True,
CRM00014,ACC0060,CTR00115,AMD0022,2025-04-23,prorated,0.0,USD,INV000688,2025-04-24,0.0,applied,2025-07-21,billing_system,False,,monthly_prorate,True,
CRM00015,ACC0028,CTR00049,AMD0024,2025-04-26,prorated,0.0,USD,INV000292,2025-04-27,0.0,applied,2025-07-24,billing_system,False,,monthly_prorate,True,
CRM00016,ACC0087,CTR00162,AMD0026,2025-06-23,prorated,0.0,USD,INV000972,2025-06-24,0.0,applied,2025-09-21,billing_system,False,,monthly_prorate,True,
CRM00017,ACC0041,CTR00071,AMD0028,2025-04-25,prorated,5801.7,USD,INV000424,2025-04-26,0.0,applied,2025-07-23,billing_system,True,MGR04,monthly_prorate,True,
CRM00018,ACC0057,CTR00109,AMD0029,2025-04-25,prorated,0.0,USD,INV000652,2025-04-26,0.0,applied,2025-07-23,billing_system,False,,monthly_prorate,True,
CRM00019,ACC0099,CTR00182,AMD0031,2025-02-13,prorated,0.0,USD,INV001088,2025-02-14,0.0,applied,2025-05-11,billing_system,False,,monthly_prorate,True,
