line_item_id,invoice_id,contract_id,product_sku,description,quantity,unit_price,list_price,discount_pct,discount_reason,line_total,billing_period_start,billing_period_end,is_prorated,proration_days,proration_method,recognition_start,recognition_end,revenue_category,tax_code,override_flag,override_reason
LIT0000001,INV000001,CTR00001,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000002,INV000001,CTR00001,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000003,INV000002,CTR00001,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000004,INV000002,CTR00001,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000005,INV000003,CTR00001,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000006,INV000003,CTR00001,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000007,INV000004,CTR00001,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000008,INV000004,CTR00001,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000009,INV000005,CTR00001,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000010,INV000005,CTR00001,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000011,INV000006,CTR00001,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
