invoice_id,account_id,contract_id,invoice_date,due_date,billing_period_start,billing_period_end,status,currency,subtotal,tax_amount,total_amount,invoice_fx_rate,usd_equivalent,invoice_type,is_auto_generated,billing_system_source,line_item_count,applied_credits_total,outstanding_balance,payment_terms_days,sent_date,viewed_date,paid_date,void_reason,is_consolidated,parent_invoice_id
INV000001,ACC0001,CTR00001,2025-01-01,2025-01-31,2025-01-01,2025-01-31,paid,GBP,6750.0,1350.0,8100.0,1.2444,10079.64,standard,True,zuora,2,0.0,0.0,30,2025-01-02,2025-01-05,2025-02-14,,True,
INV000002,ACC0001,CTR00001,2025-02-01,2025-03-03,2025-02-01,2025-02-28,paid,GBP,6750.0,1350.0,8100.0,1.2511,10133.91,standard,True,zuora,2,0.0,0.0,30,2025-02-02,2025-02-05,2025-03-07,,True,INV000001
INV000003,ACC0001,CTR00001,2025-03-01,2025-03-31,2025-03-01,2025-03-31,paid,GBP,6750.0,1350.0,8100.0,1.243,10068.3,standard,True,zuora,2,0.0,0.0,30,2025-03-02,2025-03-05,2025-04-02,,True,
INV000004,ACC0001,CTR00001,2025-04-01,2025-05-01,2025-04-01,2025-04-30,paid,GBP,6750.0,1350.0,8100.0,1.2359,10010.79,standard,True,zuora,2,0.0,0.0,30,2025-04-02,2025-04-03,2025-05-05,,True,INV000003
INV000005,ACC0001,CTR00001,2025-05-01,2025-05-31,2025-05-01,2025-05-31,paid,GBP,6750.0,1350.0,8100.0,1.2322,9980.82,standard,True,zuora,2,0.0,0.0,30,2025-05-02,2025-05-03,2025-06-01,,True,
INV000006,ACC0001,CTR00001,2025-06-01,2025-07-01,2025-06-01,2025-06-30,paid,GBP,6750.0,1350.0,8100.0,1.2404,10047.24,standard,True,zuora,2,0.0,0.0,30,2025-06-02,2025-06-04,2025-07-02,,True,INV000005
INV000007,ACC0002,CTR00002,2025-01-01,2025-01-31,2025-01-01,2025-01-31,paid,USD,8250.0,0.0,8250.0,1.0,8250.0,standard,True,zuora,2,0.0,0.0,30,2025-01-02,2025-01-05,2025-01-31,,False,
INV000008,ACC0002,CTR00002,2025-02-01,2025-03-03,2025-02-01,2025-02-28,paid,USD,8250.0,0.0,8250.0,1.0,8250.0,standard,True,zuora,2,0.0,0.0,30,2025-02-02,2025-02-04,2025-03-05,,False,
INV000009,ACC0002,CTR00002,2025-03-01,2025-03-31,2025-03-01,2025-03-31,paid,USD,8250.0,0.0,8250.0,1.0,8250.0,standard,True,zuora,2,0.0,0.0,30,2025-03-02,2025-03-05,2025-04-03,,False,
INV000010,ACC0002,CTR00002,2025-04-01,2025-05-01,2025-04-01,2025-04-30,paid,USD,6220.49,0.0,6220.49,1.0,6220.49,standard,True,zuora,2,0.0,0.0,30,2025-04-02,2025-04-03,2025-05-10,,False,
INV000011,ACC0002,CTR00002,2025-05-01,2025-05-31,2025-05-01,2025-05-31,paid,USD,6220.49,0.0,6220.49,1.0,6220.49,standard,True,zuora,2,0.0,0.0,30,2025-05-02,2025-05-05,2025-06-12,,False,
INV000012,ACC0002,CTR00002,2025-06-01,2025-07-01,2025-06-01,2025-06-30,paid,USD,6220.49,0.0,6220.49,1.0,6220.49,standard,True,zuora,2,0.0,0.0,30,2025-06-02,2025-06-02,2025-07-14,,False,
INV000013,ACC0003,CTR00003,2025-01-01,2025-01-31,2025-01-01,2025-01-31,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-01-02,2025-01-02,2025-01-31,,False,
INV000014,ACC0003,CTR00003,2025-02-01,2025-03-03,2025-02-01,2025-02-28,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-02-02,2025-02-03,2025-03-12,,False,
INV000015,ACC0003,CTR00003,2025-03-01,2025-03-31,2025-03-01,2025-03-31,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-03-02,2025-03-02,2025-04-13,,False,
INV000016,ACC0003,CTR00003,2025-04-01,2025-05-01,2025-04-01,2025-04-30,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-04-02,2025-04-02,2025-05-09,,False,
INV000017,ACC0003,CTR00003,2025-05-01,2025-05-31,2025-05-01,2025-05-31,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-05-02,2025-05-04,2025-06-07,,False,
INV000018,ACC0003,CTR00003,2025-06-01,2025-07-01,2025-06-01,2025-06-30,paid,USD,7050.0,0.0,7050.0,1.0,7050.0,standard,True,zuora,2,0.0,0.0,30,2025-06-02,2025-06-02,2025-07-12,,False,
INV000019,ACC0004,CTR00004,2025-01-01,2025-02-15,2025-01-01,2025-01-31,paid,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,0.0,45,2025-01-02,2025-01-03,2025-03-01,,False,
INV000020,ACC0004,CTR00004,2025-02-01,2025-03-18,2025-02-01,2025-02-28,void,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,9500.0,45,2025-02-02,2025-02-03,,billing_error,False,
INV000021,ACC0004,CTR00004,2025-03-01,2025-04-15,2025-03-01,2025-03-31,paid,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,0.0,45,2025-03-02,2025-03-04,2025-04-26,,False,
INV000022,ACC0004,CTR00004,2025-04-01,2025-05-16,2025-04-01,2025-04-30,overdue,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,9500.0,45,2025-04-02,2025-04-04,,,False,
INV000023,ACC0004,CTR00004,2025-05-01,2025-06-15,2025-05-01,2025-05-31,paid,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,0.0,45,2025-05-02,2025-05-02,2025-06-27,,False,
INV000024,ACC0004,CTR00004,2025-06-01,2025-07-16,2025-06-01,2025-06-30,sent,USD,9500.0,0.0,9500.0,1.0,9500.0,standard,True,zuora,2,0.0,9500.0,45,2025-06-02,2025-06-05,,,False,
INV000025,ACC0005,CTR00005,2025-01-01,2025-02-15,2025-01-01,2025-01-31,paid,USD,9250.0,0.0,9250.0,1.0,9250.0,standard,True,zuora,2,0.0,0.0,45,2025-01-02,2025-01-04,2025-02-21,,False,
INV000026,ACC0005,CTR00005,2025-02-01,2025-03-18,2025-02-01,2025-02-28,paid,USD,9250.0,0.0,9250.0,1.0,9250.0,standard,True,zuora,2,0.0,0.0,45,2025-02-02,2025-02-04,2025-03-30,,False,
INV000027,ACC0005,CTR00005,2025-03-01,2025-04-15,2025-03-01,2025-03-31,paid,USD,9250.0,0.0,9250.0,1.0,9250.0,standard,True,zuora,2,0.0,0.0,45,2025-03-02,2025-03-04,2025-04-28,,False,
INV000028,ACC0005,CTR00005,2025-04-01,2025-05-16,2025-04-01,2025-04-30,paid,USD,9250.0,0.0,9250.0,1.0,9250.0,standard,True,zuora,2,0.0,0.0,45,2025-04-02,2025-04-03,2025-05-16,,False,
