payment_id,invoice_id,account_id,payment_date,amount_received,currency,applied_fx_rate,usd_amount_applied,payment_method,transaction_ref,is_partial,partial_payment_sequence,prior_outstanding_balance,remaining_balance_after,bank_fee_deducted,is_reconciled,reconciliation_date,reconciliation_source,chargeback_flag,chargeback_date,reversal_of_payment_id,notes
PAY000001,INV000001,ACC0001,2025-02-05,8100.0,GBP,1.2445,10080.45,ACH,TXN934983,False,0,8100.0,0.0,50.0,True,2025-02-06,bank_feed,False,,,
PAY000002,INV000002,ACC0001,2025-03-12,8100.0,GBP,1.2377,10025.37,ACH,TXN560120,False,0,8100.0,0.0,0.0,True,2025-03-13,bank_feed,False,,,
PAY000003,INV000003,ACC0001,2025-04-08,8100.0,GBP,1.2428,10066.68,ACH,TXN518461,False,0,8100.0,0.0,25.0,True,2025-04-11,bank_feed,False,,,
PAY000004,INV000004,ACC0001,2025-05-02,8100.0,GBP,1.2427,10065.87,ACH,TXN415773,False,0,8100.0,0.0,50.0,True,2025-05-05,bank_feed,False,,,
PAY000005,INV000005,ACC0001,2025-05-29,8100.0,GBP,1.2309,9970.29,credit_card,TXN572009,False,0,8100.0,0.0,0.0,True,2025-05-30,bank_feed,False,,,
PAY000006,INV000006,ACC0001,2025-07-02,8100.0,GBP,1.2375,10023.75,wire,TXN626283,False,0,8100.0,0.0,50.0,True,2025-07-05,bank_feed,False,,,
PAY000007,INV000007,ACC0002,2025-02-01,8250.0,USD,1.0,8250.0,wire,TXN259112,False,0,8250.0,0.0,0.0,True,2025-02-02,bank_feed,False,,,
PAY000008,INV000008,ACC0002,2025-03-09,8250.0,USD,1.0,8250.0,ACH,TXN873156,False,0,8250.0,0.0,0.0,True,2025-03-11,bank_feed,False,,,
PAY000009,INV000009,ACC0002,2025-03-31,8250.0,USD,1.0,8250.0,ACH,TXN718876,False,0,8250.0,0.0,0.0,True,2025-04-01,bank_feed,False,,,
PAY000010,INV000010,ACC0002,2025-05-10,6220.49,USD,1.0,6220.49,ACH,TXN501719,False,0,6220.49,0.0,0.0,True,2025-05-12,bank_feed,False,,,
PAY000011,INV000011,ACC0002,2025-06-06,6220.49,USD,1.0,6220.49,wire,TXN106901,False,0,6220.49,0.0,50.0,True,2025-06-09,bank_feed,False,,,
PAY000012,INV000012,ACC0002,2025-07-01,6220.49,USD,1.0,6220.49,ACH,TXN733645,False,0,6220.49,0.0,25.0,True,2025-07-03,bank_feed,False,,,
PAY000013,INV000013,ACC0003,2025-02-03,7050.0,USD,1.0,7050.0,check,TXN697379,False,0,7050.0,0.0,0.0,True,2025-02-04,bank_feed,False,,,
PAY000014,INV000014,ACC0003,2025-03-12,7050.0,USD,1.0,7050.0,wire,TXN772778,False,0,7050.0,0.0,0.0,True,2025-03-14,bank_feed,False,,,
