sku,tier,currency,list_price,effective_date,term_date,includes_implementation,includes_support,vol_discount_threshold_1,vol_discount_pct_1,vol_discount_threshold_2,vol_discount_pct_2,multi_year_discount_pct,prepay_discount_pct,is_promotional,promo_expires
PRD-PLAT-ENT,enterprise,USD,5000.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-ENT,mid_market,USD,5500.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-ENT,smb,USD,6000.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-ENT,reseller,USD,3750.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-MM,enterprise,USD,2000.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-MM,mid_market,USD,2200.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-MM,smb,USD,2400.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-MM,reseller,USD,1500.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-SMB,enterprise,USD,500.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-SMB,mid_market,USD,550.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-SMB,smb,USD,600.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-PLAT-SMB,reseller,USD,375.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-API-GW,enterprise,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-API-GW,mid_market,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-API-GW,smb,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-API-GW,reseller,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SEATS-CRM,enterprise,USD,50.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SEATS-CRM,mid_market,USD,55.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SEATS-CRM,smb,USD,60.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SEATS-CRM,reseller,USD,37.5,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-ANALYTICS,enterprise,USD,1500.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-ANALYTICS,mid_market,USD,1650.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-ANALYTICS,smb,USD,1800.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-ANALYTICS,reseller,USD,1125.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-STORAGE,enterprise,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-STORAGE,mid_market,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-STORAGE,smb,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-STORAGE,reseller,USD,0.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-ENT,enterprise,USD,2000.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-ENT,mid_market,USD,2200.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-ENT,smb,USD,2400.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-ENT,reseller,USD,1500.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-STD,enterprise,USD,500.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-STD,mid_market,USD,550.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-STD,smb,USD,600.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-SUP-STD,reseller,USD,375.0,2022-01-01,,False,True,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-STD,enterprise,USD,10000.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-STD,mid_market,USD,11000.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-STD,smb,USD,12000.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-STD,reseller,USD,7500.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-PREM,enterprise,USD,25000.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-PREM,mid_market,USD,27500.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-PREM,smb,USD,30000.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-IMPL-PREM,reseller,USD,18750.0,2022-01-01,,True,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SSO,enterprise,USD,500.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SSO,mid_market,USD,550.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SSO,smb,USD,600.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-SSO,reseller,USD,375.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-COMPLIANCE,enterprise,USD,1000.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-COMPLIANCE,mid_market,USD,1100.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-COMPLIANCE,smb,USD,1200.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-COMPLIANCE,reseller,USD,750.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-DATA-EXP,enterprise,USD,300.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-DATA-EXP,mid_market,USD,330.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-DATA-EXP,smb,USD,360.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-DATA-EXP,reseller,USD,225.0,2022-01-01,,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-LEGACY,enterprise,USD,199.0,2022-01-01,2024-12-31,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-LEGACY,mid_market,USD,218.9,2022-01-01,2024-12-31,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-LEGACY,smb,USD,238.8,2022-01-01,2024-12-31,False,False,5,0.05,20,0.1,0.08,0.05,False,
PRD-LEGACY,reseller,USD,149.25,2022-01-01,2024-12-31,False,False,5,0.05,20,0.1,0.08,0.05,False,
