sla_id,account_id,contract_id,period_start,period_end,sla_metric,contractual_target,actual_value,is_breach,breach_severity,credit_eligible,credit_calculated,credit_applied,credit_invoice_id,measured_at,data_source,is_disputed,dispute_resolution
SLA000001,ACC0001,CTR00001,2025-05-01,2025-05-31,data_sync_lag,60.0,236.3,True,major,True,675.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000002,ACC0001,CTR00001,2025-05-01,2025-05-31,api_response_p99,500.0,1221.5,True,minor,True,337.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000003,ACC0001,CTR00001,2025-05-01,2025-05-31,uptime,99.9,99.455,True,minor,True,337.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000004,ACC0001,CTR00001,2025-05-01,2025-05-31,ticket_response,4.0,7.6,True,major,True,675.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000005,ACC0002,CTR00002,2025-01-01,2025-01-31,data_sync_lag,60.0,186.4,True,minor,True,412.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000006,ACC0002,CTR00002,2025-05-01,2025-05-31,uptime,99.9,99.019,True,major,True,825.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000007,ACC0003,CTR00003,2025-02-01,2025-02-28,api_response_p99,500.0,1284.3,True,critical,True,1410.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000008,ACC0003,CTR00003,2025-03-01,2025-03-31,uptime,99.9,98.913,True,minor,True,352.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000009,ACC0003,CTR00003,2025-03-01,2025-03-31,api_response_p99,500.0,878.5,True,minor,True,352.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000010,ACC0004,CTR00004,2025-02-01,2025-02-28,ticket_response,4.0,23.4,True,minor,True,475.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000011,ACC0005,CTR00005,2025-01-01,2025-01-31,api_response_p99,500.0,1414.2,True,major,True,925.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000012,ACC0005,CTR00006,2025-03-01,2025-03-31,api_response_p99,500.0,578.6,True,major,True,675.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000013,ACC0005,CTR00006,2025-03-01,2025-03-31,uptime,99.9,98.568,True,critical,True,1350.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000014,ACC0005,CTR00006,2025-03-01,2025-03-31,data_sync_lag,60.0,224.7,True,major,True,675.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
