usage_id,account_id,contract_id,record_date,unit_type,units_consumed,units_included_monthly,units_rollover_from_prior,cumulative_units_ytd,overage_units,is_overage_billed,billing_period_id,usage_source,data_center_region,product_line,sku,is_test_usage,usage_quality_score,override_applied,created_at
USG00000001,ACC0001,CTR00001,2025-01-01,api_calls,5371.35,100000,0,5371.35,0.0,False,BP-2024-12-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.938,False,2025-01-01T23:59:00Z
USG00000002,ACC0001,CTR00001,2025-01-02,api_calls,4605.19,100000,0,9976.54,0.0,False,BP-2024-12-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.927,False,2025-01-02T23:59:00Z
USG00000003,ACC0001,CTR00001,2025-01-03,api_calls,3318.54,100000,0,13295.07,0.0,False,BP-2024-12-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.925,False,2025-01-03T23:59:00Z
USG00000004,ACC0001,CTR00001,2025-01-04,api_calls,5162.37,100000,0,18457.45,0.0,False,BP-2024-12-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.958,False,2025-01-04T23:59:00Z
USG00000005,ACC0001,CTR00001,2025-01-05,api_calls,4938.76,100000,0,23396.2,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.968,False,2025-01-05T23:59:00Z
USG00000006,ACC0001,CTR00001,2025-01-06,api_calls,2774.54,100000,0,26170.74,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.904,False,2025-01-06T23:59:00Z
USG00000007,ACC0001,CTR00001,2025-01-07,api_calls,5627.02,100000,0,31797.76,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.987,False,2025-01-07T23:59:00Z
USG00000008,ACC0001,CTR00001,2025-01-08,api_calls,3199.63,100000,0,34997.39,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.996,False,2025-01-08T23:59:00Z
USG00000009,ACC0001,CTR00001,2025-01-09,api_calls,3761.99,100000,0,38759.38,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.989,False,2025-01-09T23:59:00Z
USG00000010,ACC0001,CTR00001,2025-01-10,api_calls,4770.82,100000,0,43530.2,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.979,False,2025-01-10T23:59:00Z
USG00000011,ACC0001,CTR00001,2025-01-11,api_calls,2117.4,100000,0,45647.59,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.98,False,2025-01-11T23:59:00Z
USG00000012,ACC0001,CTR00001,2025-01-12,api_calls,3505.73,100000,0,49153.32,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.938,False,2025-01-12T23:59:00Z
USG00000013,ACC0001,CTR00001,2025-01-13,api_calls,3898.46,100000,0,53051.78,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.937,False,2025-01-13T23:59:00Z
USG00000014,ACC0001,CTR00001,2025-01-14,api_calls,4567.18,100000,0,57618.96,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.97,False,2025-01-14T23:59:00Z
USG00000015,ACC0001,CTR00001,2025-01-15,api_calls,3616.27,100000,0,61235.23,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.956,False,2025-01-15T23:59:00Z
USG00000016,ACC0001,CTR00001,2025-01-16,api_calls,2126.93,100000,0,63362.16,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.952,False,2025-01-16T23:59:00Z
USG00000017,ACC0001,CTR00001,2025-01-17,api_calls,5362.63,100000,0,68724.8,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.973,False,2025-01-17T23:59:00Z
USG00000018,ACC0001,CTR00001,2025-01-18,api_calls,3647.97,100000,0,72372.77,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.939,False,2025-01-18T23:59:00Z
USG00000019,ACC0001,CTR00001,2025-01-19,api_calls,3934.05,100000,0,76306.81,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.924,False,2025-01-19T23:59:00Z
USG00000020,ACC0001,CTR00001,2025-01-20,api_calls,2362.49,100000,0,78669.3,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.958,False,2025-01-20T23:59:00Z
USG00000021,ACC0001,CTR00001,2025-01-21,api_calls,4891.19,100000,0,83560.5,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.991,False,2025-01-21T23:59:00Z
USG00000022,ACC0001,CTR00001,2025-01-22,api_calls,3211.69,100000,0,86772.19,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.985,False,2025-01-22T23:59:00Z
USG00000023,ACC0001,CTR00001,2025-01-23,api_calls,2996.36,100000,0,89768.55,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.955,False,2025-01-23T23:59:00Z
USG00000024,ACC0001,CTR00001,2025-01-24,api_calls,4646.11,100000,0,94414.66,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.972,False,2025-01-24T23:59:00Z
USG00000025,ACC0001,CTR00001,2025-01-25,api_calls,2448.31,100000,0,96862.97,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.981,False,2025-01-25T23:59:00Z
USG00000026,ACC0001,CTR00001,2025-01-26,api_calls,3947.47,100000,0,100810.44,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.999,False,2025-01-26T23:59:00Z
USG00000027,ACC0001,CTR00001,2025-01-27,api_calls,2971.35,100000,0,103781.79,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.943,False,2025-01-27T23:59:00Z
USG00000028,ACC0001,CTR00001,2025-01-28,api_calls,4055.01,100000,0,107836.8,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.93,False,2025-01-28T23:59:00Z
