account_id,rep_id,role,effective_from
ACC0001,R031,Primary_AE,2023-01-01
ACC0002,R034,Primary_AE,2023-01-01
ACC0003,R077,Primary_AE,2023-01-01
ACC0003,R028,Overlay_Specialist,2023-01-01
ACC0004,R024,Primary_AE,2023-01-01
ACC0005,R100,Primary_AE,2023-01-01
ACC0005,R137,SDR,2023-01-01
ACC0006,R053,Primary_AE,2023-01-01
ACC0007,R156,Primary_AE,2023-01-01
ACC0007,R087,SDR,2023-01-01
ACC0008,R020,Primary_AE,2023-01-01
ACC0009,R145,Primary_AE,2023-01-01
ACC0009,R105,Overlay_Specialist,2023-01-01
ACC0010,R093,Primary_AE,2023-01-01
ACC0011,R172,Primary_AE,2023-01-01
ACC0012,R029,Primary_AE,2023-01-01
ACC0012,R048,Overlay_Specialist,2023-01-01
ACC0013,R152,Primary_AE,2023-01-01
ACC0013,R113,SDR,2023-01-01
ACC0014,R038,Primary_AE,2023-01-01
ACC0014,R027,SDR,2023-01-01
ACC0014,R014,Overlay_Specialist,2023-01-01
ACC0015,R118,Primary_AE,2023-01-01
ACC0015,R104,SDR,2023-01-01
ACC0016,R186,Primary_AE,2023-01-01
ACC0017,R059,Primary_AE,2023-01-01
ACC0018,R005,Primary_AE,2023-01-01
ACC0018,R023,Overlay_Specialist,2023-01-01
ACC0019,R098,Primary_AE,2023-01-01
ACC0020,R033,Primary_AE,2023-01-01
ACC0021,R115,Primary_AE,2023-01-01
ACC0022,R170,Primary_AE,2023-01-01
ACC0022,R179,SDR,2024-03-01
ACC0023,R002,Primary_AE,2023-01-01
ACC0023,R072,SDR,2023-01-01
ACC0024,R064,Primary_AE,2023-01-01
ACC0025,R022,Primary_AE,2023-01-01
ACC0026,R188,Primary_AE,2023-01-01
ACC0026,R191,SDR,2023-01-01
ACC0027,R196,Primary_AE,2023-01-01
ACC0027,R169,SDR,2023-01-01
ACC0028,R110,Primary_AE,2023-01-01
ACC0029,R075,Primary_AE,2023-01-01
ACC0030,R127,Primary_AE,2023-01-01
ACC0031,R059,Primary_AE,2023-01-01
ACC0031,R043,Overlay_Specialist,2023-01-01
ACC0032,R009,Primary_AE,2023-01-01
ACC0033,R031,Primary_AE,2023-01-01
ACC0034,R179,Primary_AE,2023-01-01
ACC0035,R094,Primary_AE,2023-01-01
ACC0036,R064,Primary_AE,2023-01-01
ACC0036,R059,Overlay_Specialist,2023-01-01
ACC0037,R150,Primary_AE,2023-01-01
ACC0037,R081,SDR,2023-01-01
ACC0038,R188,Primary_AE,2023-01-01
