region,deal_id,filed_date,cancelled_date,status
EMEA,1064,2024-03-07,2024-03-09,approved
APAC,375,2024-05-12,2024-05-14,approved
APAC,375,2024-04-10,2024-04-12,approved
AMER,1577,2024-05-02,2024-05-04,approved
AMER,794,2024-05-21,2024-05-23,approved
APAC,391,2024-05-02,2024-05-04,approved
AMER,727,2024-03-27,2024-03-29,approved
EMEA,1567,2024-03-24,2024-03-26,approved
AMER,1107,2024-05-22,2024-05-24,approved
AMER,1149,2024-05-15,2024-05-17,approved
AMER,1403,2024-04-22,2024-04-24,approved
APAC,251,2024-03-26,2024-03-28,approved
AMER,832,2024-05-28,2024-05-30,approved
EMEA,1704,2024-04-03,2024-04-05,approved
EMEA,1673,2024-05-07,2024-05-09,approved
EMEA,1501,2024-06-07,2024-06-09,approved
EMEA,1501,2024-06-12,2024-06-09,rejected
AMER,1234,2024-03-30,2024-04-01,approved
AMER,581,2024-02-20,2024-02-22,approved
AMER,581,2024-02-25,2024-02-22,rejected
EMEA,516,2024-04-11,2024-04-13,approved
EMEA,516,2024-04-10,2024-04-12,approved
AMER,808,2024-05-08,2024-05-10,approved
EMEA,1749,2024-03-02,2024-03-04,approved
EMEA,1749,2024-04-10,2024-04-12,approved
EMEA,1664,2024-04-03,2024-04-05,approved
EMEA,1116,2024-03-06,2024-03-08,approved
EMEA,589,2024-05-12,2024-05-14,approved
APAC,326,2024-04-24,2024-04-26,approved
APAC,326,2024-04-29,2024-04-26,rejected
APAC,440,2024-04-19,2024-04-21,approved
AMER,1302,2024-04-14,2024-04-16,approved
AMER,1302,2024-04-19,2024-04-16,rejected
AMER,1061,2024-04-10,2024-04-12,approved
EMEA,1695,2024-03-07,2024-03-09,approved
EMEA,1695,2024-03-12,2024-03-09,rejected
APAC,498,2024-04-21,2024-04-23,approved
EMEA,1239,2024-04-03,2024-04-05,approved
APAC,360,2024-03-24,2024-03-26,approved
APAC,360,2024-03-29,2024-03-26,rejected
EMEA,670,2024-05-11,2024-05-13,approved
EMEA,670,2024-04-10,2024-04-12,approved
EMEA,556,2024-04-24,2024-04-26,approved
EMEA,600,2024-03-28,2024-03-30,approved
EMEA,600,2024-04-02,2024-03-30,rejected
AMER,788,2024-03-19,2024-03-21,approved
EMEA,1747,2024-04-25,2024-04-27,approved
EMEA,843,2024-02-28,2024-03-01,approved
EMEA,640,2024-03-18,2024-03-20,approved
EMEA,640,2024-03-23,2024-03-20,rejected
APAC,775,2024-03-11,2024-03-13,approved
AMER,1072,2024-03-10,2024-03-12,approved
AMER,1388,2024-03-10,2024-03-12,approved
AMER,1388,2024-03-15,2024-03-12,rejected
AMER,1660,2024-04-21,2024-04-23,approved
EMEA,829,2024-04-13,2024-04-15,approved
EMEA,1103,2024-04-01,2024-04-03,approved
EMEA,832,2024-05-14,2024-05-16,approved
AMER,1100,2024-02-26,2024-02-28,approved
EMEA,1375,2024-05-03,2024-05-05,approved
AMER,1416,2024-05-24,2024-05-26,approved
EMEA,859,2024-04-01,2024-04-03,approved
EMEA,859,2024-04-06,2024-04-03,rejected
APAC,643,2024-06-09,2024-06-11,approved
AMER,951,2024-04-15,2024-04-17,approved
EMEA,795,2024-05-27,2024-05-29,approved
AMER,1184,2024-04-28,2024-04-30,approved
AMER,1184,2024-05-03,2024-04-30,rejected
EMEA,1557,2024-03-31,2024-04-02,approved
EMEA,1557,2024-04-10,2024-04-12,approved
AMER,1541,2024-03-20,2024-03-22,approved
AMER,1541,2024-04-10,2024-04-12,approved
AMER,1233,2024-02-29,2024-03-02,approved
EMEA,1018,2024-05-25,2024-05-27,approved
EMEA,1018,2024-05-30,2024-05-27,rejected
EMEA,590,2024-05-03,2024-05-05,approved
EMEA,1272,2024-04-05,2024-04-07,approved
EMEA,1272,2024-04-10,2024-04-12,approved
AMER,968,2024-04-04,2024-04-06,approved
EMEA,509,2024-04-04,2024-04-06,approved
EMEA,1438,2024-04-26,2024-04-28,approved
AMER,906,2024-04-15,2024-04-17,approved
EMEA,1712,2024-04-12,2024-04-14,approved
EMEA,1562,2024-06-04,2024-06-06,approved
EMEA,798,2024-03-04,2024-03-06,approved
EMEA,1763,2024-05-26,2024-05-28,approved
EMEA,1763,2024-04-10,2024-04-12,approved
AMER,1252,2024-04-22,2024-04-24,approved
EMEA,1629,2024-05-26,2024-05-28,approved
AMER,1059,2024-02-26,2024-02-28,approved
AMER,1059,2024-04-10,2024-04-12,approved
APAC,555,2024-02-26,2024-02-28,approved
AMER,814,2024-02-26,2024-02-28,approved
AMER,840,2024-04-09,2024-04-11,approved
AMER,1030,2024-04-28,2024-04-30,approved
