region,deal_id,rep_id,credit_pct
EMEA,1,R155,0.4
EMEA,1,R127,0.6
EMEA,2,R130,0.4
EMEA,2,R126,0.6
APAC,1,R189,1.0
NA,1,R058,1.0
EMEA,3,R152,1.0
EMEA,4,R128,1.0
EMEA,5,R128,1.0
APAC,2,R188,1.0
EMEA,6,R160,1.0
EMEA,7,R083,0.5
EMEA,7,R092,0.5
APAC,3,R171,0.4
APAC,3,R200,0.6
NA,2,R023,1.0
NA,3,R011,1.0
EMEA,8,R135,0.5
EMEA,8,R081,0.5
APAC,4,R181,1.0
NA,4,R040,1.0
EMEA,9,R096,0.5
EMEA,9,R107,0.5
EMEA,10,R109,0.6
EMEA,10,R138,0.4
EMEA,11,R096,1.0
NA,5,R033,1.0
NA,6,R041,1.0
EMEA,12,R144,1.0
NA,7,R016,0.6
NA,7,R054,0.4
EMEA,13,R142,1.0
EMEA,14,R102,1.0
EMEA,15,R146,1.0
APAC,5,R172,1.0
NA,8,R020,1.0
EMEA,16,R135,1.0
NA,9,R006,1.0
APAC,6,R191,0.6
APAC,6,R168,0.4
NA,10,R027,1.0
EMEA,17,R083,1.0
EMEA,18,R152,1.0
NA,11,R079,1.0
EMEA,19,R152,0.6
EMEA,19,R156,0.4
EMEA,20,R121,1.0
APAC,7,R197,1.0
NA,12,R030,1.0
NA,13,R001,1.0
NA,14,R011,1.0
EMEA,21,R147,1.0
APAC,8,R172,1.0
NA,15,R046,1.0
NA,16,R041,1.0
NA,17,R061,1.0
EMEA,22,R115,0.4
EMEA,22,R157,0.6
EMEA,23,R136,1.0
EMEA,24,R122,1.0
APAC,9,R166,1.0
APAC,10,R186,0.4
APAC,10,R174,0.6
NA,18,R055,0.5
NA,18,R026,0.5
NA,19,R006,1.0
EMEA,25,R160,1.0
APAC,11,R169,1.0
EMEA,26,R099,0.6
EMEA,26,R133,0.4
EMEA,27,R155,1.0
APAC,12,R196,1.0
NA,20,R079,1.0
EMEA,28,R149,1.0
NA,21,R031,1.0
NA,22,R002,0.4
NA,22,R043,0.6
APAC,13,R164,1.0
NA,23,R077,1.0
NA,24,R014,1.0
NA,25,R052,0.6
NA,25,R035,0.4
NA,26,R021,1.0
APAC,14,R185,1.0
NA,27,R063,1.0
EMEA,29,R096,1.0
NA,28,R068,0.4
NA,28,R069,0.6
APAC,15,R188,1.0
NA,29,R074,1.0
NA,30,R049,1.0
EMEA,30,R118,1.0
APAC,16,R199,0.6
APAC,16,R182,0.4
EMEA,31,R151,1.0
EMEA,32,R090,1.0
EMEA,33,R112,1.0
EMEA,34,R141,0.4
EMEA,34,R142,0.6
NA,31,R059,1.0
EMEA,35,R139,1.0
EMEA,36,R146,1.0
EMEA,37,R158,0.5
EMEA,37,R160,0.5
NA,32,R077,1.0
APAC,17,R165,0.4
APAC,17,R177,0.6
NA,33,R053,1.0
APAC,18,R167,1.0
EMEA,38,R086,0.4
EMEA,38,R137,0.6
EMEA,39,R104,1.0
APAC,19,R173,1.0
EMEA,40,R095,1.0
EMEA,41,R101,1.0
NA,34,R023,1.0
NA,35,R074,1.0
NA,36,R009,1.0
EMEA,42,R139,1.0
NA,37,R036,1.0
EMEA,43,R119,1.0
NA,38,R080,1.0
EMEA,44,R159,1.0
APAC,20,R175,1.0
EMEA,45,R084,0.6
EMEA,45,R149,0.4
EMEA,46,R153,1.0
APAC,21,R181,1.0
APAC,22,R179,1.0
APAC,23,R192,0.4
APAC,23,R161,0.6
EMEA,47,R139,1.0
EMEA,48,R081,1.0
EMEA,49,R160,1.0
NA,39,R055,1.0
NA,40,R003,1.0
NA,41,R068,0.4
NA,41,R062,0.6
NA,42,R076,0.4
NA,42,R019,0.6
NA,43,R068,0.5
NA,43,R074,0.5
APAC,24,R181,1.0
APAC,25,R177,0.6
APAC,25,R186,0.4
EMEA,50,R155,1.0
APAC,26,R189,0.4
APAC,26,R170,0.6
EMEA,51,R141,1.0
EMEA,52,R110,1.0
EMEA,53,R087,1.0
EMEA,54,R127,1.0
NA,44,R035,1.0
EMEA,55,R102,1.0
EMEA,56,R089,1.0
EMEA,57,R100,1.0
NA,45,R052,1.0
EMEA,58,R150,1.0
NA,46,R017,1.0
APAC,27,R166,1.0
NA,47,R077,1.0
NA,48,R001,1.0
EMEA,59,R128,0.5
EMEA,59,R154,0.5
EMEA,60,R082,1.0
EMEA,61,R142,1.0
NA,49,R047,1.0
NA,50,R018,1.0
APAC,28,R165,1.0
NA,51,R030,0.5
NA,51,R020,0.5
EMEA,62,R100,1.0
EMEA,63,R124,1.0
EMEA,64,R152,1.0
NA,52,R001,1.0
APAC,29,R163,0.4
APAC,29,R191,0.6
NA,53,R063,1.0
EMEA,65,R099,1.0
EMEA,66,R114,1.0
EMEA,67,R101,1.0
NA,54,R055,1.0
NA,55,R048,1.0
NA,56,R048,1.0
NA,57,R007,1.0
EMEA,68,R112,1.0
NA,58,R035,1.0
APAC,30,R193,1.0
EMEA,69,R112,1.0
APAC,31,R169,1.0
NA,59,R001,0.5
NA,59,R006,0.5
NA,60,R052,1.0
NA,61,R035,1.0
APAC,32,R199,1.0
NA,62,R017,1.0
EMEA,70,R088,1.0
NA,63,R015,0.6
NA,63,R025,0.4
NA,64,R044,1.0
EMEA,71,R130,1.0
NA,65,R045,1.0
EMEA,72,R108,1.0
APAC,33,R162,1.0
EMEA,73,R136,0.4
EMEA,73,R102,0.6
EMEA,74,R128,1.0
NA,66,R009,1.0
EMEA,75,R154,0.6
EMEA,75,R134,0.4
APAC,34,R192,1.0
EMEA,76,R105,1.0
APAC,35,R166,0.6
APAC,35,R169,0.4
NA,67,R077,1.0
EMEA,77,R118,1.0
NA,68,R063,1.0
EMEA,78,R133,1.0
EMEA,79,R105,1.0
EMEA,80,R112,1.0
APAC,36,R185,0.4
APAC,36,R181,0.6
NA,69,R033,1.0
EMEA,81,R082,1.0
NA,70,R030,1.0
EMEA,82,R081,0.5
EMEA,82,R155,0.5
APAC,37,R200,1.0
NA,71,R079,1.0
EMEA,83,R135,1.0
EMEA,84,R156,1.0
NA,72,R012,1.0
EMEA,85,R116,1.0
EMEA,86,R095,1.0
NA,73,R027,1.0
NA,74,R065,0.6
NA,74,R038,0.4
EMEA,87,R160,1.0
NA,75,R050,1.0
APAC,38,R186,1.0
NA,76,R037,1.0
NA,77,R039,1.0
EMEA,88,R123,0.5
EMEA,88,R158,0.5
APAC,39,R187,1.0
NA,78,R062,1.0
EMEA,89,R151,0.5
EMEA,89,R139,0.5
EMEA,90,R155,1.0
NA,79,R064,1.0
EMEA,91,R142,1.0
EMEA,92,R119,1.0
NA,80,R054,1.0
NA,81,R077,0.5
NA,81,R001,0.5
EMEA,93,R128,1.0
NA,82,R043,1.0
NA,83,R050,1.0
EMEA,94,R093,1.0
EMEA,95,R120,1.0
EMEA,96,R131,1.0
APAC,40,R193,1.0
NA,84,R018,1.0
EMEA,97,R132,1.0
EMEA,98,R160,1.0
APAC,41,R193,0.6
APAC,41,R198,0.4
NA,85,R045,1.0
EMEA,99,R136,1.0
NA,86,R076,1.0
NA,87,R032,1.0
EMEA,100,R159,1.0
NA,88,R026,0.6
NA,88,R022,0.4
EMEA,101,R102,1.0
NA,89,R076,1.0
NA,90,R007,1.0
NA,91,R001,0.4
NA,91,R069,0.6
EMEA,102,R157,1.0
NA,92,R029,0.5
NA,92,R065,0.5
NA,93,R060,0.4
NA,93,R054,0.6
APAC,42,R174,1.0
APAC,43,R164,1.0
EMEA,103,R146,1.0
EMEA,104,R098,0.5
EMEA,104,R088,0.5
APAC,44,R187,1.0
APAC,45,R170,1.0
NA,94,R020,1.0
NA,95,R051,1.0
NA,96,R055,1.0
EMEA,105,R094,1.0
NA,97,R023,1.0
NA,98,R049,1.0
APAC,46,R184,1.0
NA,99,R061,0.4
NA,99,R039,0.6
APAC,47,R161,0.6
APAC,47,R168,0.4
NA,100,R060,1.0
NA,101,R038,1.0
EMEA,106,R139,1.0
EMEA,107,R107,0.4
EMEA,107,R093,0.6
APAC,48,R168,1.0
EMEA,108,R087,1.0
NA,102,R075,1.0
APAC,49,R189,0.4
APAC,49,R169,0.6
EMEA,109,R095,1.0
EMEA,110,R110,0.4
EMEA,110,R144,0.6
NA,103,R066,1.0
EMEA,111,R121,1.0
EMEA,112,R097,1.0
NA,104,R071,1.0
NA,105,R075,1.0
EMEA,113,R160,0.4
EMEA,113,R082,0.6
NA,106,R041,1.0
EMEA,114,R136,1.0
EMEA,115,R138,1.0
EMEA,116,R089,1.0
EMEA,117,R123,1.0
NA,107,R058,1.0
APAC,50,R188,1.0
EMEA,118,R140,0.6
EMEA,118,R087,0.4
EMEA,119,R096,1.0
APAC,51,R182,0.5
APAC,51,R192,0.5
APAC,52,R200,1.0
NA,108,R047,1.0
NA,109,R055,1.0
NA,110,R018,1.0
EMEA,120,R090,0.5
EMEA,120,R107,0.5
EMEA,121,R120,1.0
NA,111,R030,1.0
APAC,53,R165,1.0
NA,112,R060,1.0
EMEA,122,R091,1.0
NA,113,R078,1.0
EMEA,123,R090,1.0
NA,114,R035,1.0
APAC,54,R168,1.0
EMEA,124,R124,0.5
EMEA,124,R130,0.5
APAC,55,R164,1.0
APAC,56,R194,1.0
EMEA,125,R114,1.0
NA,115,R025,0.4
NA,115,R050,0.6
EMEA,126,R109,1.0
EMEA,127,R160,1.0
