region,deal_id,rep_id,close_date,total_contract_value,currency,contract_months,product_line,deal_source,stage
EMEA,1,R155,2023-09-17,88736.08,USD,24,Core Platform,Inbound,prospecting
AMER,1,R074,2023-10-10,16108.33,USD,12,Analytics Add-on,Inbound,prospecting
EMEA,2,R126,2023-09-06,163572.47,EUR,24,Core Platform,Inbound,closed_won
APAC,1,R189,2023-09-16,527534.57,AUD,24,Enterprise Suite,Partner Referral,closed_won
AMER,2,R058,2023-09-28,397538.56,USD,24,Core Platform,Outbound,closed_won
EMEA,3,R145,2023-10-19,97467.04,USD,24,Analytics Add-on,Inbound,closed_won
AMER,3,R061,2023-09-11,737749.19,CAD,36,Enterprise Suite,Inbound,closed_won
EMEA,4,R128,2023-09-20,167000.84,GBP,24,Analytics Add-on,Partner Referral,closed_won
EMEA,5,R150,2023-09-18,42458.63,EUR,12,Enterprise Suite,Outbound,closed_won
AMER,4,R021,2023-10-09,42058.93,USD,36,Core Platform,Inbound,prospecting
EMEA,6,R132,2023-08-01,111600.17,EUR,12,Core Platform,Partner Referral,closed_lost
AMER,5,R046,2023-09-10,47282.91,USD,24,Enterprise Suite,Inbound,closed_won
APAC,2,R181,2023-10-02,74661.82,AUD,12,Core Platform,Partner Referral,closed_won
APAC,3,R192,2023-10-27,309469.22,AUD,36,Analytics Add-on,Partner Referral,closed_won
AMER,6,R071,2023-09-03,93443.92,USD,12,Core Platform,Outbound,closed_won
EMEA,7,R105,2023-10-14,69759.6,GBP,36,Analytics Add-on,Partner Referral,closed_won
AMER,7,R045,2023-08-15,87133.45,USD,24,Analytics Add-on,Partner Referral,closed_won
EMEA,8,R122,2023-10-25,343968.28,EUR,24,Enterprise Suite,Partner Referral,closed_lost
EMEA,9,R153,2023-08-22,343684.4,USD,36,Core Platform,Partner Referral,closed_lost
APAC,4,R188,2023-09-26,365076.85,AUD,24,Core Platform,Partner Referral,closed_won
AMER,8,R016,2023-09-18,213735.54,USD,24,Enterprise Suite,Partner Referral,closed_won
AMER,9,R005,2023-09-03,155160.37,USD,36,Analytics Add-on,Outbound,closed_won
EMEA,10,R147,2023-09-30,343654.43,USD,24,Analytics Add-on,Outbound,closed_won
AMER,10,R025,2023-08-24,395178.8,USD,24,Core Platform,Partner Referral,closed_lost
EMEA,11,R135,2023-09-08,283734.13,EUR,24,Analytics Add-on,Outbound,closed_won
EMEA,12,R147,2023-09-17,284442.01,USD,36,Enterprise Suite,Inbound,closed_won
AMER,11,R024,2023-08-27,39011.13,USD,12,Core Platform,Inbound,closed_won
EMEA,13,R091,2023-08-13,164309.66,EUR,24,Analytics Add-on,Outbound,closed_won
AMER,12,R007,2023-08-31,61293.45,USD,24,Analytics Add-on,Inbound,closed_lost
AMER,13,R065,2023-09-06,245367.46,USD,36,Analytics Add-on,Inbound,closed_won
AMER,14,R005,2023-10-18,58109.21,USD,24,Enterprise Suite,Partner Referral,closed_won
AMER,15,R050,2023-10-10,319271.12,USD,24,Analytics Add-on,Partner Referral,closed_won
EMEA,14,R089,2023-09-19,58184.49,GBP,12,Core Platform,Inbound,closed_won
AMER,16,R021,2023-10-17,101161.72,USD,12,Enterprise Suite,Inbound,closed_won
APAC,5,R190,2023-10-12,8170000.67,JPY,24,Core Platform,Partner Referral,closed_won
APAC,6,R198,2023-10-29,47638617.99,JPY,36,Enterprise Suite,Inbound,closed_won
AMER,17,R056,2023-08-31,391080.29,USD,24,Enterprise Suite,Inbound,prospecting
EMEA,15,R113,2023-08-19,70001.7,GBP,24,Enterprise Suite,Outbound,closed_won
AMER,18,R072,2023-09-12,157293.58,USD,24,Core Platform,Outbound,closed_won
AMER,19,R009,2023-10-22,34812.16,USD,24,Analytics Add-on,Partner Referral,prospecting
AMER,20,R048,2023-08-28,564037.15,USD,36,Core Platform,Partner Referral,closed_won
EMEA,16,R138,2023-10-31,37909.95,EUR,12,Analytics Add-on,Partner Referral,closed_won
AMER,21,R036,2023-08-07,180807.34,USD,36,Enterprise Suite,Inbound,closed_lost
AMER,22,R068,2023-08-26,63077.41,USD,12,Core Platform,Outbound,closed_won
AMER,23,R078,2023-08-31,14788.94,USD,12,Core Platform,Partner Referral,prospecting
AMER,24,R071,2023-10-25,333139.6,USD,36,Core Platform,Inbound,closed_won
EMEA,17,R153,2023-08-16,311412.72,USD,24,Enterprise Suite,Inbound,closed_won
EMEA,18,R099,2023-08-09,156317.24,USD,12,Core Platform,Inbound,closed_won
AMER,25,R007,2023-10-13,345606.95,USD,24,Enterprise Suite,Inbound,closed_lost
APAC,7,R171,2023-08-04,278725.65,AUD,36,Analytics Add-on,Inbound,closed_won
APAC,8,R176,2023-10-24,144566.93,USD,24,Core Platform,Outbound,closed_won
AMER,26,R075,2023-09-16,153733.38,USD,24,Analytics Add-on,Outbound,closed_won
APAC,9,R165,2023-08-01,581528.02,USD,36,Core Platform,Inbound,closed_won
EMEA,19,R112,2023-08-16,120990.81,USD,12,Core Platform,Partner Referral,closed_won
AMER,27,R024,2023-08-24,123592.65,USD,12,Core Platform,Inbound,closed_won
AMER,28,R059,2023-08-24,65097.4,USD,24,Enterprise Suite,Inbound,closed_won
AMER,29,R038,2023-08-31,282313.93,USD,36,Enterprise Suite,Inbound,prospecting
EMEA,20,R153,2023-09-11,304954.32,USD,36,Enterprise Suite,Partner Referral,closed_lost
AMER,30,R023,2023-09-01,104599.79,CAD,12,Enterprise Suite,Outbound,closed_won
APAC,10,R172,2023-08-24,70029.47,AUD,24,Core Platform,Inbound,closed_won
AMER,31,R068,2023-10-13,456653.25,USD,36,Analytics Add-on,Inbound,closed_won
APAC,11,R188,2023-09-03,306484.67,AUD,36,Core Platform,Outbound,closed_won
AMER,32,R051,2023-10-04,129120.94,USD,12,Core Platform,Outbound,closed_won
APAC,12,R200,2023-10-11,18244305.54,JPY,12,Enterprise Suite,Inbound,closed_won
APAC,13,R182,2023-10-05,42804149.25,JPY,24,Enterprise Suite,Outbound,closed_won
AMER,33,R007,2023-08-12,106458.63,USD,12,Enterprise Suite,Outbound,closed_won
EMEA,21,R126,2023-09-24,413669.81,GBP,36,Core Platform,Outbound,closed_lost
AMER,34,R032,2023-10-19,89842.27,USD,12,Core Platform,Partner Referral,closed_won
EMEA,22,R141,2023-09-15,431111.02,EUR,36,Core Platform,Inbound,prospecting
AMER,35,R033,2023-10-05,136898.82,USD,24,Core Platform,Inbound,closed_lost
AMER,36,R001,2023-10-30,461206.74,USD,36,Core Platform,Outbound,closed_won
AMER,37,R019,2023-08-30,91918.68,USD,12,Analytics Add-on,Outbound,closed_won
AMER,38,R077,2023-10-10,129239.75,USD,24,Core Platform,Partner Referral,prospecting
EMEA,23,R124,2023-10-24,21042.43,EUR,12,Analytics Add-on,Inbound,closed_lost
AMER,39,R053,2023-08-12,118991.73,USD,12,Enterprise Suite,Outbound,closed_won
AMER,40,R063,2023-10-16,91394.6,USD,12,Enterprise Suite,Partner Referral,closed_won
AMER,41,R074,2023-08-30,23136.25,USD,12,Enterprise Suite,Inbound,closed_won
AMER,42,R001,2023-08-07,168750.74,USD,12,Core Platform,Partner Referral,closed_lost
AMER,43,R012,2023-09-13,181972.8,USD,24,Enterprise Suite,Outbound,closed_won
APAC,14,R178,2023-10-30,75525186.76,JPY,36,Core Platform,Inbound,closed_won
APAC,15,R178,2023-10-10,137737.25,AUD,12,Analytics Add-on,Outbound,closed_won
EMEA,24,R086,2023-08-31,160172.36,EUR,36,Analytics Add-on,Partner Referral,prospecting
APAC,16,R175,2023-09-11,76975483.01,JPY,36,Analytics Add-on,Inbound,closed_won
