rep_id,period_start,period_end,quota_usd
R001,2023-08-01,2023-10-31,2683075.19
R001,2023-11-01,2024-01-31,1171207.1
R001,2024-02-01,2024-04-30,2799263.38
R001,2024-05-01,2024-07-31,1015433.24
R002,2023-08-01,2023-10-31,2542013.0
R002,2023-11-01,2024-01-31,2396769.36
R002,2024-02-01,2024-04-30,1658455.95
R002,2024-05-01,2024-07-31,1282262.6
R003,2023-08-01,2023-10-31,1314213.16
R003,2023-11-01,2024-01-31,2518222.3
R003,2024-02-01,2024-04-30,2429089.76
R003,2024-05-01,2024-07-31,1528072.96
R004,2023-08-01,2023-10-31,1946867.98
R004,2023-11-01,2024-01-31,2636930.64
R004,2024-02-01,2024-04-30,1382097.57
R004,2024-05-01,2024-07-31,2370404.27
R005,2023-08-01,2023-10-31,1534018.29
R005,2023-11-01,2024-01-31,2256901.28
R005,2024-02-01,2024-04-30,1909712.2
R005,2024-05-01,2024-07-31,2137984.94
R006,2023-08-01,2023-10-31,2355014.63
R006,2023-11-01,2024-01-31,2758571.45
R006,2024-02-01,2024-04-30,1890023.95
R006,2024-05-01,2024-07-31,1417490.56
R007,2023-08-01,2023-10-31,1067644.66
R007,2023-11-01,2024-01-31,2815267.54
R007,2024-02-01,2024-04-30,2185805.71
R007,2024-05-01,2024-07-31,2218526.59
R008,2023-08-01,2023-10-31,2791682.67
R008,2023-11-01,2024-01-31,2893964.96
R008,2024-02-01,2024-04-30,1349045.78
R008,2024-05-01,2024-07-31,2239181.85
R009,2023-08-01,2023-10-31,2768000.99
R009,2023-11-01,2024-01-31,2931798.21
R009,2024-02-01,2024-04-30,1008594.87
R009,2024-05-01,2024-07-31,2121339.13
R010,2023-08-01,2023-10-31,1591718.96
R010,2023-11-01,2024-01-31,2548174.5
R010,2024-02-01,2024-04-30,2438972.9
R010,2024-05-01,2024-07-31,1401322.41
R011,2023-08-01,2023-10-31,2378650.6
R011,2023-11-01,2024-01-31,2180674.57
R011,2024-02-01,2024-04-30,1494092.44
R011,2024-05-01,2024-07-31,2687130.86
R012,2023-08-01,2023-10-31,1965602.15
R012,2023-11-01,2024-01-31,1855936.56
R012,2024-02-01,2024-04-30,2373494.03
R012,2024-05-01,2024-07-31,2708203.22
R013,2023-08-01,2023-10-31,2580798.99
R013,2023-11-01,2024-01-31,1324317.1
R013,2024-02-01,2024-04-30,1949601.95
R013,2024-05-01,2024-07-31,1330412.1
R014,2023-08-01,2023-10-31,2115152.12
R014,2023-11-01,2024-01-31,2697802.79
R014,2024-02-01,2024-04-30,1923766.72
R014,2024-05-01,2024-07-31,1116451.08
R015,2023-08-01,2023-10-31,1869725.34
R015,2023-11-01,2024-01-31,2004697.61
R015,2024-02-01,2024-04-30,1021728.05
R015,2024-05-01,2024-07-31,1068954.56
R016,2023-08-01,2023-10-31,1385009.95
R016,2023-11-01,2024-01-31,1703448.54
R016,2024-02-01,2024-04-30,2983883.68
R016,2024-05-01,2024-07-31,2698386.67
R017,2023-08-01,2023-10-31,2366070.45
R017,2023-11-01,2024-01-31,1992603.81
R017,2024-02-01,2024-04-30,1733106.08
R017,2024-05-01,2024-07-31,2566608.69
R018,2023-08-01,2023-10-31,2027819.91
R018,2023-11-01,2024-01-31,1373826.84
R018,2024-02-01,2024-04-30,2325375.58
R018,2024-05-01,2024-07-31,1384078.08
R019,2023-08-01,2023-10-31,2985854.04
R019,2023-11-01,2024-01-31,1439080.45
R019,2024-02-01,2024-04-30,1020631.18
R019,2024-05-01,2024-07-31,1072868.59
R020,2023-08-01,2023-10-31,1145528.27
R020,2023-11-01,2024-01-31,1559001.42
R020,2024-02-01,2024-04-30,2263681.04
R020,2024-05-01,2024-07-31,2804854.38
R021,2023-08-01,2023-10-31,2683322.72
R021,2023-11-01,2024-01-31,2179835.02
R021,2024-02-01,2024-04-30,2893257.81
R021,2024-05-01,2024-07-31,1490181.81
R022,2023-08-01,2023-10-31,1050867.49
R022,2023-11-01,2024-01-31,2344443.74
R022,2024-02-01,2024-04-30,2736382.18
R022,2024-05-01,2024-07-31,1109590.69
R023,2023-08-01,2023-10-31,1232934.19
R023,2023-11-01,2024-01-31,1613137.03
R023,2024-02-01,2024-04-30,2713613.16
R023,2024-05-01,2024-07-31,1300302.34
R024,2023-08-01,2023-10-31,1309747.5
R024,2023-11-01,2024-01-31,1630037.67
R024,2024-02-01,2024-04-30,2891746.31
R024,2024-05-01,2024-07-31,1596679.46
R025,2023-08-01,2023-10-31,1154482.23
R025,2023-11-01,2024-01-31,1057060.61
R025,2024-02-01,2024-04-30,1480428.79
R025,2024-05-01,2024-07-31,2152859.48
R026,2023-08-01,2023-10-31,2681189.13
R026,2023-11-01,2024-01-31,2218799.2
R026,2024-02-01,2024-04-30,2406050.27
R026,2024-05-01,2024-07-31,1305771.5
R027,2023-08-01,2023-10-31,2767666.66
R027,2023-11-01,2024-01-31,2309397.32
R027,2024-02-01,2024-04-30,2532478.04
R027,2024-05-01,2024-07-31,2802081.09
R028,2023-08-01,2023-10-31,1572343.72
R028,2023-11-01,2024-01-31,2906376.49
R028,2024-02-01,2024-04-30,1195900.27
R028,2024-05-01,2024-07-31,1740747.29
R029,2023-08-01,2023-10-31,2015097.1
R029,2023-11-01,2024-01-31,1033354.82
R029,2024-02-01,2024-04-30,2930410.16
R029,2024-05-01,2024-07-31,2939746.16
R030,2023-08-01,2023-10-31,2116501.8
R030,2023-11-01,2024-01-31,2014369.94
R030,2024-02-01,2024-04-30,2710674.18
R030,2024-05-01,2024-07-31,1798491.0
R031,2023-08-01,2023-10-31,1693081.22
R031,2023-11-01,2024-01-31,1394253.33
R031,2024-02-01,2024-04-30,1858405.6
R031,2024-05-01,2024-07-31,1007088.79
R032,2023-08-01,2023-10-31,1236330.24
R032,2023-11-01,2024-01-31,1919362.48
R032,2024-02-01,2024-04-30,2985337.94
R032,2024-05-01,2024-07-31,1780403.12
R033,2023-08-01,2023-10-31,2357144.24
R033,2023-11-01,2024-01-31,1581034.84
R033,2024-02-01,2024-04-30,1376855.6
R033,2024-05-01,2024-07-31,2235263.69
R034,2023-08-01,2023-10-31,1793426.61
R034,2023-11-01,2024-01-31,2202140.29
R034,2024-02-01,2024-04-30,1800830.09
R034,2024-05-01,2024-07-31,2322502.97
R035,2023-08-01,2023-10-31,1789266.95
R035,2023-11-01,2024-01-31,2325102.55
R035,2024-02-01,2024-04-30,1355726.04
R035,2024-05-01,2024-07-31,2177126.04
R036,2023-08-01,2023-10-31,1289044.27
R036,2023-11-01,2024-01-31,1008909.98
R036,2024-02-01,2024-04-30,2826024.23
R036,2024-05-01,2024-07-31,2572450.27
R037,2023-08-01,2023-10-31,2252818.19
R037,2023-11-01,2024-01-31,1929391.21
R037,2024-02-01,2024-04-30,2158312.51
R037,2024-05-01,2024-07-31,2475972.01
R038,2023-08-01,2023-10-31,2768809.12
R038,2023-11-01,2024-01-31,2224617.71
R038,2024-02-01,2024-04-30,1748654.39
R038,2024-05-01,2024-07-31,1958325.85
R039,2023-08-01,2023-10-31,2684008.6
R039,2023-11-01,2024-01-31,2355104.0
R039,2024-02-01,2024-04-30,2628690.53
R039,2024-05-01,2024-07-31,2356290.28
R040,2023-08-01,2023-10-31,2144648.85
R040,2023-11-01,2024-01-31,1618031.03
R040,2024-02-01,2024-04-30,1781435.46
R040,2024-05-01,2024-07-31,1373776.74
R041,2023-08-01,2023-10-31,2892026.28
R041,2023-11-01,2024-01-31,1981627.51
R041,2024-02-01,2024-04-30,2905333.83
R041,2024-05-01,2024-07-31,2021247.23
R042,2023-08-01,2023-10-31,2178867.74
R042,2023-11-01,2024-01-31,1794618.7
R042,2024-02-01,2024-04-30,2853715.18
R042,2024-05-01,2024-07-31,2152869.67
R043,2023-08-01,2023-10-31,1693872.64
R043,2023-11-01,2024-01-31,2058459.03
R043,2024-02-01,2024-04-30,1403733.34
R043,2024-05-01,2024-07-31,2383184.41
R044,2023-08-01,2023-10-31,1821161.42
R044,2023-11-01,2024-01-31,2679509.11
R044,2024-02-01,2024-04-30,1033222.3
R044,2024-05-01,2024-07-31,1441989.42
R045,2023-08-01,2023-10-31,1252735.47
R045,2023-11-01,2024-01-31,1421206.74
R045,2024-02-01,2024-04-30,2510468.07
R045,2024-05-01,2024-07-31,1561188.94
R046,2023-08-01,2023-10-31,2342720.06
R046,2023-11-01,2024-01-31,1668422.55
R046,2024-02-01,2024-04-30,2954235.36
R046,2024-05-01,2024-07-31,2266661.34
R047,2023-08-01,2023-10-31,1267215.88
R047,2023-11-01,2024-01-31,1665810.77
R047,2024-02-01,2024-04-30,2299636.99
R047,2024-05-01,2024-07-31,2933241.97
R048,2023-08-01,2023-10-31,2219296.59
R048,2023-11-01,2024-01-31,2938016.89
R048,2024-02-01,2024-04-30,1737467.98
R048,2024-05-01,2024-07-31,1664643.84
R049,2023-08-01,2023-10-31,1213641.94
R049,2023-11-01,2024-01-31,1380119.17
R049,2024-02-01,2024-04-30,2947455.4
R049,2024-05-01,2024-07-31,2155856.69
R050,2023-08-01,2023-10-31,1127311.54
R050,2023-11-01,2024-01-31,1898766.63
R050,2024-02-01,2024-04-30,1697216.73
R050,2024-05-01,2024-07-31,2498580.72
R051,2023-08-01,2023-10-31,2315229.64
R051,2023-11-01,2024-01-31,1904511.16
R051,2024-02-01,2024-04-30,1948747.41
R051,2024-05-01,2024-07-31,2603513.29
R052,2023-08-01,2023-10-31,2663231.81
