delivery_id,po_id,warehouse_id,supplier_id,received_date,ship_date,quantity_received,delivery_type,return_basis,receipt_status,carrier,receiving_dock,inspector_id,condition_on_arrival,delivery_notes
DLV000001,PO-00001,AMER,SUP049,2024-04-12,2024-04-12,778,Primary,,accepted,FreightCo,DOCK-C,INS005,Good,
DLV000002,PO-00002,AMER,SUP015,2024-02-15,2024-02-11,365,Primary,,accepted,FreightCo,DOCK-D,INS006,Good,
DLV000003,PO-00003,AMER,SUP050,2024-04-09,2024-04-09,105,Primary,,accepted,,DOCK-B,INS004,Good,
DLV000004,PO-00004,AMER,SUP055,2024-02-16,2024-02-16,58,Primary,,accepted,OceanLink,DOCK-D,INS003,Good,
DLV000005,PO-00005,AMER,SUP041,2024-02-05,2024-02-05,165,Primary,,accepted,FastFreight,DOCK-D,INS004,Good,
DLV000006,PO-00006,AMER,SUP047,2024-02-24,2024-02-24,644,Primary,,accepted,FastFreight,DOCK-C,INS012,Good,Partial shipment 1 of 2
DLV000007,PO-00006,AMER,SUP047,2024-03-02,2024-03-02,483,Primary,,accepted,FastFreight,DOCK-A,INS004,Good,Partial shipment 2 of 2
DLV000008,PO-00007,AMER,SUP046,2024-03-08,2024-03-03,550,Primary,,accepted,GlobalShip,DOCK-D,INS011,Good,
DLV000009,PO-00008,AMER,SUP013,2024-04-11,2024-04-07,871,Primary,,accepted,FastFreight,DOCK-B,INS015,Partial,
DLV000010,PO-00009,AMER,SUP051,2024-02-05,2024-01-31,805,Primary,,accepted,GlobalShip,DOCK-D,INS014,Good,
DLV000011,PO-00010,AMER,SUP057,2024-02-13,2024-02-13,93,Primary,,accepted,GlobalShip,DOCK-C,INS018,Good,
DLV000012,PO-00011,AMER,SUP001,2024-03-22,2024-03-22,134,Primary,,accepted,FreightCo,DOCK-C,INS010,Good,
DLV000013,PO-00012,AMER,SUP048,2024-02-28,2024-02-28,805,Primary,,accepted,DirectHaul,DOCK-C,INS020,Good,
DLV000014,PO-00013,AMER,SUP020,2024-04-22,2024-04-22,530,Primary,,accepted,FastFreight,DOCK-D,INS016,Good,
DLV000015,PO-00014,AMER,SUP008,2024-02-14,2024-02-08,860,Primary,,accepted,OceanLink,DOCK-C,INS012,Good,
DLV000016,PO-00015,AMER,SUP060,2024-01-19,2024-01-16,1381,Primary,,accepted,PrimeLogistics,DOCK-D,INS014,Good,
DLV000017,PO-00016,AMER,SUP037,2024-01-28,2024-01-28,953,Primary,,accepted,OceanLink,DOCK-D,INS010,Good,
DLV000018,PO-00017,AMER,SUP011,2024-02-16,2024-02-16,744,Primary,,accepted,FreightCo,DOCK-D,INS005,Good,
DLV000019,PO-00018,AMER,SUP040,2024-04-17,2024-04-17,917,Primary,,accepted,PrimeLogistics,DOCK-B,INS012,Good,
DLV000020,PO-00019,AMER,SUP031,2024-01-14,2024-01-07,754,Primary,,accepted,FastFreight,DOCK-D,INS002,Good,
DLV000021,PO-00020,AMER,SUP010,2024-02-06,2024-02-06,339,Primary,,accepted,DirectHaul,DOCK-B,INS007,Good,
DLV000022,PO-00021,AMER,SUP031,2024-01-31,2024-01-31,792,Primary,,provisional_receipt,PrimeLogistics,DOCK-D,INS004,Good,
DLV000023,PO-00022,AMER,SUP005,2024-02-11,2024-02-07,1274,Primary,,provisional_receipt,OceanLink,DOCK-D,INS007,Good,
DLV000024,PO-00023,AMER,SUP015,2024-02-29,2024-02-23,86,Primary,,accepted,GlobalShip,DOCK-C,INS017,Good,Correct paperwork
DLV000025,PO-00024,AMER,SUP040,2024-03-31,2024-03-31,675,Primary,,accepted,FastFreight,DOCK-B,INS009,Good,
DLV000026,PO-00025,AMER,SUP007,2024-03-30,2024-03-25,665,Primary,,accepted,GlobalShip,DOCK-C,INS012,Good,
