po_id,warehouse_id,supplier_id,product_category,order_date,promised_delivery_date,amendment_date,ordered_quantity,unit_price_usd,order_value_usd,incoterms,priority,po_status,quantity_uom
PO-00001,AMER,SUP049,Raw Materials,2024-03-28,2024-04-13,2024-03-28,750.0,133.53,100147.5,DAP,Standard,Closed,EA
PO-00002,AMER,SUP015,MRO,2024-01-25,2024-02-17,2024-01-25,349.0,126.42,44120.58,EXW,Standard,Closed,EA
PO-00003,AMER,SUP050,Electronics,2024-03-20,2024-04-13,2024-03-20,102.0,45.69,4660.38,CIF,Standard,Closed,EA
PO-00004,AMER,SUP055,Chemicals,2024-01-07,2024-01-29,2024-01-07,0.063,124940.0,7871.22,DAP,Standard,Closed,MT
PO-00005,AMER,SUP041,Electronics,2024-01-22,2024-02-09,2024-01-22,163.0,57.91,9439.33,DAP,Critical,Closed,EA
PO-00006,AMER,SUP047,Chemicals,2024-02-08,2024-02-20,2024-02-08,0.703,107280.0,75417.84,CIF,Standard,Closed,MT
PO-00007,AMER,SUP046,Chemicals,2024-03-02,2024-03-11,2024-03-02,0.549,28740.0,15778.26,FOB,Urgent,Open,MT
PO-00008,AMER,SUP013,Electronics,2024-03-28,2024-04-14,2024-03-28,847.0,148.6,125864.2,FOB,Standard,Closed,EA
PO-00009,AMER,SUP051,MRO,2024-01-30,2024-02-05,2024-01-30,768.0,67.9,52147.2,EXW,Standard,Closed,EA
PO-00010,AMER,SUP057,Packaging,2024-01-23,2024-02-17,2024-01-23,92.0,38.76,3565.92,CIF,Standard,Closed,EA
PO-00011,AMER,SUP001,Assemblies,2024-03-06,2024-03-22,2024-03-06,129.0,40.33,5202.57,DAP,Standard,Closed,EA
PO-00012,AMER,SUP048,Chemicals,2024-02-07,2024-02-27,2024-02-07,0.775,13430.0,10408.25,CIF,Standard,Closed,MT
PO-00013,AMER,SUP020,Chemicals,2024-03-25,2024-04-18,2024-03-25,0.508,116450.0,59156.6,DAP,Standard,Closed,MT
PO-00014,AMER,SUP008,Electronics,2024-01-28,2024-02-15,2024-01-28,858.0,54.39,46666.62,EXW,Standard,Closed,EA
PO-00015,AMER,SUP060,MRO,2024-01-02,2024-01-16,2024-01-02,922.0,96.47,88945.34,FOB,Standard,Closed,EA
PO-00016,AMER,SUP037,MRO,2024-01-24,2024-01-29,2024-01-24,932.0,69.99,65230.68,CIF,Standard,Closed,EA
PO-00017,AMER,SUP011,Chemicals,2024-02-07,2024-02-18,2024-02-07,0.718,96900.0,69574.2,DAP,Standard,Closed,MT
PO-00018,AMER,SUP040,Packaging,2024-03-30,2024-04-21,2024-03-30,909.0,109.5,99535.5,DAP,Urgent,Closed,EA
PO-00019,AMER,SUP031,Electronics,2024-01-07,2024-01-14,2024-01-07,746.0,68.81,51332.26,EXW,Standard,Open,EA
PO-00020,AMER,SUP010,Assemblies,2024-01-10,2024-02-06,2024-01-10,324.0,111.39,36090.36,DDP,Standard,Closed,EA
PO-00021,AMER,SUP031,Assemblies,2024-01-28,2024-02-02,2024-01-28,789.0,76.01,59971.89,DAP,Standard,Open,EA
PO-00022,AMER,SUP005,Packaging,2024-01-23,2024-02-06,2024-01-23,804.0,17.3,13909.2,EXW,Urgent,Closed,EA
PO-00023,AMER,SUP015,Assemblies,2024-02-10,2024-03-04,2024-02-10,85.0,59.04,5018.4,FOB,Standard,Closed,EA
PO-00024,AMER,SUP040,Chemicals,2024-03-10,2024-03-31,2024-03-10,0.785,130490.0,102434.65,DDP,Urgent,Closed,MT
PO-00025,AMER,SUP007,MRO,2024-03-23,2024-04-02,2024-03-23,641.0,129.43,82964.63,FOB,Standard,Closed,EA
PO-00026,AMER,SUP046,Electronics,2024-02-18,2024-02-23,2024-02-18,431.0,134.87,58128.97,DDP,Standard,Closed,EA
PO-00027,AMER,SUP047,Chemicals,2024-02-17,2024-03-01,2024-02-17,0.861,48350.0,41629.35,EXW,Standard,Closed,MT
PO-00028,AMER,SUP052,Chemicals,2024-02-20,2024-03-16,2024-02-20,0.228,17300.0,3944.4,CIF,Urgent,Closed,MT
PO-00029,AMER,SUP039,Electronics,2024-02-18,2024-03-16,2024-02-18,331.0,64.15,21233.65,FOB,Standard,Open,EA
PO-00030,AMER,SUP045,MRO,2024-03-18,2024-04-08,2024-03-18,616.0,61.89,38124.24,DAP,Standard,Closed,EA
PO-00031,AMER,SUP005,Electronics,2024-01-10,2024-01-23,2024-01-10,113.0,34.29,3874.77,FOB,Standard,Closed,EA
PO-00032,AMER,SUP027,Assemblies,2024-03-21,2024-04-02,2024-03-21,449.0,144.09,64696.41,DDP,Standard,Closed,EA
PO-00033,AMER,SUP024,Assemblies,2024-02-01,2024-02-26,2024-02-01,273.0,52.17,14242.41,DAP,Standard,Closed,EA
PO-00034,AMER,SUP038,Assemblies,2024-01-20,2024-02-07,2024-01-20,671.0,48.41,32483.11,CIF,Standard,Closed,EA
PO-00035,AMER,SUP001,Packaging,2024-02-01,2024-02-26,2024-02-01,319.0,86.42,27567.98,DDP,Urgent,Closed,EA
PO-00036,AMER,SUP057,Packaging,2024-03-19,2024-04-03,2024-03-19,995.0,102.82,102305.9,DAP,Critical,Closed,EA
PO-00037,AMER,SUP011,MRO,2024-02-12,2024-02-21,2024-02-12,584.0,19.77,11545.68,DDP,Critical,Closed,EA
PO-00038,AMER,SUP009,Chemicals,2024-03-26,2024-04-09,2024-03-26,0.084,144170.0,12110.28,FOB,Standard,Closed,MT
PO-00039,AMER,SUP060,Chemicals,2024-02-22,2024-02-28,2024-02-22,0.482,79830.0,38478.06,CIF,Standard,Closed,MT
PO-00040,AMER,SUP047,MRO,2024-02-27,2024-03-11,2024-02-27,107.0,106.24,11367.68,CIF,Standard,Closed,EA
PO-00041,AMER,SUP010,MRO,2024-01-21,2024-02-04,2024-01-21,51.0,21.25,1083.75,DAP,Standard,Closed,EA
PO-00042,AMER,SUP002,Electronics,2024-01-26,2024-02-11,2024-01-26,366.0,67.54,24719.64,DDP,Urgent,Closed,EA
PO-00043,AMER,SUP036,Assemblies,2024-01-21,2024-02-02,2024-01-21,280.0,74.58,20882.4,DDP,Standard,Closed,EA
PO-00044,AMER,SUP029,Assemblies,2024-01-23,2024-02-18,2024-01-23,96.0,71.81,6893.76,DDP,Standard,Closed,EA
PO-00045,AMER,SUP002,Assemblies,2024-01-30,2024-02-07,2024-01-30,923.0,6.34,5851.82,FOB,Standard,Closed,EA
PO-00046,AMER,SUP029,Packaging,2024-03-05,2024-03-24,2024-03-05,279.0,87.54,24423.66,EXW,Urgent,Closed,EA
PO-00047,AMER,SUP032,Assemblies,2024-01-26,2024-02-19,2024-01-26,638.0,28.6,18246.8,DDP,Urgent,Closed,EA
PO-00048,AMER,SUP034,Assemblies,2024-01-23,2024-02-18,2024-01-23,482.0,92.5,44585.0,DAP,Standard,Closed,EA
PO-00049,AMER,SUP033,Packaging,2024-01-14,2024-01-26,2024-01-14,810.0,92.11,74609.1,CIF,Standard,Closed,EA
PO-00050,AMER,SUP052,MRO,2024-03-15,2024-03-21,2024-03-15,78.0,55.24,4308.72,FOB,Standard,Closed,EA
PO-00051,AMER,SUP019,Raw Materials,2024-03-17,2024-04-07,2024-03-17,752.0,50.99,38344.48,DAP,Standard,Closed,EA
PO-00052,AMER,SUP041,Chemicals,2024-03-11,2024-03-19,2024-03-11,0.709,30080.0,21326.72,EXW,Critical,Closed,MT
PO-00053,AMER,SUP034,MRO,2024-03-25,2024-03-30,2024-03-25,994.0,89.77,89231.38,FOB,Urgent,Closed,EA
PO-00054,AMER,SUP010,Chemicals,2024-02-07,2024-02-24,2024-02-07,0.641,44610.0,28595.01,FOB,Standard,Closed,MT
PO-00055,AMER,SUP059,Raw Materials,2024-02-01,2024-02-21,2024-02-01,845.0,7.63,6447.35,EXW,Standard,Closed,EA
