inspection_id,delivery_id,po_id,warehouse_id,inspector_id,inspection_date,defect_count,sample_size,inspection_result,defect_category,corrective_action_required
QI000001,DLV000004,PO-00004,AMER,INS020,2024-02-03,2,23,Pass,None,False
QI000002,DLV000005,PO-00005,AMER,INS013,2024-01-26,4,26,Fail,Cosmetic,False
QI000003,DLV000008,PO-00008,AMER,INS015,2024-03-04,7,31,Fail,None,True
QI000004,DLV000009,PO-00009,AMER,INS012,2024-02-16,5,21,Fail,None,True
QI000005,DLV000010,PO-00010,AMER,INS005,2024-03-13,2,30,Pass,None,False
QI000006,DLV000012,PO-00012,AMER,INS012,2024-03-07,4,49,Fail,Cosmetic,False
QI000007,DLV000014,PO-00014,AMER,INS002,2024-02-22,6,20,Fail,None,True
QI000008,DLV000015,PO-00015,AMER,INS017,2024-02-26,3,31,Fail,None,False
QI000009,DLV000016,PO-00016,AMER,INS014,2024-04-25,1,36,Pass,None,False
QI000010,DLV000017,PO-00017,AMER,INS015,2024-03-20,5,49,Fail,None,True
QI000011,DLV000018,PO-00018,AMER,INS003,2024-03-26,3,31,Fail,None,False
QI000012,DLV000020,PO-00020,AMER,INS016,2024-02-13,6,28,Fail,Cosmetic,True
QI000013,DLV000021,PO-00021,AMER,INS018,2024-02-19,3,19,Fail,Cosmetic,False
QI000014,DLV000022,PO-00022,AMER,INS009,2024-03-24,3,19,Fail,Cosmetic,False
QI000015,DLV000023,PO-00023,AMER,INS016,2024-03-01,7,33,Fail,None,True
QI000016,DLV000024,PO-00024,AMER,INS006,2024-02-26,5,20,Fail,None,True
QI000017,DLV000025,PO-00025,AMER,INS019,2024-03-18,2,17,Pass,Cosmetic,False
QI000018,DLV000027,PO-00027,AMER,INS001,2024-03-15,1,28,Pass,Functional,False
QI000019,DLV000029,PO-00029,AMER,INS006,2024-04-02,4,47,Fail,None,False
QI000020,DLV000030,PO-00030,AMER,INS001,2024-03-09,6,49,Fail,None,True
QI000021,DLV000031,PO-00031,AMER,INS008,2024-02-20,2,48,Pass,None,False
QI000022,DLV000032,PO-00032,AMER,INS002,2024-02-23,1,45,Pass,None,False
QI000023,DLV000033,PO-00033,AMER,INS012,2024-03-26,0,31,Pass,None,False
QI000024,DLV000035,PO-00035,AMER,INS007,2024-03-31,5,48,Fail,Cosmetic,True
QI000025,DLV000036,PO-00036,AMER,INS008,2024-03-17,7,29,Fail,Functional,True
QI000026,DLV000038,PO-00038,AMER,INS008,2024-02-29,2,26,Pass,None,False
QI000027,DLV000041,PO-00041,AMER,INS013,2024-03-04,7,24,Fail,None,True
QI000028,DLV000042,PO-00042,AMER,INS013,2024-02-25,7,37,Fail,None,True
QI000029,DLV000044,PO-00044,AMER,INS011,2024-03-07,0,50,Pass,None,False
QI000030,DLV000045,PO-00045,AMER,INS013,2024-02-08,0,16,Pass,Cosmetic,False
QI000031,DLV000046,PO-00046,AMER,INS019,2024-04-06,1,25,Pass,None,False
QI000032,DLV000047,PO-00047,AMER,INS019,2024-03-30,0,42,Pass,None,False
QI000033,DLV000051,PO-00051,AMER,INS004,2024-02-18,1,21,Pass,None,False
QI000034,DLV000054,PO-00054,AMER,INS008,2024-02-07,3,33,Fail,Cosmetic,False
QI000035,DLV000057,PO-00057,AMER,INS017,2024-04-07,7,45,Fail,Cosmetic,True
QI000036,DLV000058,PO-00058,AMER,INS005,2024-04-03,3,21,Fail,Cosmetic,False
QI000037,DLV000059,PO-00059,AMER,INS004,2024-02-21,1,13,Pass,Cosmetic,False
QI000038,DLV000060,PO-00060,AMER,INS009,2024-03-07,2,32,Pass,Critical,False
QI000039,DLV000061,PO-00061,AMER,INS007,2024-01-26,7,34,Fail,None,True
QI000040,DLV000062,PO-00062,AMER,INS009,2024-03-29,3,15,Fail,None,False
QI000041,DLV000063,PO-00063,AMER,INS007,2024-04-22,6,22,Fail,None,True
QI000042,DLV000066,PO-00066,AMER,INS011,2024-02-09,7,48,Fail,None,True
QI000043,DLV000067,PO-00067,AMER,INS003,2024-03-16,7,11,Fail,None,True
QI000044,DLV000069,PO-00069,AMER,INS015,2024-04-08,2,44,Pass,None,False
QI000045,DLV000071,PO-00071,AMER,INS020,2024-04-09,0,50,Pass,None,False
QI000046,DLV000073,PO-00073,AMER,INS001,2024-01-31,4,25,Fail,None,False
QI000047,DLV000075,PO-00075,AMER,INS014,2024-03-10,5,46,Fail,Functional,True
QI000048,DLV000076,PO-00076,AMER,INS004,2024-01-30,7,45,Fail,None,True
QI000049,DLV000077,PO-00077,AMER,INS006,2024-01-24,1,28,Pass,None,False
QI000050,DLV000078,PO-00078,AMER,INS014,2024-02-22,7,23,Fail,None,True
QI000051,DLV000079,PO-00079,AMER,INS007,2024-03-12,4,10,Fail,Functional,False
QI000052,DLV000080,PO-00080,AMER,INS013,2024-04-08,4,39,Fail,None,False
QI000053,DLV000081,PO-00081,AMER,INS020,2024-01-27,5,26,Fail,None,True
QI000054,DLV000082,PO-00082,AMER,INS002,2024-03-04,2,45,Pass,None,False
QI000055,DLV000083,PO-00083,AMER,INS008,2024-04-02,6,32,Fail,Cosmetic,True
QI000056,DLV000084,PO-00084,AMER,INS017,2024-02-03,2,39,Pass,None,False
QI000057,DLV000085,PO-00085,AMER,INS016,2024-03-27,2,32,Pass,None,False
QI000058,DLV000086,PO-00086,AMER,INS011,2024-04-06,4,16,Fail,None,False
QI000059,DLV000087,PO-00087,AMER,INS014,2024-01-22,6,47,Fail,Cosmetic,True
QI000060,DLV000088,PO-00088,AMER,INS017,2024-03-04,2,40,Pass,Cosmetic,False
QI000061,DLV000089,PO-00089,AMER,INS001,2024-02-28,6,42,Fail,None,True
QI000062,DLV000090,PO-00090,AMER,INS007,2024-01-09,5,12,Fail,None,True
QI000063,DLV000091,PO-00091,AMER,INS013,2024-03-03,7,50,Fail,None,True
QI000064,DLV000092,PO-00092,AMER,INS009,2024-03-11,6,39,Fail,None,True
QI000065,DLV000095,PO-00095,AMER,INS017,2024-03-11,6,14,Fail,Functional,True
QI000066,DLV000096,PO-00096,AMER,INS018,2024-02-12,1,48,Pass,None,False
QI000067,DLV000097,PO-00097,AMER,INS013,2024-04-07,0,45,Pass,None,False
QI000068,DLV000098,PO-00098,AMER,INS020,2024-02-22,5,35,Fail,Functional,True
QI000069,DLV000101,PO-00101,AMER,INS015,2024-03-13,4,42,Fail,Functional,False
QI000070,DLV000105,PO-00105,AMER,INS016,2024-03-06,7,33,Fail,Functional,True
QI000071,DLV000107,PO-00107,AMER,INS014,2024-04-20,2,25,Pass,None,False
