transfer_id,spell_id,transfer_date,new_department_id,transfer_type
TRF00001,SPL00006,2023-10-29,DEPT01,permanent
TRF00002,SPL00010,2024-06-29,DEPT04,permanent
TRF00003,SPL00011,2024-05-18,DEPT08,permanent
TRF00004,SPL00015,2023-03-25,DEPT02,permanent
TRF00005,SPL00023,2022-12-14,DEPT04,permanent
TRF00006,SPL00024,2023-05-15,DEPT10,permanent
TRF00007,SPL00032,2022-03-15,DEPT09,temporary_secondment
TRF00008,SPL00033,2021-03-09,DEPT09,permanent
TRF00009,SPL00058,2023-09-03,DEPT04,permanent
TRF00010,SPL00058,2023-10-06,DEPT08,permanent
TRF00011,SPL00061,2023-09-07,DEPT07,permanent
TRF00012,SPL00088,2024-04-09,DEPT10,permanent
TRF00013,SPL00094,2024-05-10,DEPT06,permanent
TRF00014,SPL00123,2024-01-11,DEPT01,temporary_secondment
TRF00015,SPL00123,2024-01-20,DEPT09,temporary_secondment
TRF00016,SPL00129,2023-08-14,DEPT08,permanent
TRF00017,SPL00139,2024-06-16,DEPT05,permanent
TRF00018,SPL00153,2024-04-13,DEPT01,temporary_secondment
TRF00019,SPL00158,2024-04-05,DEPT01,temporary_secondment
TRF00020,SPL00164,2022-02-16,DEPT09,temporary_secondment
TRF00021,SPL00177,2019-11-17,DEPT09,permanent
TRF00022,SPL00177,2020-10-18,DEPT10,permanent
TRF00023,SPL00180,2019-06-13,DEPT10,permanent
TRF00024,SPL00180,2021-09-04,DEPT03,permanent
TRF00025,SPL00193,2023-08-19,DEPT05,permanent
TRF00026,SPL00193,2024-06-11,DEPT09,permanent
TRF00027,SPL00203,2024-05-26,DEPT04,permanent
TRF00028,SPL00226,2021-12-30,DEPT04,permanent
TRF00029,SPL00228,2023-08-08,DEPT05,permanent
TRF00030,SPL00236,2024-01-28,DEPT09,permanent
TRF00031,SPL00243,2022-11-19,DEPT03,permanent
TRF00032,SPL00258,2024-06-26,DEPT02,permanent
TRF00033,SPL00262,2023-12-23,DEPT04,permanent
TRF00034,SPL00272,2022-08-25,DEPT05,permanent
TRF00035,SPL00274,2024-06-08,DEPT05,permanent
TRF00036,SPL00282,2024-04-13,DEPT08,temporary_secondment
TRF00037,SPL00289,2022-09-30,DEPT06,permanent
TRF00038,SPL00290,2023-01-19,DEPT02,permanent
TRF00039,SPL00294,2021-12-27,DEPT06,permanent
TRF00040,SPL00299,2023-10-03,DEPT03,permanent
TRF00041,SPL00299,2024-01-13,DEPT10,permanent
TRF00042,SPL00301,2024-05-22,DEPT06,permanent
TRF00043,SPL00308,2024-06-27,DEPT09,temporary_secondment
TRF00044,SPL00309,2023-11-28,DEPT05,permanent
TRF00045,SPL00311,2024-05-10,DEPT09,temporary_secondment
TRF00046,SPL00311,2024-05-29,DEPT10,permanent
TRF00047,SPL00314,2024-04-16,DEPT09,permanent
TRF00048,SPL00314,2024-05-27,DEPT03,permanent
TRF00049,SPL00319,2023-07-05,DEPT02,permanent
TRF00050,SPL00327,2023-01-19,DEPT09,permanent
TRF00051,SPL00328,2024-06-08,DEPT03,permanent
TRF00052,SPL00334,2024-04-17,DEPT04,temporary_secondment
TRF00053,SPL00337,2023-10-25,DEPT02,permanent
