spell_id,employee_id,business_unit_id,home_department_id,hire_date,term_date,term_reason,worker_category
SPL00001,EMP00001,BU02,DEPT10,2019-06-27,,,regular_full_time
SPL00002,EMP00002,BU02,DEPT09,2023-03-23,,,regular_full_time
SPL00003,EMP00003,BU02,DEPT03,2022-11-30,2024-06-13,involuntary_termination,regular_full_time
SPL00004,EMP00004,BU02,DEPT03,2023-04-16,2024-04-09,resignation,regular_part_time
SPL00005,EMP00005,BU02,DEPT06,2023-09-07,2024-06-27,layoff,regular_full_time
SPL00006,EMP00006,BU01,DEPT02,2023-07-08,2023-12-10,resignation,regular_part_time
SPL00007,EMP00007,BU01,DEPT09,2023-01-21,2024-01-24,resignation,regular_part_time
SPL00008,EMP00008,BU01,DEPT02,2022-09-23,2023-10-03,involuntary_termination,regular_full_time
SPL00009,EMP00009,BU02,DEPT06,2024-02-18,2024-06-26,layoff,intern
SPL00010,EMP00010,BU01,DEPT07,2021-05-21,,,regular_full_time
SPL00011,EMP00011,BU01,DEPT01,2022-06-23,,,regular_full_time
SPL00012,EMP00012,BU02,DEPT06,2019-10-06,,,regular_full_time
SPL00013,EMP00013,BU01,DEPT02,2022-01-12,2024-02-16,resignation,regular_full_time
SPL00014,EMP00014,BU02,DEPT06,2021-07-03,,,regular_full_time
SPL00015,EMP00015,BU01,DEPT07,2022-01-31,2023-10-27,resignation,regular_full_time
SPL00016,EMP00016,BU02,DEPT10,2022-01-08,2022-11-20,resignation,regular_full_time
SPL00017,EMP00017,BU02,DEPT05,2024-01-03,,,regular_full_time
SPL00018,EMP00018,BU01,DEPT08,2020-08-08,,,regular_full_time
SPL00019,EMP00019,BU01,DEPT01,2020-10-02,,,regular_full_time
SPL00020,EMP00020,BU01,DEPT02,2019-11-29,2022-01-06,involuntary_termination,regular_full_time
SPL00021,EMP00021,BU01,DEPT07,2021-09-14,,,regular_full_time
SPL00022,EMP00022,BU01,DEPT01,2021-06-08,2024-06-12,layoff,regular_full_time
SPL00023,EMP00023,BU01,DEPT09,2021-09-13,,,regular_full_time
SPL00024,EMP00024,BU02,DEPT03,2022-10-26,2023-07-25,layoff,regular_part_time
SPL00025,EMP00025,BU01,DEPT07,2019-09-12,2022-01-11,layoff,regular_full_time
SPL00026,EMP00026,BU02,DEPT06,2021-06-27,2023-12-22,involuntary_termination,regular_part_time
SPL00027,EMP00027,BU01,DEPT08,2019-07-08,2023-03-17,resignation,regular_full_time
SPL00028,EMP00028,BU01,DEPT01,2022-07-19,2023-07-24,layoff,regular_full_time
SPL00029,EMP00029,BU02,DEPT05,2024-05-26,,,regular_full_time
SPL00030,EMP00030,BU01,DEPT09,2022-03-04,2024-04-11,resignation,regular_full_time
SPL00031,EMP00031,BU02,DEPT04,2020-07-03,2023-06-05,resignation,regular_full_time
SPL00032,EMP00032,BU02,DEPT03,2021-08-27,2022-05-12,layoff,regular_full_time
SPL00033,EMP00033,BU02,DEPT05,2019-01-20,2023-08-24,resignation,regular_full_time
SPL00034,EMP00034,BU02,DEPT06,2023-11-22,,,regular_full_time
SPL00035,EMP00035,BU01,DEPT07,2020-10-01,2023-09-06,resignation,contractor
SPL00036,EMP00036,BU02,DEPT10,2019-08-03,2024-05-24,resignation,regular_part_time
SPL00037,EMP00037,BU02,DEPT04,2022-05-24,2023-02-05,resignation,regular_full_time
SPL00038,EMP00038,BU01,DEPT04,2021-10-23,,,contractor
SPL00039,EMP00039,BU02,DEPT03,2023-08-13,2024-06-04,involuntary_termination,intern
SPL00040,EMP00040,BU01,DEPT01,2023-11-11,,,regular_full_time
SPL00041,EMP00041,BU01,DEPT07,2021-01-27,2024-03-29,resignation,contractor
SPL00042,EMP00042,BU02,DEPT05,2020-06-07,,,regular_full_time
SPL00043,EMP00043,BU02,DEPT10,2019-03-31,,,regular_full_time
SPL00044,EMP00044,BU01,DEPT02,2020-01-27,2022-06-22,resignation,regular_full_time
SPL00045,EMP00045,BU02,DEPT03,2019-02-05,,,regular_full_time
SPL00046,EMP00046,BU01,DEPT02,2022-09-12,,,regular_full_time
SPL00047,EMP00047,BU01,DEPT02,2019-02-20,2024-04-28,resignation,regular_part_time
SPL00048,EMP00048,BU02,DEPT03,2022-11-26,,,regular_full_time
SPL00049,EMP00049,BU02,DEPT04,2020-09-17,2023-09-03,involuntary_termination,regular_full_time
SPL00050,EMP00050,BU01,DEPT02,2024-03-19,2024-06-29,involuntary_termination,regular_full_time
SPL00051,EMP00051,BU02,DEPT03,2019-12-28,,,regular_part_time
SPL00052,EMP00052,BU01,DEPT01,2024-02-03,,,regular_full_time
SPL00053,EMP00053,BU02,DEPT03,2020-05-14,,,regular_full_time
SPL00054,EMP00054,BU02,DEPT05,2023-05-08,2024-03-04,resignation,intern
SPL00055,EMP00055,BU02,DEPT03,2019-08-15,2022-04-15,involuntary_termination,intern
SPL00056,EMP00056,BU01,DEPT01,2022-07-23,2024-02-22,resignation,regular_part_time
SPL00057,EMP00057,BU01,DEPT02,2020-01-19,,,regular_full_time
SPL00058,EMP00058,BU01,DEPT07,2023-07-02,2024-01-11,resignation,regular_full_time
SPL00059,EMP00059,BU01,DEPT01,2022-11-14,2024-04-10,resignation,regular_full_time
SPL00060,EMP00060,BU02,DEPT03,2019-04-21,,,regular_full_time
SPL00061,EMP00061,BU01,DEPT02,2023-04-29,2024-01-24,involuntary_termination,regular_full_time
SPL00062,EMP00062,BU01,DEPT01,2023-08-24,2024-05-05,resignation,regular_full_time
SPL00063,EMP00063,BU02,DEPT04,2019-07-05,2024-02-23,layoff,regular_full_time
SPL00064,EMP00064,BU02,DEPT10,2023-07-20,,,contractor
SPL00065,EMP00065,BU01,DEPT02,2022-06-05,2024-01-09,layoff,regular_part_time
SPL00066,EMP00066,BU01,DEPT08,2022-07-04,,,regular_full_time
SPL00067,EMP00067,BU02,DEPT03,2020-05-12,2022-08-16,resignation,regular_full_time
SPL00068,EMP00068,BU01,DEPT07,2020-06-15,2023-11-26,resignation,regular_full_time
SPL00069,EMP00069,BU02,DEPT03,2023-04-29,2024-04-08,layoff,contractor
SPL00070,EMP00070,BU02,DEPT10,2024-03-06,2024-06-25,resignation,regular_full_time
SPL00071,EMP00071,BU02,DEPT06,2019-12-19,,,regular_full_time
SPL00072,EMP00072,BU02,DEPT05,2023-01-04,2024-04-30,resignation,regular_full_time
SPL00073,EMP00073,BU01,DEPT09,2021-11-08,,,regular_full_time
SPL00074,EMP00074,BU02,DEPT10,2024-02-09,,,regular_full_time
SPL00075,EMP00075,BU02,DEPT05,2024-01-31,2024-06-18,resignation,regular_full_time
SPL00076,EMP00076,BU02,DEPT05,2024-02-29,2024-06-21,involuntary_termination,regular_full_time
SPL00077,EMP00077,BU02,DEPT05,2024-01-08,,,regular_full_time
SPL00078,EMP00078,BU01,DEPT02,2023-05-12,2024-05-05,resignation,regular_full_time
SPL00079,EMP00079,BU01,DEPT08,2024-01-11,,,regular_full_time
SPL00080,EMP00080,BU01,DEPT07,2023-03-24,2024-01-30,resignation,regular_part_time
SPL00081,EMP00081,BU01,DEPT08,2024-03-30,2024-06-29,retirement,contractor
SPL00082,EMP00082,BU02,DEPT10,2019-10-22,2022-11-30,layoff,contractor
SPL00083,EMP00083,BU01,DEPT02,2019-01-10,,,contractor
SPL00084,EMP00084,BU01,DEPT02,2022-12-01,2024-04-15,resignation,regular_full_time
SPL00085,EMP00085,BU01,DEPT07,2019-07-10,2023-01-16,resignation,regular_part_time
SPL00086,EMP00086,BU02,DEPT10,2021-06-24,2024-06-28,layoff,contractor
SPL00087,EMP00087,BU01,DEPT01,2022-09-26,,,intern
SPL00088,EMP00088,BU02,DEPT05,2020-07-19,2024-04-26,resignation,regular_full_time
SPL00089,EMP00089,BU02,DEPT10,2020-05-05,2024-05-02,involuntary_termination,regular_full_time
SPL00090,EMP00090,BU01,DEPT01,2020-04-24,2023-09-13,layoff,regular_full_time
SPL00091,EMP00091,BU01,DEPT01,2024-04-03,,,intern
SPL00092,EMP00092,BU02,DEPT04,2020-04-20,,,regular_part_time
SPL00093,EMP00093,BU01,DEPT01,2023-08-14,2024-02-10,retirement,intern
SPL00094,EMP00094,BU02,DEPT05,2022-10-23,,,regular_part_time
SPL00095,EMP00095,BU01,DEPT02,2021-06-13,2024-02-04,layoff,regular_part_time
SPL00096,EMP00096,BU01,DEPT01,2019-11-06,,,regular_full_time
SPL00097,EMP00097,BU02,DEPT06,2019-01-09,2021-01-19,resignation,intern
SPL00098,EMP00098,BU02,DEPT03,2019-03-26,,,contractor
SPL00099,EMP00099,BU01,DEPT02,2020-05-22,,,regular_full_time
SPL00100,EMP00100,BU02,DEPT05,2022-06-22,,,regular_full_time
SPL00101,EMP00101,BU01,DEPT02,2020-05-28,2023-03-17,resignation,contractor
SPL00102,EMP00102,BU01,DEPT02,2022-07-17,2023-10-15,resignation,regular_full_time
SPL00103,EMP00103,BU01,DEPT08,2023-04-15,2024-01-07,involuntary_termination,regular_full_time
SPL00104,EMP00104,BU01,DEPT01,2022-05-02,2023-12-13,resignation,regular_full_time
SPL00105,EMP00105,BU02,DEPT06,2019-07-09,,,regular_full_time
SPL00106,EMP00106,BU01,DEPT07,2022-02-14,,,regular_full_time
SPL00107,EMP00107,BU02,DEPT05,2020-11-14,2023-08-14,involuntary_termination,regular_full_time
SPL00108,EMP00108,BU02,DEPT04,2021-12-30,2023-12-03,involuntary_termination,intern
SPL00109,EMP00109,BU02,DEPT03,2020-05-05,2021-10-13,layoff,intern
SPL00110,EMP00110,BU01,DEPT07,2020-09-18,2022-07-26,resignation,regular_full_time
SPL00111,EMP00111,BU02,DEPT10,2019-05-13,,,regular_full_time
SPL00112,EMP00112,BU01,DEPT02,2023-01-20,,,regular_full_time
SPL00113,EMP00113,BU01,DEPT09,2022-08-25,,,regular_full_time
SPL00114,EMP00114,BU01,DEPT07,2019-08-27,,,regular_part_time
SPL00115,EMP00115,BU02,DEPT05,2019-10-15,2022-03-28,retirement,regular_full_time
SPL00116,EMP00116,BU01,DEPT02,2022-11-06,,,regular_full_time
SPL00117,EMP00117,BU02,DEPT10,2024-01-09,,,regular_full_time
SPL00118,EMP00118,BU02,DEPT03,2024-05-25,,,regular_full_time
SPL00119,EMP00119,BU02,DEPT06,2023-08-07,2024-04-22,resignation,regular_full_time
SPL00120,EMP00120,BU01,DEPT04,2021-02-21,2023-01-01,resignation,regular_full_time
SPL00121,EMP00121,BU02,DEPT03,2020-01-23,2022-07-11,layoff,regular_full_time
SPL00122,EMP00122,BU02,DEPT05,2021-09-03,,,regular_full_time
SPL00123,EMP00123,BU01,DEPT08,2023-05-03,2024-02-22,layoff,regular_full_time
SPL00124,EMP00124,BU02,DEPT06,2023-03-01,,,regular_full_time
SPL00125,EMP00125,BU02,DEPT05,2021-01-07,,,intern
SPL00126,EMP00126,BU02,DEPT03,2021-10-03,2022-11-27,resignation,regular_full_time
SPL00127,EMP00127,BU01,DEPT02,2024-06-12,,,regular_full_time
SPL00128,EMP00128,BU01,DEPT02,2024-01-03,2024-06-27,resignation,regular_full_time
SPL00129,EMP00129,BU01,DEPT01,2021-04-17,2024-01-23,involuntary_termination,regular_full_time
SPL00130,EMP00130,BU02,DEPT05,2020-09-04,2024-01-31,layoff,contractor
SPL00131,EMP00131,BU02,DEPT10,2021-10-23,,,contractor
SPL00132,EMP00132,BU02,DEPT06,2022-12-07,2024-03-09,involuntary_termination,regular_full_time
SPL00133,EMP00133,BU01,DEPT07,2021-04-10,,,contractor
SPL00134,EMP00134,BU01,DEPT08,2024-04-16,,,regular_part_time
SPL00135,EMP00135,BU02,DEPT10,2019-01-10,2024-06-17,resignation,regular_full_time
SPL00136,EMP00136,BU01,DEPT08,2019-09-04,,,contractor
SPL00137,EMP00137,BU02,DEPT10,2022-07-19,,,regular_full_time
SPL00138,EMP00138,BU01,DEPT01,2019-06-19,2020-12-08,resignation,regular_part_time
SPL00139,EMP00139,BU02,DEPT10,2024-01-31,,,regular_part_time
SPL00140,EMP00140,BU02,DEPT10,2022-09-07,2023-09-29,involuntary_termination,regular_part_time
SPL00141,EMP00141,BU02,DEPT03,2020-04-10,,,regular_full_time
SPL00142,EMP00142,BU01,DEPT08,2023-09-07,,,regular_full_time
SPL00143,EMP00143,BU02,DEPT10,2022-05-01,2024-05-12,resignation,regular_full_time
SPL00144,EMP00144,BU01,DEPT08,2022-08-31,2024-05-30,resignation,regular_full_time
