leave_id,spell_id,leave_start,leave_end
LV00001,SPL00010,2024-06-18,2024-07-16
LV00002,SPL00018,2022-06-10,2022-07-16
LV00003,SPL00021,2024-06-20,2024-07-15
LV00004,SPL00023,2022-03-01,2022-04-24
LV00005,SPL00025,2023-12-06,2024-02-11
LV00006,SPL00026,2021-11-30,2022-02-02
LV00007,SPL00030,2023-08-05,2023-11-21
LV00008,SPL00030,2023-11-23,2024-02-22
LV00009,SPL00031,2024-02-26,2024-03-20
LV00010,SPL00036,2019-04-02,2019-06-25
LV00011,SPL00039,2024-06-18,2024-07-25
LV00012,SPL00053,2021-06-02,2021-07-24
LV00013,SPL00059,2024-06-17,2024-10-03
LV00014,SPL00073,2024-06-29,2024-08-07
LV00015,SPL00086,2021-09-08,2022-01-04
LV00016,SPL00096,2021-02-03,2021-05-10
LV00017,SPL00098,2022-01-16,2022-04-26
LV00018,SPL00098,2023-01-21,2023-05-19
LV00019,SPL00100,2024-05-08,2024-08-20
LV00020,SPL00103,2024-03-04,2024-04-12
LV00021,SPL00105,2024-05-12,2024-09-03
LV00022,SPL00108,2023-04-23,2023-08-10
LV00023,SPL00109,2024-06-10,2024-08-08
LV00024,SPL00110,2020-11-13,2020-12-11
LV00025,SPL00131,2023-09-07,2023-10-10
LV00026,SPL00139,2023-11-26,2024-01-03
LV00027,SPL00141,2024-03-01,2024-05-08
LV00028,SPL00151,2024-06-30,2024-08-11
LV00029,SPL00155,2022-04-03,2022-07-26
LV00030,SPL00156,2023-02-17,2023-03-21
LV00031,SPL00162,2024-04-28,2024-06-23
LV00032,SPL00162,2024-06-27,2024-08-01
LV00033,SPL00167,2024-01-14,2024-03-19
LV00034,SPL00177,2021-04-14,2021-07-24
LV00035,SPL00178,2023-07-14,2023-10-01
LV00036,SPL00186,2019-03-28,2019-07-01
LV00037,SPL00186,2019-08-22,2019-11-18
LV00038,SPL00195,2021-12-15,2022-04-01
LV00039,SPL00198,2020-11-06,2020-11-29
LV00040,SPL00200,2024-05-30,2024-07-21
LV00041,SPL00201,2020-02-22,2020-05-12
LV00042,SPL00202,2023-11-01,2024-02-20
LV00043,SPL00202,2024-02-29,2024-04-13
LV00044,SPL00203,2024-05-31,2024-09-07
