change_id,spell_id,change_date,new_worker_category,approval_status
CAT00001,SPL00054,2023-07-09,regular_full_time,approved
CAT00002,SPL00131,2024-04-29,regular_full_time,approved
CAT00003,SPL00230,2022-07-26,regular_full_time,approved
CAT00004,SPL00249,2020-03-16,regular_full_time,approved
CAT00005,SPL00323,2019-11-08,regular_full_time,approved
CAT00006,SPL00340,2024-01-16,regular_full_time,approved
CAT00007,SPL00484,2024-05-08,regular_full_time,approved
CAT00008,SPL00519,2021-08-18,regular_full_time,approved
CAT00009,SPL00563,2023-01-20,regular_full_time,approved
CAT00010,SPL00577,2023-11-22,regular_full_time,approved
CAT00011,SPL00670,2022-05-18,regular_full_time,approved
CAT00012,SPL00693,2024-02-01,regular_part_time,rejected
CAT00013,SPL00887,2024-04-29,regular_part_time,approved
CAT00014,SPL01012,2020-01-07,regular_full_time,rejected
CAT00015,SPL01093,2019-09-22,regular_full_time,approved
CAT00016,SPL01213,2024-02-13,regular_part_time,rejected
CAT00017,SPL01247,2024-06-10,regular_part_time,pending
CAT00018,SPL01370,2021-01-18,regular_part_time,approved
CAT00019,SPL01428,2023-09-17,regular_part_time,approved
CAT00020,SPL01445,2023-05-17,regular_full_time,rejected
CAT00021,SPL01452,2024-01-15,regular_full_time,approved
CAT00022,SPL01523,2024-06-24,regular_part_time,approved
CAT00023,SPL01645,2022-10-16,regular_full_time,rejected
CAT00024,SPL01749,2024-02-19,regular_part_time,approved
CAT00025,SPL01826,2021-04-26,regular_full_time,pending
CAT00026,SPL01827,2022-04-03,regular_full_time,approved
CAT00027,SPL01870,2024-02-15,regular_full_time,pending
CAT00028,SPL01970,2024-06-02,regular_part_time,pending
CAT00029,SPL02002,2024-01-26,regular_full_time,rejected
CAT00030,SPL02138,2023-01-05,regular_full_time,approved
CAT00031,SPL02140,2022-12-05,regular_full_time,rejected
CAT00032,SPL02183,2021-06-04,regular_full_time,pending
CAT00033,SPL02239,2024-03-10,regular_full_time,rejected
CAT00034,SPL02289,2023-07-08,regular_full_time,approved
CAT00035,SPL02290,2024-06-30,regular_part_time,pending
CAT00036,SPL02419,2024-01-06,regular_part_time,approved
CAT00037,SPL02421,2024-03-22,regular_full_time,approved
CAT00038,SPL02511,2024-04-25,regular_full_time,approved
CAT00039,SPL02697,2024-01-22,regular_part_time,approved
CAT00040,SPL02719,2024-05-30,regular_part_time,rejected
CAT00041,SPL02793,2021-11-19,regular_full_time,pending
CAT00042,SPL02943,2022-06-30,regular_full_time,pending
CAT00043,SPL02965,2019-10-02,regular_full_time,approved
CAT00044,SPL02976,2024-02-18,regular_full_time,rejected
CAT00045,SPL02979,2024-02-13,regular_full_time,rejected
CAT00046,SPL03149,2021-10-15,regular_full_time,rejected
CAT00047,SPL03156,2024-02-13,regular_full_time,approved
CAT00048,SPL03159,2022-02-12,regular_full_time,rejected
CAT00049,SPL03176,2023-11-04,regular_full_time,approved
CAT00050,SPL03185,2024-02-03,regular_full_time,pending
CAT00051,SPL03313,2019-12-17,regular_part_time,approved
CAT00052,SPL03337,2024-05-13,regular_full_time,approved
CAT00053,SPL03429,2020-11-07,regular_part_time,approved
CAT00054,SPL03443,2022-09-15,regular_full_time,rejected
CAT00055,SPL03447,2023-03-02,regular_full_time,approved
CAT00056,SPL03449,2022-05-05,regular_full_time,rejected
CAT00057,SPL03451,2024-02-10,regular_part_time,rejected
CAT00058,SPL03505,2022-07-05,regular_full_time,approved
CAT00059,SPL03531,2022-09-18,regular_part_time,approved
CAT00060,SPL03561,2021-05-01,regular_part_time,approved
CAT00061,SPL03646,2022-07-13,regular_part_time,rejected
CAT00062,SPL03691,2024-06-29,regular_full_time,approved
CAT00063,SPL03712,2021-09-10,regular_full_time,approved
CAT00064,SPL03742,2022-10-09,regular_full_time,approved
CAT00065,SPL03761,2024-02-03,regular_full_time,approved
CAT00066,SPL03772,2023-01-17,regular_part_time,pending
CAT00067,SPL03781,2024-02-22,regular_full_time,approved
CAT00068,SPL03787,2024-06-25,regular_full_time,approved
CAT00069,SPL03913,2024-02-07,regular_part_time,pending
CAT00070,SPL03922,2022-10-15,regular_full_time,rejected
CAT00071,SPL03936,2024-03-22,regular_full_time,approved
CAT00072,SPL03949,2024-06-11,regular_part_time,approved
CAT00073,SPL04000,2022-05-07,regular_full_time,approved
CAT00074,SPL04012,2024-03-21,regular_part_time,approved
CAT00075,SPL04186,2019-06-24,regular_full_time,approved
CAT00076,SPL04213,2022-09-05,regular_full_time,approved
CAT00077,SPL04242,2022-01-09,regular_full_time,approved
CAT00078,SPL04262,2021-09-10,regular_full_time,approved
CAT00079,SPL04319,2024-03-10,regular_full_time,approved
CAT00080,SPL04406,2024-05-11,regular_part_time,approved
CAT00081,SPL04455,2024-03-20,regular_full_time,rejected
CAT00082,SPL04456,2021-06-16,regular_full_time,approved
CAT00083,SPL04472,2021-01-07,regular_full_time,approved
CAT00084,SPL04501,2024-05-19,regular_full_time,approved
CAT00085,SPL04503,2024-05-22,regular_full_time,pending
CAT00086,SPL04570,2024-06-14,regular_full_time,approved
CAT00087,SPL04585,2021-09-12,regular_full_time,approved
CAT00088,SPL04625,2023-08-12,regular_full_time,approved
CAT00089,SPL04666,2023-07-17,regular_full_time,approved
CAT00090,SPL04706,2024-05-02,regular_full_time,approved
CAT00091,SPL04722,2023-06-14,regular_full_time,pending
CAT00092,SPL04777,2024-02-16,regular_part_time,approved
CAT00093,SPL04837,2024-02-08,regular_full_time,rejected
CAT00094,SPL04869,2024-06-19,regular_full_time,pending
