invoice_id,po_batch_id,freight_amount
FRT0001,BATCH0001,688.47
FRT0002,BATCH0001,900.96
FRT0003,BATCH0002,3825.88
FRT0004,BATCH0003,3038.93
FRT0005,BATCH0004,4331.23
FRT0006,BATCH0005,2844.46
FRT0007,BATCH0006,3418.66
FRT0008,BATCH0007,7187.2
FRT0009,BATCH0008,989.28
FRT0010,BATCH0008,558.22
FRT0011,BATCH0009,2160.95
FRT0012,BATCH0009,2882.86
FRT0013,BATCH0010,5208.56
FRT0014,BATCH0011,2219.54
FRT0015,BATCH0012,4016.82
FRT0016,BATCH0013,2666.31
FRT0017,BATCH0013,4183.32
FRT0018,BATCH0014,1131.21
FRT0019,BATCH0014,1756.44
FRT0020,BATCH0015,5274.5
FRT0021,BATCH0016,3769.03
FRT0022,BATCH0017,1950.91
FRT0023,BATCH0018,1440.49
FRT0024,BATCH0019,3813.94
FRT0025,BATCH0020,1762.41
FRT0026,BATCH0020,1078.57
FRT0027,BATCH0021,865.34
FRT0028,BATCH0022,3472.81
FRT0029,BATCH0023,4747.28
FRT0030,BATCH0024,2231.38
FRT0031,BATCH0025,3849.46
FRT0032,BATCH0026,1837.71
FRT0033,BATCH0027,5576.21
FRT0034,BATCH0027,3483.15
FRT0035,BATCH0028,4784.9
FRT0036,BATCH0029,1207.38
FRT0037,BATCH0030,4149.66
FRT0038,BATCH0031,4298.82
FRT0039,BATCH0032,1386.13
FRT0040,BATCH0033,5967.74
FRT0041,BATCH0034,3472.39
FRT0042,BATCH0035,736.18
FRT0043,BATCH0035,1223.58
FRT0044,BATCH0036,1349.03
FRT0045,BATCH0037,2681.34
FRT0046,BATCH0038,4508.52
FRT0047,BATCH0039,5147.6
FRT0048,BATCH0040,1052.2
FRT0049,BATCH0041,1395.16
FRT0050,BATCH0041,1610.96
FRT0051,BATCH0042,2998.06
FRT0052,BATCH0043,1164.33
FRT0053,BATCH0044,4757.52
FRT0054,BATCH0045,3221.72
FRT0055,BATCH0046,7341.12
FRT0056,BATCH0047,903.38
FRT0057,BATCH0047,1483.17
FRT0058,BATCH0048,2951.36
FRT0059,BATCH0049,3302.18
FRT0060,BATCH0050,3166.02
FRT0061,BATCH0050,1852.17
FRT0062,BATCH0051,4232.18
FRT0063,BATCH0052,827.16
FRT0064,BATCH0052,703.49
FRT0065,BATCH0053,2398.19
FRT0066,BATCH0054,2976.03
FRT0067,BATCH0055,4220.13
FRT0068,BATCH0056,1440.03
FRT0069,BATCH0056,1657.72
FRT0070,BATCH0057,875.1
FRT0071,BATCH0057,501.62
FRT0072,BATCH0058,5474.43
FRT0073,BATCH0059,3486.25
FRT0074,BATCH0059,2000.71
FRT0075,BATCH0060,3925.27
FRT0076,BATCH0061,3930.38
FRT0077,BATCH0062,1230.59
FRT0078,BATCH0062,1204.64
FRT0079,BATCH0063,1949.8
FRT0080,BATCH0063,1656.57
FRT0081,BATCH0064,3713.18
FRT0082,BATCH0065,5443.18
FRT0083,BATCH0066,761.85
FRT0084,BATCH0066,801.62
FRT0085,BATCH0067,6577.53
FRT0086,BATCH0068,2955.38
FRT0087,BATCH0069,3458.77
FRT0088,BATCH0070,2008.91
FRT0089,BATCH0071,1619.95
FRT0090,BATCH0071,1087.28
FRT0091,BATCH0072,1408.87
FRT0092,BATCH0073,5964.81
FRT0093,BATCH0074,3266.63
FRT0094,BATCH0075,4251.88
FRT0095,BATCH0076,2885.69
FRT0096,BATCH0077,2027.5
FRT0097,BATCH0078,3266.38
FRT0098,BATCH0079,5095.33
FRT0099,BATCH0080,3238.83
FRT0100,BATCH0081,1162.09
FRT0101,BATCH0081,1828.1
FRT0102,BATCH0082,2691.4
FRT0103,BATCH0083,1618.85
FRT0104,BATCH0084,1233.41
FRT0105,BATCH0084,1869.62
FRT0106,BATCH0085,3638.6
FRT0107,BATCH0086,5526.27
FRT0108,BATCH0087,927.61
FRT0109,BATCH0088,3552.55
FRT0110,BATCH0089,2731.15
FRT0111,BATCH0089,1983.67
FRT0112,BATCH0090,6309.09
FRT0113,BATCH0091,4358.12
FRT0114,BATCH0092,3745.15
FRT0115,BATCH0092,2126.74
FRT0116,BATCH0093,2802.46
FRT0117,BATCH0094,1243.23
FRT0118,BATCH0094,2017.14
FRT0119,BATCH0095,3220.31
FRT0120,BATCH0095,3158.68
FRT0121,BATCH0096,1519.24
FRT0122,BATCH0097,8313.04
FRT0123,BATCH0098,1136.17
FRT0124,BATCH0098,1362.61
FRT0125,BATCH0099,4115.62
FRT0126,BATCH0100,4716.54
FRT0127,BATCH0101,7330.97
FRT0128,BATCH0102,1208.92
FRT0129,BATCH0102,1452.69
FRT0130,BATCH0103,1970.91
FRT0131,BATCH0104,1464.22
FRT0132,BATCH0105,2521.35
FRT0133,BATCH0106,1061.59
FRT0134,BATCH0106,1614.92
FRT0135,BATCH0107,5962.14
FRT0136,BATCH0108,1933.72
FRT0137,BATCH0109,5419.02
FRT0138,BATCH0110,1446.33
