order_id,product_id,warehouse_id,order_date,quantity
ORD01922,SKU106,WH02,2024-04-12,125
ORD01963,SKU399,WH01,2024-04-12,211
ORD01919,SKU321,WH05,2024-04-13,134
ORD01890,SKU367,WH02,2024-04-14,179
ORD01908,SKU006,WH04,2024-04-14,194
ORD01857,SKU057,WH05,2024-04-16,115
ORD01899,SKU306,WH05,2024-04-16,210
ORD01762,SKU321,WH02,2024-04-18,184
ORD01775,SKU101,WH05,2024-04-18,164
ORD01901,SKU221,WH03,2024-04-19,159
ORD02006,SKU053,WH03,2024-04-19,65
ORD01769,SKU339,WH05,2024-04-20,172
ORD01979,SKU230,WH02,2024-04-20,111
ORD02057,SKU286,WH02,2024-04-20,111
ORD01868,SKU102,WH01,2024-04-22,162
ORD01785,SKU364,WH04,2024-04-23,143
ORD01831,SKU039,WH04,2024-04-23,84
ORD01853,SKU053,WH04,2024-04-23,299
ORD02037,SKU013,WH02,2024-04-23,81
ORD02050,SKU093,WH02,2024-04-23,298
ORD01828,SKU178,WH03,2024-04-24,257
ORD01829,SKU102,WH02,2024-04-24,266
ORD01805,SKU237,WH03,2024-04-25,47
ORD01830,SKU230,WH02,2024-04-25,199
ORD01948,SKU074,WH03,2024-04-25,111
ORD01784,SKU244,WH03,2024-04-26,59
ORD01888,SKU360,WH03,2024-04-26,44
ORD01951,SKU061,WH05,2024-04-26,160
ORD01954,SKU328,WH01,2024-04-26,68
ORD02000,SKU324,WH04,2024-04-26,149
ORD01770,SKU096,WH02,2024-04-27,326
ORD01872,SKU114,WH03,2024-04-27,189
ORD01879,SKU277,WH02,2024-04-27,83
ORD01945,SKU254,WH01,2024-04-27,84
ORD02052,SKU306,WH05,2024-04-27,216
ORD02055,SKU395,WH05,2024-04-28,85
ORD01982,SKU248,WH03,2024-04-29,54
ORD01795,SKU024,WH03,2024-04-30,155
ORD01797,SKU377,WH02,2024-04-30,110
ORD01877,SKU328,WH01,2024-04-30,64
ORD01915,SKU204,WH04,2024-04-30,81
ORD01975,SKU087,WH01,2024-04-30,292
ORD01822,SKU226,WH04,2024-05-01,355
ORD01881,SKU305,WH05,2024-05-01,57
ORD01934,SKU293,WH02,2024-05-01,91
ORD02007,SKU176,WH04,2024-05-01,189
ORD01895,SKU319,WH02,2024-05-02,156
ORD01780,SKU201,WH02,2024-05-03,67
ORD01815,SKU042,WH02,2024-05-03,78
ORD01882,SKU187,WH01,2024-05-03,114
ORD01889,SKU004,WH03,2024-05-03,158
ORD02010,SKU154,WH01,2024-05-03,74
ORD02012,SKU128,WH03,2024-05-03,183
ORD02026,SKU065,WH02,2024-05-03,137
ORD01778,SKU328,WH02,2024-05-04,172
ORD01817,SKU225,WH05,2024-05-04,183
ORD01873,SKU376,WH02,2024-05-04,351
ORD02020,SKU269,WH04,2024-05-04,176
ORD01802,SKU345,WH01,2024-05-05,61
ORD01971,SKU093,WH02,2024-05-05,125
ORD01989,SKU226,WH05,2024-05-05,223
ORD02035,SKU136,WH01,2024-05-05,192
ORD01779,SKU027,WH01,2024-05-06,88
ORD01787,SKU245,WH01,2024-05-06,276
ORD01863,SKU208,WH01,2024-05-06,214
ORD01886,SKU227,WH02,2024-05-06,208
ORD01923,SKU093,WH02,2024-05-06,258
ORD01997,SKU380,WH02,2024-05-06,240
ORD02023,SKU082,WH05,2024-05-06,130
ORD01904,SKU124,WH01,2024-05-07,87
ORD01955,SKU368,WH04,2024-05-07,132
ORD01956,SKU210,WH01,2024-05-07,237
ORD01968,SKU123,WH04,2024-05-07,329
ORD01970,SKU390,WH05,2024-05-07,56
ORD02049,SKU056,WH05,2024-05-07,187
ORD01774,SKU256,WH02,2024-05-08,151
ORD01856,SKU126,WH01,2024-05-08,207
ORD01900,SKU059,WH05,2024-05-08,105
ORD01905,SKU248,WH03,2024-05-08,88
ORD01953,SKU071,WH02,2024-05-08,32
ORD01962,SKU360,WH01,2024-05-08,192
ORD01973,SKU172,WH01,2024-05-08,138
ORD02030,SKU062,WH01,2024-05-08,113
ORD01793,SKU146,WH01,2024-05-09,105
ORD01840,SKU268,WH04,2024-05-09,248
ORD01898,SKU031,WH01,2024-05-09,357
ORD01911,SKU277,WH01,2024-05-09,105
ORD02060,SKU165,WH01,2024-05-09,171
ORD01918,SKU221,WH01,2024-05-10,126
ORD01958,SKU155,WH04,2024-05-10,33
ORD01991,SKU068,WH02,2024-05-10,84
ORD01813,SKU064,WH02,2024-05-11,145
ORD01910,SKU244,WH01,2024-05-11,76
ORD01960,SKU109,WH01,2024-05-11,184
ORD01964,SKU171,WH03,2024-05-11,383
ORD02013,SKU268,WH05,2024-05-11,124
ORD01842,SKU197,WH03,2024-05-12,150
ORD01880,SKU021,WH05,2024-05-12,95
ORD01917,SKU159,WH02,2024-05-12,42
ORD01938,SKU285,WH03,2024-05-12,322
ORD01952,SKU146,WH01,2024-05-12,113
ORD01851,SKU175,WH01,2024-05-13,149
ORD01939,SKU070,WH02,2024-05-13,279
ORD01943,SKU400,WH03,2024-05-13,158
ORD02053,SKU375,WH02,2024-05-13,303
ORD01867,SKU204,WH03,2024-05-14,196
ORD01937,SKU315,WH05,2024-05-14,111
ORD01987,SKU175,WH05,2024-05-14,101
ORD02019,SKU253,WH01,2024-05-14,494
ORD00055,SKU054,WH03,2024-05-15,79
ORD00104,SKU269,WH04,2024-05-15,154
ORD00239,SKU074,WH03,2024-05-15,60
ORD00267,SKU284,WH04,2024-05-15,146
ORD00268,SKU071,WH02,2024-05-15,37
ORD00283,SKU379,WH02,2024-05-15,73
ORD00428,SKU012,WH05,2024-05-15,85
ORD00436,SKU030,WH01,2024-05-15,99
ORD00509,SKU304,WH01,2024-05-15,55
ORD00536,SKU029,WH05,2024-05-15,160
ORD00576,SKU060,WH03,2024-05-15,52
ORD00592,SKU358,WH01,2024-05-15,65
ORD00605,SKU065,WH01,2024-05-15,155
ORD00672,SKU119,WH02,2024-05-15,182
ORD00684,SKU071,WH01,2024-05-15,106
ORD00735,SKU146,WH04,2024-05-15,93
ORD00781,SKU348,WH01,2024-05-15,259
ORD00823,SKU244,WH02,2024-05-15,90
ORD00840,SKU360,WH04,2024-05-15,114
ORD00848,SKU122,WH01,2024-05-15,34
ORD00872,SKU288,WH04,2024-05-15,124
ORD00882,SKU091,WH04,2024-05-15,35
ORD00919,SKU113,WH04,2024-05-15,111
ORD00933,SKU157,WH02,2024-05-15,338
ORD00937,SKU233,WH03,2024-05-15,174
ORD01017,SKU023,WH03,2024-05-15,33
ORD01021,SKU076,WH05,2024-05-15,98
ORD01284,SKU400,WH02,2024-05-15,113
