product_id,name,category,unit_of_measure
SKU001,Electronics Item 001,Electronics,EA
SKU002,Home & Garden Item 002,Home & Garden,EA
SKU003,Industrial Item 003,Industrial,EA
SKU004,Apparel Item 004,Apparel,EA
SKU005,Hardware Item 005,Hardware,EA
SKU006,Electronics Item 006,Electronics,EA
SKU007,Home & Garden Item 007,Home & Garden,EA
SKU008,Industrial Item 008,Industrial,EA
SKU009,Apparel Item 009,Apparel,EA
SKU010,Hardware Item 010,Hardware,EA
SKU011,Electronics Item 011,Electronics,EA
SKU012,Home & Garden Item 012,Home & Garden,EA
SKU013,Industrial Item 013,Industrial,EA
SKU014,Apparel Item 014,Apparel,EA
SKU015,Hardware Item 015,Hardware,EA
SKU016,Electronics Item 016,Electronics,EA
SKU017,Home & Garden Item 017,Home & Garden,EA
SKU018,Industrial Item 018,Industrial,EA
SKU019,Apparel Item 019,Apparel,EA
SKU020,Hardware Item 020,Hardware,EA
SKU021,Electronics Item 021,Electronics,EA
SKU022,Home & Garden Item 022,Home & Garden,EA
SKU023,Industrial Item 023,Industrial,EA
SKU024,Apparel Item 024,Apparel,EA
SKU025,Hardware Item 025,Hardware,EA
SKU026,Electronics Item 026,Electronics,EA
SKU027,Home & Garden Item 027,Home & Garden,EA
SKU028,Industrial Item 028,Industrial,EA
SKU029,Apparel Item 029,Apparel,EA
SKU030,Hardware Item 030,Hardware,EA
SKU031,Electronics Item 031,Electronics,EA
SKU032,Home & Garden Item 032,Home & Garden,EA
SKU033,Industrial Item 033,Industrial,EA
SKU034,Apparel Item 034,Apparel,EA
SKU035,Hardware Item 035,Hardware,EA
SKU036,Electronics Item 036,Electronics,EA
SKU037,Home & Garden Item 037,Home & Garden,EA
SKU038,Industrial Item 038,Industrial,EA
SKU039,Apparel Item 039,Apparel,EA
SKU040,Hardware Item 040,Hardware,EA
SKU041,Electronics Item 041,Electronics,EA
SKU042,Home & Garden Item 042,Home & Garden,EA
SKU043,Industrial Item 043,Industrial,EA
SKU044,Apparel Item 044,Apparel,EA
SKU045,Hardware Item 045,Hardware,EA
SKU046,Electronics Item 046,Electronics,EA
SKU047,Home & Garden Item 047,Home & Garden,EA
SKU048,Industrial Item 048,Industrial,EA
SKU049,Apparel Item 049,Apparel,EA
SKU050,Hardware Item 050,Hardware,EA
SKU051,Electronics Item 051,Electronics,EA
SKU052,Home & Garden Item 052,Home & Garden,EA
SKU053,Industrial Item 053,Industrial,EA
SKU054,Apparel Item 054,Apparel,EA
SKU055,Hardware Item 055,Hardware,EA
SKU056,Electronics Item 056,Electronics,EA
SKU057,Home & Garden Item 057,Home & Garden,EA
SKU058,Industrial Item 058,Industrial,EA
SKU059,Apparel Item 059,Apparel,EA
SKU060,Hardware Item 060,Hardware,EA
SKU061,Electronics Item 061,Electronics,EA
SKU062,Home & Garden Item 062,Home & Garden,EA
SKU063,Industrial Item 063,Industrial,EA
SKU064,Apparel Item 064,Apparel,EA
SKU065,Hardware Item 065,Hardware,EA
SKU066,Electronics Item 066,Electronics,EA
SKU067,Home & Garden Item 067,Home & Garden,EA
SKU068,Industrial Item 068,Industrial,EA
SKU069,Apparel Item 069,Apparel,EA
SKU070,Hardware Item 070,Hardware,EA
SKU071,Electronics Item 071,Electronics,EA
SKU072,Home & Garden Item 072,Home & Garden,EA
SKU073,Industrial Item 073,Industrial,EA
SKU074,Apparel Item 074,Apparel,EA
SKU075,Hardware Item 075,Hardware,EA
SKU076,Electronics Item 076,Electronics,EA
SKU077,Home & Garden Item 077,Home & Garden,EA
SKU078,Industrial Item 078,Industrial,EA
SKU079,Apparel Item 079,Apparel,EA
SKU080,Hardware Item 080,Hardware,EA
SKU081,Electronics Item 081,Electronics,EA
SKU082,Home & Garden Item 082,Home & Garden,EA
SKU083,Industrial Item 083,Industrial,EA
SKU084,Apparel Item 084,Apparel,EA
SKU085,Hardware Item 085,Hardware,EA
SKU086,Electronics Item 086,Electronics,EA
SKU087,Home & Garden Item 087,Home & Garden,EA
SKU088,Industrial Item 088,Industrial,EA
SKU089,Apparel Item 089,Apparel,EA
SKU090,Hardware Item 090,Hardware,EA
SKU091,Electronics Item 091,Electronics,EA
SKU092,Home & Garden Item 092,Home & Garden,EA
SKU093,Industrial Item 093,Industrial,EA
SKU094,Apparel Item 094,Apparel,EA
SKU095,Hardware Item 095,Hardware,EA
SKU096,Electronics Item 096,Electronics,EA
SKU097,Home & Garden Item 097,Home & Garden,EA
SKU098,Industrial Item 098,Industrial,EA
