receipt_id,product_id,warehouse_id,receipt_date,quantity,unit_cost,hold_status,source,original_shipment_id,po_batch_id
RCT00252,SKU017,WH03,2024-01-01,95,26.43,released,purchase_order,,
RCT00329,SKU022,WH03,2024-01-01,94,56.65,released,purchase_order,,
RCT00929,SKU057,WH05,2024-01-01,54,21.6,released,purchase_order,,
RCT01125,SKU070,WH01,2024-01-01,141,38.44,released,purchase_order,,
RCT01544,SKU092,WH04,2024-01-01,103,32.92,released,purchase_order,,
RCT01626,SKU097,WH03,2024-01-01,271,51.51,released,purchase_order,,
RCT01668,SKU099,WH03,2024-01-01,262,26.47,released,purchase_order,,
RCT01970,SKU116,WH03,2024-01-01,246,26.38,released,purchase_order,,
RCT02095,SKU123,WH04,2024-01-01,204,35.4,released,purchase_order,,
RCT02157,SKU127,WH03,2024-01-01,154,36.98,released,purchase_order,,
RCT02252,SKU133,WH01,2024-01-01,122,49.03,released,purchase_order,,
RCT02297,SKU135,WH05,2024-01-01,211,44.0,released,purchase_order,,
RCT02361,SKU139,WH03,2024-01-01,70,21.27,released,purchase_order,,
RCT02527,SKU148,WH05,2024-01-01,229,26.97,released,purchase_order,,
RCT02547,SKU150,WH04,2024-01-01,114,35.64,released,purchase_order,,
RCT03055,SKU178,WH04,2024-01-01,71,47.84,released,purchase_order,,
RCT03236,SKU188,WH02,2024-01-01,176,23.67,released,purchase_order,,
RCT03243,SKU188,WH03,2024-01-01,210,9.56,released,purchase_order,,
RCT03542,SKU206,WH03,2024-01-01,184,13.75,released,purchase_order,,
RCT03674,SKU215,WH03,2024-01-01,238,17.65,released,purchase_order,,
RCT03750,SKU219,WH04,2024-01-01,221,51.93,released,purchase_order,,
RCT04226,SKU249,WH04,2024-01-01,222,21.03,released,purchase_order,,
RCT04372,SKU258,WH05,2024-01-01,229,12.99,released,purchase_order,,
RCT04528,SKU268,WH04,2024-01-01,111,55.15,released,purchase_order,,
RCT04709,SKU278,WH02,2024-01-01,108,14.88,released,purchase_order,,
RCT04805,SKU283,WH02,2024-01-01,64,57.71,released,purchase_order,,
RCT04812,SKU283,WH04,2024-01-01,103,30.51,released,purchase_order,,
RCT04886,SKU288,WH05,2024-01-01,261,33.01,released,purchase_order,,
RCT05144,SKU306,WH03,2024-01-01,190,11.25,released,purchase_order,,
RCT05221,SKU310,WH05,2024-01-01,60,46.39,released,purchase_order,,
RCT05708,SKU339,WH02,2024-01-01,186,42.01,released,purchase_order,,
RCT05779,SKU343,WH04,2024-01-01,120,55.11,released,purchase_order,,
RCT06070,SKU360,WH01,2024-01-01,90,51.82,released,purchase_order,,
RCT06432,SKU382,WH04,2024-01-01,183,16.29,released,purchase_order,,
RCT06440,SKU383,WH04,2024-01-01,249,13.85,released,purchase_order,,
RCT06469,SKU385,WH01,2024-01-01,87,25.59,released,purchase_order,,
RCT06623,SKU395,WH04,2024-01-01,155,19.01,released,purchase_order,,
RCT06650,SKU396,WH03,2024-01-01,161,15.9,released,purchase_order,,
RCT06695,SKU398,WH03,2024-01-01,258,53.82,released,purchase_order,,
RCT00605,SKU040,WH01,2024-01-02,51,25.79,released,purchase_order,,
RCT00762,SKU048,WH02,2024-01-02,82,29.22,released,purchase_order,,
RCT00838,SKU052,WH02,2024-01-02,269,30.19,released,purchase_order,,
RCT01010,SKU062,WH04,2024-01-02,278,30.66,released,purchase_order,,
RCT01199,SKU073,WH05,2024-01-02,159,23.46,released,purchase_order,,
RCT01205,SKU074,WH03,2024-01-02,170,50.12,released,purchase_order,,
RCT01405,SKU086,WH01,2024-01-02,74,12.82,released,purchase_order,,
RCT01649,SKU098,WH03,2024-01-02,244,17.11,released,purchase_order,,
RCT01749,SKU103,WH03,2024-01-02,175,27.31,released,purchase_order,,
RCT01815,SKU107,WH04,2024-01-02,226,51.8,released,purchase_order,,
RCT01952,SKU115,WH02,2024-01-02,167,56.71,released,purchase_order,,
RCT02068,SKU122,WH02,2024-01-02,182,19.27,released,purchase_order,,
RCT02532,SKU149,WH01,2024-01-02,108,9.97,released,purchase_order,,
RCT02672,SKU157,WH05,2024-01-02,82,8.68,released,purchase_order,,
RCT02708,SKU159,WH04,2024-01-02,86,31.31,released,purchase_order,,
