shipment_id,product_id,warehouse_id,ship_date,quantity,order_id
SHP01212,SKU070,WH01,2024-01-15,114,
SHP04229,SKU219,WH04,2024-01-15,57,
SHP03209,SKU168,WH01,2024-01-16,37,
SHP04085,SKU212,WH02,2024-01-16,185,
SHP01844,SKU098,WH03,2024-01-17,35,
SHP03267,SKU170,WH02,2024-01-17,89,
SHP03706,SKU190,WH04,2024-01-17,111,
SHP04108,SKU213,WH03,2024-01-17,124,
SHP04219,SKU218,WH05,2024-01-17,136,
SHP04914,SKU258,WH05,2024-01-17,90,
SHP05092,SKU268,WH04,2024-01-17,60,
SHP05429,SKU283,WH04,2024-01-17,171,
SHP05534,SKU288,WH05,2024-01-17,72,
SHP06563,SKU343,WH04,2024-01-17,18,
SHP07311,SKU386,WH04,2024-01-17,24,
SHP00783,SKU046,WH05,2024-01-18,163,
SHP04390,SKU227,WH03,2024-01-18,34,
SHP07524,SKU398,WH02,2024-01-18,201,
SHP00652,SKU040,WH01,2024-01-19,160,
SHP02232,SKU119,WH02,2024-01-19,79,
SHP02510,SKU133,WH01,2024-01-19,237,
SHP02648,SKU140,WH02,2024-01-19,5,
SHP02848,SKU149,WH01,2024-01-19,14,
SHP03093,SKU162,WH01,2024-01-19,10,
SHP03655,SKU188,WH02,2024-01-19,38,
SHP05311,SKU278,WH02,2024-01-19,6,
SHP05640,SKU294,WH03,2024-01-19,20,
SHP05846,SKU306,WH03,2024-01-19,185,
SHP01369,SKU077,WH04,2024-01-20,52,
SHP02309,SKU122,WH02,2024-01-20,162,
SHP03986,SKU206,WH03,2024-01-20,260,
SHP05596,SKU292,WH01,2024-01-20,134,
SHP05837,SKU306,WH02,2024-01-20,110,
SHP07020,SKU368,WH05,2024-01-20,185,
SHP07108,SKU373,WH05,2024-01-20,89,
SHP07473,SKU396,WH02,2024-01-20,21,
SHP02200,SKU116,WH03,2024-01-21,56,
SHP04055,SKU210,WH03,2024-01-21,130,
SHP04918,SKU259,WH02,2024-01-21,118,
SHP07341,SKU388,WH03,2024-01-21,41,
SHP02558,SKU135,WH05,2024-01-22,42,
SHP03455,SKU178,WH04,2024-01-22,26,
SHP05312,SKU278,WH02,2024-01-22,5,
SHP05488,SKU286,WH03,2024-01-22,26,
SHP05838,SKU306,WH02,2024-01-22,38,
SHP05923,SKU310,WH05,2024-01-22,16,
SHP06739,SKU353,WH03,2024-01-22,63,
SHP06774,SKU355,WH05,2024-01-22,5,
SHP06864,SKU360,WH01,2024-01-22,62,
SHP01303,SKU073,WH05,2024-01-23,33,
SHP01979,SKU104,WH03,2024-01-23,26,
SHP03210,SKU168,WH01,2024-01-23,111,
SHP03959,SKU204,WH05,2024-01-23,182,
SHP04340,SKU225,WH03,2024-01-23,336,
SHP06024,SKU315,WH05,2024-01-23,32,
SHP06148,SKU323,WH02,2024-01-23,46,
SHP06948,SKU364,WH04,2024-01-23,122,
SHP07461,SKU395,WH05,2024-01-23,170,
