transfer_id,handling_fee
TRF00001,197.9
TRF00003,360.36
TRF00004,477.42
TRF00005,231.62
TRF00006,302.4
TRF00007,69.79
TRF00008,479.78
TRF00011,478.52
TRF00014,115.48
TRF00015,241.98
TRF00016,215.12
TRF00017,520.01
TRF00018,291.74
TRF00019,327.32
TRF00020,430.22
TRF00021,118.65
TRF00022,220.17
TRF00023,185.1
TRF00024,159.02
TRF00028,219.82
TRF00029,161.68
TRF00030,111.96
TRF00031,128.38
TRF00032,343.82
TRF00033,123.7
TRF00035,438.48
TRF00036,301.86
TRF00037,85.16
TRF00038,485.0
TRF00039,381.16
TRF00040,194.98
TRF00041,387.71
TRF00042,158.97
TRF00045,123.76
TRF00046,141.54
TRF00048,180.63
TRF00050,428.05
TRF00052,230.52
TRF00054,301.55
TRF00055,263.15
TRF00056,87.45
TRF00057,115.81
TRF00058,220.96
TRF00059,323.01
TRF00060,502.38
TRF00061,162.06
TRF00062,411.8
TRF00063,200.79
TRF00064,119.06
TRF00065,144.17
TRF00066,576.28
TRF00067,186.63
TRF00068,125.01
TRF00070,580.6
TRF00071,120.16
TRF00072,368.71
TRF00073,47.67
TRF00075,97.8
TRF00077,467.73
TRF00079,379.56
TRF00080,187.28
TRF00081,184.15
TRF00082,181.95
TRF00083,145.29
TRF00084,199.84
TRF00088,213.45
TRF00089,238.85
TRF00090,138.22
TRF00092,227.28
TRF00093,126.16
TRF00094,257.71
TRF00095,87.11
TRF00096,81.6
TRF00099,578.3
TRF00100,215.69
TRF00101,218.07
TRF00103,135.76
TRF00104,81.2
TRF00105,340.95
TRF00106,43.52
TRF00108,191.01
TRF00109,142.55
TRF00110,252.5
TRF00111,123.51
TRF00113,259.89
TRF00114,172.38
TRF00115,214.76
TRF00117,160.97
TRF00118,483.9
TRF00119,454.96
TRF00122,111.39
TRF00124,407.18
TRF00125,249.33
TRF00128,684.91
TRF00129,383.59
TRF00130,259.93
TRF00131,521.21
TRF00132,378.22
TRF00134,296.61
TRF00135,467.14
TRF00137,157.05
TRF00138,259.99
TRF00139,308.15
TRF00140,107.44
TRF00142,569.09
TRF00144,181.82
TRF00147,390.92
TRF00150,232.51
TRF00151,343.31
TRF00153,188.33
TRF00155,539.21
TRF00156,338.46
TRF00157,212.03
TRF00158,355.13
TRF00162,95.42
TRF00163,92.61
TRF00164,460.81
TRF00165,215.41
TRF00166,541.01
TRF00168,261.74
TRF00169,629.55
TRF00170,386.78
TRF00171,389.81
TRF00173,357.83
TRF00174,283.51
TRF00176,174.38
TRF00179,160.74
TRF00180,85.96
TRF00183,274.1
TRF00184,231.09
TRF00186,151.54
TRF00188,207.52
TRF00189,108.58
TRF00190,206.73
TRF00193,475.3
TRF00194,183.89
TRF00195,330.99
TRF00196,317.65
TRF00197,53.92
TRF00200,543.07
TRF00202,257.81
