SKU,Product_Name,Category,Condition,Launch_Date,Inventory_Qty,Unit_Volume,Unit_Margin,Requires_Base_SKU,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12
AUD126,Audio Buds 1,Audio,New,2024-07-18,202,0.83,5.02,,0,7,10,10,4,7,11,11,7,10,12,12
AUD127,Audio Buds 2,Audio,New,2024-07-30,189,2.16,30.17,,0,0,35,29,34,35,23,16,40,31,16,24
AUD128,Audio Buds 3,Audio,New,2024-07-16,191,1.72,30.56,,4,4,5,5,4,5,4,4,4,4,5,5
AUD129,Audio Buds 4,Audio,New,2024-07-28,898,0.49,14.91,,0,0,20,23,19,29,17,20,15,17,20,22
AUD130,Audio Buds 5,Audio,New,2024-07-19,1821,2.61,7.57,,0,15,15,14,23,17,19,18,22,15,14,20
AUD131,Audio Buds 6,Audio,New,2024-07-16,813,1.28,8.85,,6,5,5,6,7,2,3,4,3,3,4,3
AUD132,Audio Buds 7,Audio,New,2024-07-28,1988,0.26,5.2,,0,0,33,23,11,16,12,21,21,19,32,24
AUD133,Audio Buds 8,Audio,Damaged,2024-07-24,1111,0.77,15.96,,0,1,1,1,0,1,1,1,2,2,1,1
AUD134,Audio Buds 9,Audio,Damaged,2024-08-04,1244,1.98,34.59,,0,0,0,4,2,2,2,2,2,1,3,2
AUD135,Audio Buds 10,Audio,New,2024-08-01,213,1.59,10.7,,0,0,0,30,31,20,19,39,21,20,27,27
AUD136,Audio Buds 11,Audio,New,2024-07-16,535,2.01,22.93,,12,9,6,9,10,14,8,10,12,4,13,7
AUD137,Audio Buds 12,Audio,New,2024-07-31,1436,2.79,6.44,,0,0,12,14,15,15,12,7,11,14,9,15
AUD138,Audio Buds 13,Audio,New,2024-08-04,286,0.65,10.14,,0,0,0,9,25,19,24,20,21,20,22,29
AUD139,Audio Buds 14,Audio,Damaged,2024-09-26,674,0.27,26.56,,0,0,3,3,4,1,1,1,1,1,0,1
AUD140,Audio Buds 15,Audio,New,2024-07-28,178,2.77,8.65,,0,0,29,36,27,30,29,25,29,42,25,30
AUD141,Eartip Pack 1,Audio,New,2024-07-20,1570,0.27,21.19,AUD126,0,12,15,8,6,12,11,10,11,20,14,15
AUD142,Eartip Pack 2,Audio,New,2024-07-13,1535,0.05,15.09,AUD127,17,14,26,22,21,21,18,19,12,6,19,20
AUD143,Eartip Pack 3,Audio,New,2024-07-24,1644,0.68,13.82,AUD128,0,13,12,8,7,11,6,9,9,14,8,2
