bin_id,zone_id,aisle,bay,level
B001,Z01,A,1,L
B002,Z01,A,2,M
B003,Z01,A,3,H
B004,Z01,A,4,L
B005,Z01,A,5,M
B006,Z01,A,6,H
B007,Z01,A,7,L
B008,Z01,A,8,M
B009,Z01,B,1,H
B010,Z01,B,2,L
B011,Z01,B,3,M
B012,Z01,B,4,H
B013,Z01,B,5,L
B014,Z01,B,6,M
B015,Z01,B,7,H
B016,Z01,B,8,L
B017,Z01,C,1,M
B018,Z01,C,2,H
B019,Z01,C,3,L
B020,Z01,C,4,M
B021,Z01,C,5,H
B022,Z01,C,6,L
B023,Z02,A,1,L
B024,Z02,A,2,M
B025,Z02,A,3,H
B026,Z02,A,4,L
B027,Z02,A,5,M
B028,Z02,A,6,H
B029,Z02,A,7,L
B030,Z02,A,8,M
B031,Z02,B,1,H
B032,Z02,B,2,L
B033,Z02,B,3,M
B034,Z02,B,4,H
B035,Z02,B,5,L
B036,Z02,B,6,M
B037,Z02,B,7,H
B038,Z02,B,8,L
B039,Z02,C,1,M
B040,Z02,C,2,H
B041,Z02,C,3,L
B042,Z02,C,4,M
B043,Z02,C,5,H
B044,Z02,C,6,L
B045,Z03,A,1,L
B046,Z03,A,2,M
B047,Z03,A,3,H
B048,Z03,A,4,L
B049,Z03,A,5,M
B050,Z03,A,6,H
B051,Z03,A,7,L
B052,Z03,A,8,M
B053,Z03,B,1,H
B054,Z03,B,2,L
B055,Z03,B,3,M
B056,Z03,B,4,H
B057,Z03,B,5,L
B058,Z03,B,6,M
B059,Z03,B,7,H
B060,Z03,B,8,L
B061,Z03,C,1,M
B062,Z03,C,2,H
B063,Z03,C,3,L
B064,Z03,C,4,M
B065,Z03,C,5,H
B066,Z03,C,6,L
B067,Z04,A,1,L
B068,Z04,A,2,M
B069,Z04,A,3,H
B070,Z04,A,4,L
B071,Z04,A,5,M
B072,Z04,A,6,H
B073,Z04,A,7,L
B074,Z04,A,8,M
B075,Z04,B,1,H
B076,Z04,B,2,L
B077,Z04,B,3,M
B078,Z04,B,4,H
B079,Z04,B,5,L
B080,Z04,B,6,M
B081,Z04,B,7,H
B082,Z04,B,8,L
B083,Z04,C,1,M
B084,Z04,C,2,H
B085,Z04,C,3,L
B086,Z04,C,4,M
B087,Z04,C,5,H
B088,Z04,C,6,L
B089,Z05,A,1,L
B090,Z05,A,2,M
B091,Z05,A,3,H
B092,Z05,A,4,L
B093,Z05,A,5,M
B094,Z05,A,6,H
B095,Z05,A,7,L
B096,Z05,A,8,M
B097,Z05,B,1,H
B098,Z05,B,2,L
B099,Z05,B,3,M
B100,Z05,B,4,H
B101,Z05,B,5,L
B102,Z05,B,6,M
B103,Z05,B,7,H
B104,Z05,B,8,L
B105,Z05,C,1,M
B106,Z05,C,2,H
B107,Z05,C,3,L
B108,Z05,C,4,M
B109,Z05,C,5,H
B110,Z05,C,6,L
B111,Z06,A,1,L
B112,Z06,A,2,M
B113,Z06,A,3,H
B114,Z06,A,4,L
B115,Z06,A,5,M
B116,Z06,A,6,H
B117,Z06,A,7,L
B118,Z06,A,8,M
B119,Z06,B,1,H
B120,Z06,B,2,L
B121,Z06,B,3,M
B122,Z06,B,4,H
B123,Z06,B,5,L
B124,Z06,B,6,M
B125,Z06,B,7,H
B126,Z06,B,8,L
B127,Z06,C,1,M
B128,Z06,C,2,H
B129,Z06,C,3,L
B130,Z06,C,4,M
B131,Z06,C,5,H
B132,Z06,C,6,L
B133,Z07,A,1,L
B134,Z07,A,2,M
B135,Z07,A,3,H
B136,Z07,A,4,L
B137,Z07,A,5,M
B138,Z07,A,6,H
B139,Z07,A,7,L
B140,Z07,A,8,M
B141,Z07,B,1,H
B142,Z08,A,1,L
B143,Z08,A,2,M
B144,Z08,A,3,H
B145,Z08,A,4,L
B146,Z08,A,5,M
B147,Z08,A,6,H
B148,Z08,A,7,L
B149,Z08,A,8,M
B150,Z08,B,1,H
B151,Z09,A,1,L
B152,Z09,A,2,M
B153,Z09,A,3,H
B154,Z09,A,4,L
B155,Z09,A,5,M
B156,Z09,A,6,H
B157,Z09,A,7,L
B158,Z09,A,8,M
B159,Z09,B,1,H
B160,Z10,A,1,L
B161,Z10,A,2,M
B162,Z10,A,3,H
B163,Z10,A,4,L
B164,Z10,A,5,M
B165,Z10,A,6,H
B166,Z10,A,7,L
B167,Z10,A,8,M
B168,Z10,B,1,H
B169,Z11,A,1,L
B170,Z11,A,2,M
B171,Z11,A,3,H
B172,Z11,A,4,L
B173,Z11,A,5,M
B174,Z11,A,6,H
B175,Z11,A,7,L
B176,Z11,A,8,M
B177,Z11,B,1,H
B178,Z12,A,1,L
B179,Z12,A,2,M
B180,Z12,A,3,H
B181,Z12,A,4,L
B182,Z12,A,5,M
B183,Z12,A,6,H
B184,Z12,A,7,L
B185,Z12,A,8,M
B186,Z12,B,1,H
