assignment_id,worker_id,shift_id,date,clock_in_time,clock_out_time,break_duration_min,is_training_shift,trainee_worker_id
SA000001,W002,S1,2024-01-01,2024-01-01 06:13:00,2024-01-01 14:23:00,30,False,
SA000002,W003,S2,2024-01-01,2024-01-01 13:59:00,2024-01-01 22:16:00,30,True,W125
SA000003,W004,S3,2024-01-01,2024-01-01 22:05:00,2024-01-02 06:01:00,30,False,
SA000004,W005,S3,2024-01-01,2024-01-01 21:58:00,2024-01-02 05:58:00,30,False,
SA000005,W006,S1,2024-01-01,2024-01-01 06:12:00,2024-01-01 14:21:00,30,True,W035
SA000006,W007,S1,2024-01-01,2024-01-01 06:03:00,2024-01-01 14:14:00,30,False,
SA000007,W008,S1,2024-01-01,2024-01-01 06:09:00,2024-01-01 14:11:00,30,True,W039
SA000008,W009,S1,2024-01-01,2024-01-01 06:04:00,2024-01-01 14:23:00,30,False,
SA000009,W010,S2,2024-01-01,2024-01-01 14:00:00,2024-01-01 22:10:00,30,False,
SA000010,W011,S1,2024-01-01,2024-01-01 06:12:00,2024-01-01 14:13:00,30,False,
SA000011,W012,S1,2024-01-01,2024-01-01 06:12:00,2024-01-01 14:21:00,30,False,
SA000012,W013,S2,2024-01-01,2024-01-01 14:12:00,2024-01-01 22:14:00,30,False,
SA000013,W014,S1,2024-01-01,2024-01-01 05:59:00,2024-01-01 14:09:00,30,False,
SA000014,W015,S1,2024-01-01,2024-01-01 06:01:00,2024-01-01 14:05:00,30,False,
SA000015,W016,S1,2024-01-01,2024-01-01 06:05:00,2024-01-01 14:17:00,30,False,
SA000016,W017,S1,2024-01-01,2024-01-01 06:11:00,2024-01-01 14:18:00,30,False,
SA000017,W020,S3,2024-01-01,2024-01-01 22:17:00,2024-01-02 05:58:00,30,False,
SA000018,W021,S1,2024-01-01,2024-01-01 06:15:00,,30,False,
SA000019,W022,S1,2024-01-01,2024-01-01 06:15:00,,30,False,
SA000020,W023,S2,2024-01-01,2024-01-01 13:58:00,2024-01-01 22:10:00,30,False,
SA000021,W024,S2,2024-01-01,2024-01-01 14:16:00,2024-01-01 22:06:00,30,False,
SA000022,W025,S3,2024-01-01,2024-01-01 21:53:00,2024-01-02 06:04:00,30,False,
SA000023,W026,S3,2024-01-01,2024-01-01 21:57:00,2024-01-02 06:12:00,30,False,
SA000024,W029,S1,2024-01-01,2024-01-01 06:17:00,2024-01-01 14:21:00,30,False,
SA000025,W030,S1,2024-01-01,2024-01-01 06:05:00,2024-01-01 14:10:00,30,False,
SA000026,W032,S3,2024-01-01,2024-01-01 22:16:00,2024-01-02 06:07:00,30,False,
SA000027,W033,S1,2024-01-01,2024-01-01 05:57:00,2024-01-01 14:20:00,30,False,
SA000028,W034,S3,2024-01-01,2024-01-01 21:53:00,2024-01-02 05:57:00,30,False,
SA000029,W035,S2,2024-01-01,2024-01-01 14:07:00,2024-01-01 22:01:00,30,False,
SA000030,W036,S2,2024-01-01,2024-01-01 13:55:00,2024-01-01 21:58:00,30,False,
SA000031,W037,S2,2024-01-01,2024-01-01 14:03:00,2024-01-01 22:00:00,30,False,
SA000032,W038,S3,2024-01-01,2024-01-01 22:05:00,2024-01-02 06:23:00,30,False,
SA000033,W039,S1,2024-01-01,2024-01-01 05:58:00,2024-01-01 13:59:00,30,False,
SA000034,W041,S2,2024-01-01,2024-01-01 13:55:00,,30,False,
SA000035,W042,S2,2024-01-01,2024-01-01 14:04:00,,30,False,
SA000036,W043,S2,2024-01-01,2024-01-01 14:05:00,,30,False,
SA000037,W046,S1,2024-01-01,2024-01-01 06:13:00,2024-01-01 14:23:00,30,False,
SA000038,W048,S3,2024-01-01,2024-01-01 21:56:00,2024-01-02 06:19:00,30,False,
SA000039,W050,S2,2024-01-01,2024-01-01 14:03:00,2024-01-01 22:11:00,30,False,
SA000040,W051,S2,2024-01-01,2024-01-01 13:59:00,2024-01-01 22:00:00,30,False,
SA000041,W055,S1,2024-01-01,2024-01-01 06:10:00,2024-01-01 14:05:00,30,False,
SA000042,W058,S1,2024-01-01,2024-01-01 06:06:00,2024-01-01 14:09:00,30,False,
SA000043,W059,S2,2024-01-01,2024-01-01 14:03:00,2024-01-01 22:00:00,30,False,
SA000044,W060,S1,2024-01-01,2024-01-01 05:54:00,2024-01-01 14:02:00,30,False,
SA000045,W061,S2,2024-01-01,2024-01-01 14:16:00,2024-01-01 22:21:00,30,False,
SA000046,W062,S3,2024-01-01,2024-01-01 21:57:00,2024-01-02 06:15:00,30,False,
SA000047,W063,S3,2024-01-01,2024-01-01 22:01:00,2024-01-02 06:01:00,30,False,
SA000048,W064,S1,2024-01-01,2024-01-01 06:01:00,2024-01-01 14:22:00,30,False,
SA000049,W065,S3,2024-01-01,2024-01-01 22:05:00,2024-01-02 06:19:00,30,False,
SA000050,W068,S1,2024-01-01,2024-01-01 06:04:00,2024-01-01 14:03:00,30,False,
SA000051,W070,S1,2024-01-01,2024-01-01 05:55:00,2024-01-01 14:12:00,30,False,
SA000052,W071,S1,2024-01-01,2024-01-01 05:56:00,2024-01-01 14:15:00,30,False,
SA000053,W072,S3,2024-01-01,2024-01-01 22:15:00,2024-01-02 06:01:00,30,False,
SA000054,W073,S1,2024-01-01,2024-01-01 06:07:00,2024-01-01 14:10:00,30,False,
SA000055,W074,S2,2024-01-01,2024-01-01 13:59:00,2024-01-01 22:24:00,30,False,
SA000056,W075,S3,2024-01-01,2024-01-01 22:17:00,2024-01-02 05:58:00,30,False,
SA000057,W076,S3,2024-01-01,2024-01-01 22:07:00,2024-01-02 05:58:00,30,False,
SA000058,W077,S3,2024-01-01,2024-01-01 21:59:00,2024-01-02 06:10:00,30,False,
SA000059,W079,S3,2024-01-01,2024-01-01 22:15:00,2024-01-02 06:08:00,30,False,
SA000060,W081,S1,2024-01-01,2024-01-01 06:03:00,2024-01-01 14:15:00,30,False,
SA000061,W083,S3,2024-01-01,2024-01-01 22:08:00,2024-01-02 06:19:00,30,False,
SA000062,W084,S2,2024-01-01,2024-01-01 14:05:00,2024-01-01 22:03:00,30,False,
SA000063,W085,S1,2024-01-01,2024-01-01 06:01:00,2024-01-01 14:14:00,30,False,
SA000064,W087,S3,2024-01-01,2024-01-01 21:54:00,2024-01-02 06:23:00,30,False,
SA000065,W088,S3,2024-01-01,2024-01-01 22:00:00,2024-01-02 06:11:00,30,False,
SA000066,W089,S3,2024-01-01,2024-01-01 22:13:00,2024-01-02 06:01:00,30,False,
SA000067,W090,S3,2024-01-01,2024-01-01 22:02:00,2024-01-02 06:04:00,30,False,
SA000068,W091,S2,2024-01-01,2024-01-01 14:13:00,2024-01-01 22:16:00,15,False,
SA000069,W096,S2,2024-01-01,2024-01-01 13:59:00,2024-01-01 22:03:00,15,False,
SA000070,W097,S3,2024-01-01,2024-01-01 22:00:00,2024-01-02 06:07:00,15,False,
SA000071,W099,S1,2024-01-01,2024-01-01 06:01:00,2024-01-01 14:00:00,15,False,
SA000072,W100,S3,2024-01-01,2024-01-01 22:15:00,2024-01-02 06:03:00,15,False,
SA000073,W110,S1,2024-01-01,2024-01-01 06:10:00,2024-01-01 13:57:00,15,False,
SA000074,W112,S1,2024-01-01,2024-01-01 06:11:00,2024-01-01 14:12:00,15,False,
SA000075,W113,S3,2024-01-01,2024-01-01 21:57:00,2024-01-02 06:19:00,15,False,
SA000076,W117,S2,2024-01-01,2024-01-01 14:11:00,2024-01-01 22:04:00,15,False,
SA000077,W119,S1,2024-01-01,2024-01-01 06:07:00,2024-01-01 14:05:00,15,False,
SA000078,W120,S2,2024-01-01,2024-01-01 14:16:00,2024-01-01 22:18:00,15,False,
SA000079,W122,S3,2024-01-01,2024-01-01 22:02:00,2024-01-02 06:03:00,15,False,
SA000080,W124,S3,2024-01-01,2024-01-01 22:13:00,2024-01-02 06:24:00,15,False,
SA000081,W125,S2,2024-01-01,2024-01-01 14:13:00,2024-01-01 22:12:00,15,False,
SA000082,W126,S2,2024-01-01,2024-01-01 13:58:00,2024-01-01 22:18:00,15,False,
SA000083,W127,S1,2024-01-01,2024-01-01 06:12:00,,15,False,
SA000084,W130,S1,2024-01-01,2024-01-01 05:57:00,2024-01-01 14:22:00,15,False,
SA000085,W131,S1,2024-01-01,2024-01-01 06:05:00,2024-01-01 14:06:00,15,False,
SA000086,W132,S2,2024-01-01,2024-01-01 14:11:00,2024-01-01 22:12:00,15,False,
SA000087,W137,S2,2024-01-01,2024-01-01 14:02:00,2024-01-01 22:03:00,15,False,
SA000088,W140,S1,2024-01-01,2024-01-01 06:16:00,2024-01-01 14:00:00,15,False,
SA000089,W141,S2,2024-01-01,2024-01-01 13:57:00,2024-01-01 22:02:00,15,False,
SA000090,W143,S1,2024-01-01,2024-01-01 06:12:00,2024-01-01 14:00:00,15,False,
SA000091,W145,S2,2024-01-01,2024-01-01 13:58:00,2024-01-01 22:08:00,15,False,
SA000092,W146,S3,2024-01-01,2024-01-01 22:14:00,2024-01-02 06:19:00,15,False,
SA000093,W147,S3,2024-01-01,2024-01-01 22:08:00,2024-01-02 06:14:00,15,False,
SA000094,W148,S3,2024-01-01,2024-01-01 22:14:00,2024-01-02 06:21:00,15,False,
SA000095,W001,S1,2024-01-02,2024-01-02 05:56:00,2024-01-02 14:23:00,30,False,
SA000096,W003,S2,2024-01-02,2024-01-02 13:53:00,2024-01-02 22:19:00,30,False,
SA000097,W004,S3,2024-01-02,2024-01-02 22:00:00,2024-01-03 06:11:00,30,False,
SA000098,W005,S3,2024-01-02,2024-01-02 22:16:00,2024-01-03 06:22:00,30,False,
SA000099,W006,S1,2024-01-02,2024-01-02 06:12:00,2024-01-02 14:02:00,30,False,
SA000100,W007,S1,2024-01-02,2024-01-02 05:56:00,2024-01-02 14:24:00,30,False,
SA000101,W008,S1,2024-01-02,2024-01-02 05:57:00,2024-01-02 13:59:00,30,False,
SA000102,W009,S1,2024-01-02,2024-01-02 06:07:00,2024-01-02 14:07:00,30,False,
SA000103,W010,S2,2024-01-02,2024-01-02 13:57:00,2024-01-02 22:06:00,30,False,
SA000104,W012,S1,2024-01-02,2024-01-02 06:15:00,2024-01-02 14:16:00,30,False,
SA000105,W013,S2,2024-01-02,2024-01-02 14:13:00,,30,False,
SA000106,W015,S1,2024-01-02,2024-01-02 06:06:00,2024-01-02 14:04:00,30,False,
SA000107,W017,S1,2024-01-02,2024-01-02 06:02:00,2024-01-02 14:18:00,30,False,
SA000108,W018,S2,2024-01-02,2024-01-02 14:16:00,2024-01-02 22:09:00,30,False,
SA000109,W019,S3,2024-01-02,2024-01-02 22:10:00,2024-01-03 05:59:00,30,False,
SA000110,W020,S3,2024-01-02,2024-01-02 22:04:00,2024-01-03 05:57:00,30,False,
SA000111,W021,S1,2024-01-02,2024-01-02 06:15:00,2024-01-02 14:00:00,30,False,
SA000112,W024,S2,2024-01-02,2024-01-02 13:55:00,2024-01-02 22:05:00,30,False,
SA000113,W025,S1,2024-01-02,2024-01-02 05:53:00,2024-01-02 14:24:00,60,False,
SA000114,W026,S3,2024-01-02,2024-01-02 22:11:00,2024-01-03 06:13:00,30,False,
SA000115,W027,S2,2024-01-02,2024-01-02 13:59:00,2024-01-02 22:14:00,30,False,
SA000116,W028,S1,2024-01-02,2024-01-02 06:10:00,2024-01-02 14:06:00,30,False,
SA000117,W029,S1,2024-01-02,2024-01-02 06:12:00,2024-01-02 14:04:00,30,False,
SA000118,W030,S1,2024-01-02,2024-01-02 06:09:00,2024-01-02 14:06:00,30,False,
SA000119,W032,S3,2024-01-02,2024-01-02 21:57:00,2024-01-03 06:05:00,30,False,
SA000120,W033,S1,2024-01-02,2024-01-02 05:54:00,2024-01-02 14:05:00,30,False,
SA000121,W034,S3,2024-01-02,2024-01-02 21:59:00,2024-01-03 06:14:00,30,False,
SA000122,W035,S2,2024-01-02,2024-01-02 14:00:00,2024-01-02 22:16:00,30,False,
SA000123,W036,S3,2024-01-02,2024-01-02 22:03:00,2024-01-03 05:58:00,30,False,
SA000124,W037,S2,2024-01-02,2024-01-02 14:02:00,2024-01-02 22:20:00,30,False,
SA000125,W039,S1,2024-01-02,2024-01-02 06:11:00,2024-01-02 14:23:00,30,False,
SA000126,W040,S1,2024-01-02,2024-01-02 06:04:00,2024-01-02 14:23:00,30,False,
SA000127,W041,S2,2024-01-02,2024-01-02 14:04:00,2024-01-02 22:00:00,30,False,
SA000128,W042,S2,2024-01-02,2024-01-02 13:53:00,2024-01-02 22:06:00,30,False,
SA000129,W044,S3,2024-01-02,2024-01-02 22:04:00,2024-01-03 06:08:00,30,False,
SA000130,W045,S2,2024-01-02,2024-01-02 13:57:00,2024-01-02 22:07:00,30,False,
SA000131,W046,S1,2024-01-02,2024-01-02 06:12:00,2024-01-02 14:24:00,30,False,
SA000132,W047,S1,2024-01-02,2024-01-02 05:56:00,2024-01-02 14:02:00,30,False,
SA000133,W048,S3,2024-01-02,2024-01-02 22:00:00,2024-01-03 06:01:00,30,False,
SA000134,W049,S1,2024-01-02,2024-01-02 05:57:00,2024-01-02 14:10:00,30,False,
SA000135,W050,S2,2024-01-02,2024-01-02 14:14:00,2024-01-02 22:06:00,30,False,
SA000136,W051,S2,2024-01-02,2024-01-02 13:58:00,2024-01-02 21:57:00,30,False,
SA000137,W052,S3,2024-01-02,2024-01-02 22:17:00,2024-01-03 06:08:00,30,False,
SA000138,W053,S3,2024-01-02,2024-01-02 22:16:00,2024-01-03 06:03:00,30,False,
SA000139,W057,S2,2024-01-02,2024-01-02 13:59:00,2024-01-02 21:58:00,30,False,
SA000140,W058,S1,2024-01-02,2024-01-02 06:00:00,2024-01-02 14:13:00,30,False,
SA000141,W059,S2,2024-01-02,2024-01-02 14:08:00,2024-01-02 22:08:00,30,False,
SA000142,W060,S1,2024-01-02,2024-01-02 06:00:00,2024-01-02 14:24:00,30,False,
SA000143,W061,S2,2024-01-02,2024-01-02 14:03:00,2024-01-02 22:01:00,30,False,
SA000144,W062,S3,2024-01-02,2024-01-02 21:52:00,2024-01-03 06:21:00,30,False,
SA000145,W063,S3,2024-01-02,2024-01-02 21:59:00,2024-01-03 06:19:00,30,False,
SA000146,W064,S1,2024-01-02,2024-01-02 05:52:00,2024-01-02 14:03:00,30,False,
SA000147,W065,S3,2024-01-02,2024-01-02 22:03:00,,30,False,
SA000148,W066,S1,2024-01-02,2024-01-02 06:15:00,2024-01-02 14:06:00,30,False,
SA000149,W067,S2,2024-01-02,2024-01-02 14:06:00,2024-01-02 22:00:00,30,False,
SA000150,W069,S1,2024-01-02,2024-01-02 06:10:00,2024-01-02 14:22:00,30,False,
SA000151,W070,S2,2024-01-02,2024-01-02 13:54:00,2024-01-02 22:06:00,30,False,
SA000152,W071,S1,2024-01-02,2024-01-02 06:06:00,2024-01-02 14:15:00,30,False,
SA000153,W072,S3,2024-01-02,2024-01-02 21:57:00,2024-01-03 06:16:00,30,False,
SA000154,W073,S1,2024-01-02,2024-01-02 06:10:00,,30,False,
SA000155,W074,S2,2024-01-02,2024-01-02 13:56:00,2024-01-02 22:08:00,30,False,
SA000156,W077,S3,2024-01-02,2024-01-02 22:05:00,2024-01-03 05:57:00,30,False,
SA000157,W079,S3,2024-01-02,2024-01-02 22:10:00,2024-01-03 06:24:00,30,False,
SA000158,W081,S1,2024-01-02,2024-01-02 06:14:00,2024-01-02 13:58:00,30,False,
SA000159,W082,S2,2024-01-02,2024-01-02 14:07:00,2024-01-02 22:11:00,30,False,
SA000160,W083,S3,2024-01-02,2024-01-02 21:55:00,2024-01-03 06:02:00,30,False,
SA000161,W084,S2,2024-01-02,2024-01-02 14:14:00,2024-01-02 22:22:00,30,False,
SA000162,W085,S1,2024-01-02,2024-01-02 06:17:00,2024-01-02 14:07:00,30,False,
SA000163,W087,S3,2024-01-02,2024-01-02 21:57:00,2024-01-03 06:23:00,30,False,
SA000164,W089,S3,2024-01-02,2024-01-02 22:14:00,2024-01-03 06:10:00,30,False,
SA000165,W090,S3,2024-01-02,2024-01-02 22:16:00,2024-01-03 06:12:00,30,False,
SA000166,W092,S1,2024-01-02,2024-01-02 06:02:00,2024-01-02 14:10:00,15,False,
SA000167,W093,S2,2024-01-02,2024-01-02 13:52:00,2024-01-02 22:20:00,15,False,
SA000168,W095,S2,2024-01-02,2024-01-02 13:58:00,2024-01-02 22:15:00,15,False,
SA000169,W098,S1,2024-01-02,2024-01-02 05:56:00,,15,False,
SA000170,W099,S1,2024-01-02,2024-01-02 05:57:00,2024-01-02 14:09:00,15,False,
SA000171,W101,S3,2024-01-02,2024-01-02 22:07:00,2024-01-03 06:05:00,15,False,
SA000172,W102,S2,2024-01-02,2024-01-02 14:03:00,2024-01-02 22:03:00,15,False,
SA000173,W103,S3,2024-01-02,2024-01-02 21:52:00,2024-01-03 06:07:00,15,False,
SA000174,W105,S2,2024-01-02,2024-01-02 14:11:00,2024-01-02 22:06:00,15,False,
SA000175,W106,S3,2024-01-02,2024-01-02 22:13:00,,15,False,
SA000176,W109,S2,2024-01-02,2024-01-02 14:05:00,2024-01-02 22:14:00,15,False,
SA000177,W111,S2,2024-01-02,2024-01-02 14:16:00,2024-01-02 22:12:00,15,False,
SA000178,W112,S1,2024-01-02,2024-01-02 05:56:00,2024-01-02 13:57:00,15,False,
SA000179,W114,S2,2024-01-02,2024-01-02 13:55:00,2024-01-02 22:24:00,15,False,
SA000180,W115,S3,2024-01-02,2024-01-02 22:16:00,2024-01-03 06:24:00,15,False,
