zone_assignment_id,worker_id,zone_id,start_datetime,end_datetime,reason
ZA00001,W013,Z12,2024-01-01 14:37:12,2024-01-01 15:50:34,coverage
ZA00002,W036,Z02,2024-01-01 16:42:42,2024-01-01 18:05:51,training
ZA00003,W132,Z03,2024-01-01 16:25:24,2024-01-01 17:52:14,training
ZA00004,W006,Z03,2024-01-01 07:09:56,2024-01-01 08:01:16,coverage
ZA00005,W148,Z05,2024-01-02 00:15:02,2024-01-02 01:19:30,training
ZA00006,W147,Z07,2024-01-01 22:39:29,2024-01-01 23:56:59,overflow
ZA00007,W023,Z08,2024-01-01 17:20:11,2024-01-01 19:04:00,absence_cover
ZA00008,W058,Z06,2024-01-02 07:05:30,2024-01-02 08:55:31,training
ZA00009,W112,Z05,2024-01-02 08:47:57,2024-01-02 11:02:12,training
ZA00010,W105,Z06,2024-01-02 17:40:12,2024-01-02 19:30:02,coverage
ZA00011,W015,Z08,2024-01-02 07:48:27,2024-01-02 09:44:47,coverage
ZA00012,W028,Z10,2024-01-02 06:49:18,2024-01-02 08:51:44,coverage
ZA00013,W036,Z07,2024-01-02 23:15:48,2024-01-03 01:10:45,overflow
ZA00014,W017,Z12,2024-01-02 07:51:50,2024-01-02 09:03:24,coverage
ZA00015,W003,Z12,2024-01-02 16:45:49,2024-01-02 19:02:57,coverage
ZA00016,W139,Z01,2024-01-04 00:22:08,2024-01-04 02:35:11,overflow
ZA00017,W126,Z04,2024-01-04 01:00:32,2024-01-04 02:11:01,coverage
ZA00018,W149,Z11,2024-01-04 00:28:11,2024-01-04 02:57:28,overflow
ZA00019,W062,Z04,2024-01-03 22:33:07,2024-01-04 00:26:01,overflow
ZA00020,W026,Z08,2024-01-03 15:38:58,2024-01-03 17:04:41,coverage
ZA00021,W016,Z10,2024-01-03 06:24:09,2024-01-03 07:38:38,overflow
ZA00022,W005,Z08,2024-01-04 01:10:21,2024-01-04 02:01:35,absence_cover
ZA00023,W054,Z07,2024-01-03 15:30:47,2024-01-03 17:59:23,overflow
ZA00024,W147,Z11,2024-01-04 22:44:56,2024-01-05 00:49:58,equipment_failure
ZA00025,W031,Z02,2024-01-04 09:32:41,2024-01-04 11:51:06,overflow
ZA00026,W024,Z05,2024-01-04 17:15:56,2024-01-04 19:45:38,coverage
ZA00027,W026,Z11,2024-01-04 23:12:47,2024-01-05 01:38:39,coverage
